5	5	5	4.99999	4.99999	4.99998	4.99998	4.99997	4.99996	4.99995	4.99994	4.99993	4.99992	4.99991	4.9999	4.99989	4.99987	4.99986	4.99984	4.99983	4.99981	4.9998	4.99978	4.99977	4.99975	4.99974	4.99972	4.99971	4.99969	4.99968	4.99966	4.99965	4.99963	4.99962	4.99961	4.9996	4.99958	4.99957	4.99956	4.99955	4.99954	4.99954	4.99953	4.99952	4.99952	4.99951	4.99951	4.99951	4.99951	4.99951	4.99951	4.99951	4.99951	4.99951	4.99952	4.99952	4.99953	4.99954	4.99954	4.99955	4.99956	4.99957	4.99958	4.9996	4.99961	4.99962	4.99963	4.99965	4.99966	4.99968	4.99969	4.99971	4.99972	4.99974	4.99975	4.99977	4.99978	4.9998	4.99981	4.99983	4.99984	4.99986	4.99987	4.99989	4.9999	4.99991	4.99992	4.99993	4.99994	4.99995	4.99996	4.99997	4.99998	4.99998	4.99999	4.99999	5	5	5	
5	4.99999	4.99998	4.99997	4.99995	4.99993	4.99991	4.99988	4.99985	4.99981	4.99977	4.99973	4.99969	4.99964	4.99959	4.99954	4.99949	4.99943	4.99938	4.99932	4.99926	4.9992	4.99914	4.99908	4.99901	4.99895	4.99889	4.99883	4.99877	4.99871	4.99865	4.99859	4.99854	4.99849	4.99843	4.99839	4.99834	4.9983	4.99825	4.99822	4.99818	4.99815	4.99812	4.9981	4.99808	4.99806	4.99805	4.99804	4.99803	4.99803	4.99803	4.99804	4.99805	4.99806	4.99808	4.9981	4.99812	4.99815	4.99818	4.99822	4.99825	4.9983	4.99834	4.99839	4.99843	4.99849	4.99854	4.99859	4.99865	4.99871	4.99877	4.99883	4.99889	4.99895	4.99901	4.99908	4.99914	4.9992	4.99926	4.99932	4.99938	4.99943	4.99949	4.99954	4.99959	4.99964	4.99969	4.99973	4.99977	4.99981	4.99985	4.99988	4.99991	4.99993	4.99995	4.99997	4.99998	4.99999	5	
5	4.99998	4.99996	4.99993	4.99989	4.99984	4.99979	4.99973	4.99966	4.99958	4.99949	4.9994	4.9993	4.9992	4.99909	4.99897	4.99885	4.99873	4.9986	4.99847	4.99834	4.9982	4.99806	4.99792	4.99779	4.99765	4.99751	4.99737	4.99723	4.9971	4.99697	4.99684	4.99672	4.9966	4.99648	4.99637	4.99627	4.99617	4.99608	4.99599	4.99592	4.99584	4.99578	4.99573	4.99568	4.99564	4.99561	4.99559	4.99557	4.99557	4.99557	4.99559	4.99561	4.99564	4.99568	4.99573	4.99578	4.99584	4.99592	4.99599	4.99608	4.99617	4.99627	4.99637	4.99648	4.9966	4.99672	4.99684	4.99697	4.9971	4.99723	4.99737	4.99751	4.99765	4.99779	4.99792	4.99806	4.9982	4.99834	4.99847	4.9986	4.99873	4.99885	4.99897	4.99909	4.9992	4.9993	4.9994	4.99949	4.99958	4.99966	4.99973	4.99979	4.99984	4.99989	4.99993	4.99996	4.99998	5	
4.99999	4.99997	4.99993	4.99988	4.99981	4.99972	4.99963	4.99951	4.99939	4.99925	4.9991	4.99894	4.99876	4.99858	4.99838	4.99818	4.99796	4.99774	4.99752	4.99729	4.99705	4.99681	4.99656	4.99632	4.99607	4.99582	4.99558	4.99534	4.99509	4.99486	4.99463	4.9944	4.99418	4.99397	4.99376	4.99357	4.99338	4.99321	4.99304	4.99289	4.99275	4.99263	4.99252	4.99242	4.99234	4.99227	4.99221	4.99217	4.99215	4.99214	4.99215	4.99217	4.99221	4.99227	4.99234	4.99242	4.99252	4.99263	4.99275	4.99289	4.99304	4.99321	4.99338	4.99357	4.99376	4.99397	4.99418	4.9944	4.99463	4.99486	4.99509	4.99534	4.99558	4.99582	4.99607	4.99632	4.99656	4.99681	4.99705	4.99729	4.99752	4.99774	4.99796	4.99818	4.99838	4.99858	4.99876	4.99894	4.9991	4.99925	4.99939	4.99951	4.99963	4.99972	4.99981	4.99988	4.99993	4.99997	4.99999	
4.99999	4.99995	4.99989	4.99981	4.9997	4.99957	4.99942	4.99924	4.99905	4.99883	4.9986	4.99834	4.99807	4.99778	4.99748	4.99716	4.99683	4.99649	4.99613	4.99577	4.9954	4.99503	4.99465	4.99426	4.99388	4.9935	4.99311	4.99273	4.99236	4.99199	4.99163	4.99127	4.99093	4.9906	4.99028	4.98998	4.98969	4.98942	4.98916	4.98893	4.98871	4.98852	4.98834	4.98819	4.98806	4.98795	4.98787	4.98781	4.98777	4.98776	4.98777	4.98781	4.98787	4.98795	4.98806	4.98819	4.98834	4.98852	4.98871	4.98893	4.98916	4.98942	4.98969	4.98998	4.99028	4.9906	4.99093	4.99127	4.99163	4.99199	4.99236	4.99273	4.99311	4.9935	4.99388	4.99426	4.99465	4.99503	4.9954	4.99577	4.99613	4.99649	4.99683	4.99716	4.99748	4.99778	4.99807	4.99834	4.9986	4.99883	4.99905	4.99924	4.99942	4.99957	4.9997	4.99981	4.99989	4.99995	4.99999	
4.99998	4.99993	4.99984	4.99972	4.99957	4.99938	4.99916	4.99891	4.99863	4.99832	4.99798	4.99762	4.99723	4.99682	4.99638	4.99592	4.99545	4.99496	4.99445	4.99393	4.9934	4.99286	4.99232	4.99177	4.99122	4.99067	4.99012	4.98957	4.98904	4.98851	4.98799	4.98748	4.98699	4.98651	4.98606	4.98562	4.98521	4.98482	4.98445	4.98412	4.98381	4.98352	4.98327	4.98305	4.98287	4.98271	4.98259	4.98251	4.98246	4.98244	4.98246	4.98251	4.98259	4.98271	4.98287	4.98305	4.98327	4.98352	4.98381	4.98412	4.98445	4.98482	4.98521	4.98562	4.98606	4.98651	4.98699	4.98748	4.98799	4.98851	4.98904	4.98957	4.99012	4.99067	4.99122	4.99177	4.99232	4.99286	4.9934	4.99393	4.99445	4.99496	4.99545	4.99592	4.99638	4.99682	4.99723	4.99762	4.99798	4.99832	4.99863	4.99891	4.99916	4.99938	4.99957	4.99972	4.99984	4.99993	4.99998	
4.99998	4.99991	4.99979	4.99963	4.99942	4.99916	4.99887	4.99853	4.99815	4.99773	4.99727	4.99677	4.99625	4.99569	4.99509	4.99448	4.99383	4.99317	4.99248	4.99178	4.99106	4.99033	4.98959	4.98885	4.9881	4.98735	4.98661	4.98587	4.98514	4.98442	4.98372	4.98303	4.98237	4.98172	4.9811	4.98051	4.97995	4.97942	4.97893	4.97847	4.97805	4.97767	4.97733	4.97703	4.97678	4.97657	4.97641	4.97629	4.97622	4.9762	4.97622	4.97629	4.97641	4.97657	4.97678	4.97703	4.97733	4.97767	4.97805	4.97847	4.97893	4.97942	4.97995	4.98051	4.9811	4.98172	4.98237	4.98303	4.98372	4.98442	4.98514	4.98587	4.98661	4.98735	4.9881	4.98885	4.98959	4.99033	4.99106	4.99178	4.99248	4.99317	4.99383	4.99448	4.99509	4.99569	4.99625	4.99677	4.99727	4.99773	4.99815	4.99853	4.99887	4.99916	4.99942	4.99963	4.99979	4.99991	4.99998	
4.99997	4.99988	4.99973	4.99951	4.99924	4.99891	4.99853	4.99809	4.99759	4.99705	4.99645	4.99581	4.99512	4.99439	4.99362	4.99282	4.99198	4.99112	4.99023	4.98931	4.98838	4.98743	4.98647	4.9855	4.98453	4.98356	4.98259	4.98164	4.98069	4.97975	4.97884	4.97795	4.97708	4.97625	4.97544	4.97467	4.97395	4.97326	4.97262	4.97202	4.97147	4.97098	4.97054	4.97015	4.96982	4.96955	4.96934	4.96919	4.9691	4.96907	4.9691	4.96919	4.96934	4.96955	4.96982	4.97015	4.97054	4.97098	4.97147	4.97202	4.97262	4.97326	4.97395	4.97467	4.97544	4.97625	4.97708	4.97795	4.97884	4.97975	4.98069	4.98164	4.98259	4.98356	4.98453	4.9855	4.98647	4.98743	4.98838	4.98931	4.99023	4.99112	4.99198	4.99282	4.99362	4.99439	4.99512	4.99581	4.99645	4.99705	4.99759	4.99809	4.99853	4.99891	4.99924	4.99951	4.99973	4.99988	4.99997	
4.99996	4.99985	4.99966	4.99939	4.99905	4.99863	4.99815	4.99759	4.99697	4.99628	4.99553	4.99472	4.99386	4.99294	4.99198	4.99096	4.98991	4.98882	4.9877	4.98655	4.98538	4.98418	4.98297	4.98176	4.98053	4.97931	4.97809	4.97689	4.97569	4.97452	4.97337	4.97225	4.97116	4.9701	4.96909	4.96813	4.96721	4.96634	4.96554	4.96479	4.9641	4.96348	4.96292	4.96244	4.96202	4.96168	4.96141	4.96122	4.96111	4.96107	4.96111	4.96122	4.96141	4.96168	4.96202	4.96244	4.96292	4.96348	4.9641	4.96479	4.96554	4.96634	4.96721	4.96813	4.96909	4.9701	4.97116	4.97225	4.97337	4.97452	4.97569	4.97689	4.97809	4.97931	4.98053	4.98176	4.98297	4.98418	4.98538	4.98655	4.9877	4.98882	4.98991	4.99096	4.99198	4.99294	4.99386	4.99472	4.99553	4.99628	4.99697	4.99759	4.99815	4.99863	4.99905	4.99939	4.99966	4.99985	4.99996	
4.99995	4.99981	4.99958	4.99925	4.99883	4.99832	4.99773	4.99705	4.99628	4.99544	4.99452	4.99353	4.99247	4.99134	4.99016	4.98892	4.98762	4.98629	4.98491	4.9835	4.98206	4.98059	4.97911	4.97762	4.97612	4.97462	4.97313	4.97164	4.97018	4.96874	4.96733	4.96595	4.96461	4.96332	4.96208	4.9609	4.95977	4.95871	4.95772	4.9568	4.95596	4.95519	4.95451	4.95392	4.95341	4.95299	4.95266	4.95243	4.95229	4.95224	4.95229	4.95243	4.95266	4.95299	4.95341	4.95392	4.95451	4.95519	4.95596	4.9568	4.95772	4.95871	4.95977	4.9609	4.96208	4.96332	4.96461	4.96595	4.96733	4.96874	4.97018	4.97164	4.97313	4.97462	4.97612	4.97762	4.97911	4.98059	4.98206	4.9835	4.98491	4.98629	4.98762	4.98892	4.99016	4.99134	4.99247	4.99353	4.99452	4.99544	4.99628	4.99705	4.99773	4.99832	4.99883	4.99925	4.99958	4.99981	4.99995	
