angle dsdW
180 0.001573
175.983 0.0012332
173.975 0.00091069
171.966 0.00060672
169.958 0.00039292
167.949 0.00029417
165.941 0.00028731
163.933 0.00032106
161.925 0.00034504
159.917 0.00033309
155.901 0.00024469
153.893 0.00022482
151.886 0.00024554
149.878 0.00029966
147.871 0.00036419
145.864 0.00041385
143.857 0.00043414
141.85 0.00042704
137.837 0.00039589
135.831 0.00040673
133.825 0.00044751
131.819 0.00051885
129.814 0.00061876
127.808 0.00074497
121.794 0.0012096
119.789 0.0013374
117.785 0.0014207
113.778 0.0014879
111.775 0.0015566
109.772 0.0017359
107.769 0.0020813
105.766 0.0026087
101.762 0.0039798
99.7607 0.0045874
97.7594 0.0049776
95.7584 0.0051015
91.7573 0.0049776
89.7572 0.0052473
87.7574 0.0061524
85.7579 0.0078727
83.7587 0.010329
81.7597 0.013125
79.7611 0.015618
77.7627 0.017131
75.7647 0.01727
71.7694 0.014917
69.7722 0.014812
67.7753 0.017428
65.7786 0.023584
63.7822 0.032728
61.7861 0.042701
59.7902 0.050234
57.7946 0.052226
55.7992 0.047401
51.8092 0.027883
49.8145 0.024795
47.8201 0.033335
45.8259 0.053612
43.8319 0.079209
41.8381 0.098792
39.8445 0.10125
37.851 0.082378
35.8578 0.049679
33.8647 0.020994
31.8718 0.015649
29.8791 0.04088
27.8864 0.081529
25.894 0.10332
23.9016 0.077025
21.9094 0.021376
19.9173 0.050176
17.9253 0.39835
15.9334 1.4013
13.9415 3.4145
11.9497 6.685
9.95803 11.214
7.96634 16.66
5.97475 22.349
3.9831 27.384
0 32.098
