angle dsdW
180 0.39844
161.342 0.35313
153.513 0.31345
147.433 0.27891
142.245 0.24909
137.615 0.22357
133.376 0.20199
129.424 0.18399
125.695 0.16925
122.142 0.15748
118.732 0.1484
115.438 0.14178
112.239 0.13738
109.121 0.13502
106.068 0.13451
103.069 0.1357
100.113 0.13847
97.192 0.1427
94.2969 0.14831
91.4201 0.15525
88.5541 0.16347
85.6918 0.17297
82.8258 0.18376
79.949 0.19588
77.0535 0.20939
74.1313 0.22438
71.1735 0.24097
68.1701 0.2593
65.1099 0.27954
61.9796 0.30189
58.7634 0.32658
55.4419 0.35388
51.9906 0.38408
48.3773 0.4175
44.5583 0.45452
40.4709 0.49553
36.0194 0.54097
31.0426 0.59133
25.2256 0.64713
17.7539 0.70896
0 0.77743
