angle dsdW
180 0.00047029
173.845 0.00039475
171.794 0.00034355
169.742 0.00028645
167.692 0.00022846
165.641 0.00017438
163.591 0.00012822
161.542 9.2895e-05
159.493 7.0011e-05
157.445 5.9863e-05
155.398 6.1605e-05
153.351 7.354e-05
151.306 9.3464e-05
143.132 0.00020836
139.052 0.00026324
134.977 0.00030528
130.907 0.0003296
126.843 0.00033608
124.813 0.00033576
120.757 0.00034466
118.732 0.00036439
116.708 0.00040274
114.686 0.00046599
112.665 0.00055916
110.647 0.00068484
108.629 0.00084206
100.578 0.0016189
98.5698 0.001781
96.5632 0.0019033
92.5551 0.0020234
88.5541 0.0021032
86.5563 0.0022348
84.5602 0.0025115
82.5658 0.0030021
80.5732 0.0037658
78.5823 0.0048392
76.5931 0.0062205
74.6056 0.0078596
68.6529 0.013079
66.6719 0.014374
64.6925 0.015233
58.7634 0.016382
56.79 0.01774
54.8179 0.02085
52.8473 0.026659
50.878 0.036022
48.91 0.049473
46.9433 0.066972
44.9778 0.087681
41.0502 0.13088
39.0881 0.14768
37.1271 0.1573
35.167 0.15793
33.2079 0.15011
31.2498 0.13796
29.2924 0.13037
27.3359 0.14145
25.3801 0.19039
23.4251 0.30005
21.4706 0.49441
19.5169 0.79491
17.5636 1.2161
15.6108 1.7612
13.6585 2.4187
11.7066 3.1603
9.75498 3.9418
7.80361 4.7066
1.95084 6.2831
0 6.4034
