angle dsdW
180 0.040023
167.983 0.032147
162.979 0.025922
159.12 0.021057
155.852 0.017308
152.958 0.014471
150.329 0.012376
147.899 0.010885
145.626 0.0098835
143.48 0.0092776
141.44 0.008992
140.211 0.0089483
139.489 0.0089653
137.615 0.0091482
135.808 0.0095004
134.06 0.0099893
132.364 0.010588
130.714 0.011273
129.106 0.012026
127.535 0.012828
125.999 0.013664
124.493 0.014518
123.016 0.015376
121.565 0.016224
120.137 0.017047
118.732 0.017832
117.346 0.018564
115.979 0.019229
114.63 0.019816
113.296 0.02031
111.977 0.020701
110.671 0.020979
109.378 0.021135
108.096 0.021161
106.826 0.021053
105.564 0.020807
104.312 0.020424
103.069 0.019905
101.832 0.019254
100.603 0.01848
99.38 0.017591
98.1624 0.0166
96.9499 0.015524
95.7417 0.014377
94.5374 0.013182
93.3363 0.011958
92.138 0.010728
90.9419 0.0095174
89.7475 0.0083496
88.5541 0.0072497
87.3615 0.006242
86.1689 0.0053501
84.9759 0.004596
83.782 0.0039997
82.5866 0.0035783
81.3892 0.003346
80.5646 0.0033014
80.1893 0.0033129
78.9863 0.003485
77.7795 0.0038634
76.5686 0.0044442
75.3527 0.0052183
74.1313 0.0061712
72.9037 0.007283
71.6693 0.0085292
70.4273 0.0098807
69.177 0.011305
67.9174 0.012768
66.6479 0.014235
65.3674 0.015673
64.0749 0.017054
62.7695 0.018358
61.45 0.019579
60.1151 0.020727
58.7634 0.021838
57.3935 0.022978
56.0038 0.024256
54.5924 0.025831
53.1572 0.027924
51.6962 0.030836
50.2066 0.034963
48.6855 0.040813
47.1297 0.04903
45.5353 0.060423
43.8977 0.075991
42.2117 0.096959
40.4709 0.12482
38.6676 0.16136
36.7923 0.20877
34.833 0.2696
32.7744 0.34694
30.5961 0.44442
28.2701 0.56631
25.7559 0.71765
22.9916 0.90433
19.8725 1.1332
16.1945 1.4124
11.4293 1.7511
0 2.1601
