angle dsdW
180 0.0018116
171.794 0.0014379
169.742 0.0012721
167.692 0.0011064
165.641 0.00095495
163.591 0.00082948
161.542 0.00073727
159.493 0.00068092
157.445 0.00065827
155.398 0.00066323
147.217 0.00077465
145.174 0.00078575
137.014 0.0007553
134.977 0.00076845
132.941 0.00081011
130.907 0.00088854
128.874 0.0010088
126.843 0.001172
122.784 0.0016095
116.708 0.0023768
112.665 0.0027901
108.629 0.0030168
104.6 0.0030661
102.588 0.0030671
100.578 0.0030969
98.5698 0.0032016
96.5632 0.0034351
94.5583 0.0038543
92.5551 0.0045135
90.5538 0.0054558
88.5541 0.0067049
86.5563 0.0082568
82.5658 0.012072
78.5823 0.016128
76.5931 0.017878
74.6056 0.019245
72.6197 0.020129
70.6355 0.020517
66.6719 0.020378
64.6925 0.020533
62.7146 0.021555
60.7383 0.024129
58.7634 0.028977
56.79 0.036739
54.8179 0.047833
52.8473 0.062309
50.878 0.079701
44.9778 0.13572
43.0134 0.14858
41.0502 0.15461
39.0881 0.15211
37.1271 0.1407
35.167 0.12193
33.2079 0.099849
31.2498 0.081395
29.2924 0.076358
27.3359 0.096978
25.3801 0.157
23.4251 0.27024
21.4706 0.44872
19.5169 0.70066
17.5636 1.0285
15.6108 1.4271
13.6585 1.8834
11.7066 2.3758
9.75498 2.8761
5.8525 3.7665
0 4.3662
