angle dsdW
180 0.022557
170.349 0.022037
166.336 0.020777
160.633 0.017159
156.226 0.013269
152.484 0.0098717
150.781 0.008458
149.164 0.0072476
147.621 0.0062355
146.141 0.0054093
144.717 0.0047524
143.341 0.004246
142.009 0.0038715
140.715 0.0036112
139.457 0.0034492
138.23 0.0033721
137.628 0.0033619
135.862 0.0034319
133.591 0.0037341
131.405 0.0042569
129.291 0.0050017
127.24 0.0059807
125.244 0.0072044
123.297 0.0086729
121.394 0.010368
119.53 0.012253
117.7 0.014266
115.902 0.016331
114.131 0.018355
112.386 0.020238
110.663 0.021879
108.96 0.023183
107.275 0.024065
105.607 0.024462
103.953 0.024331
102.311 0.023659
100.681 0.022461
99.0602 0.020782
97.4475 0.018699
95.8416 0.016315
94.2411 0.013762
92.6447 0.011194
91.0512 0.0087804
89.4594 0.006708
88.6637 0.0058599
87.868 0.0051697
87.0721 0.0046621
86.2758 0.0043613
85.479 0.0042911
84.6815 0.0044748
83.8832 0.0049346
83.084 0.005692
82.2835 0.006767
81.4818 0.008178
80.6786 0.0099417
79.8737 0.012073
79.0671 0.014584
78.2584 0.017484
76.6345 0.024476
75.0003 0.033061
73.3544 0.043189
71.6952 0.05473
70.0207 0.067465
68.3292 0.081072
66.6184 0.095109
64.8862 0.10901
63.13 0.12207
61.347 0.13346
59.534 0.14223
57.6877 0.14737
55.8039 0.14784
53.878 0.14273
51.9047 0.13141
49.8776 0.11381
47.7893 0.090774
45.6306 0.0646
44.5215 0.051631
43.3904 0.039786
42.816 0.034609
41.9427 0.028213
41.5006 0.025799
41.0546 0.02402
40.4537 0.022801
40.2265 0.022728
39.9982 0.022886
39.6537 0.023587
39.1323 0.025784
38.6051 0.029522
38.2899 0.032545
37.7328 0.039441
37.3104 0.046084
36.6691 0.058688
36.0182 0.074837
35.3463 0.095346
34.8352 0.11375
34.0559 0.14681
33.2608 0.18719
32.5398 0.23001
31.4308 0.30817
30.2858 0.40557
29.5003 0.48273
28.2852 0.61941
27.0204 0.78471
25.2438 1.0572
23.3423 1.4003
21.2822 1.8277
19.012 2.3555
16.4448 3.0022
13.4108 3.7894
9.47144 4.7417
0 5.8877
