angle dsdW
180 8.6072e-05
177.991 0.00010185
175.983 0.00014364
173.975 0.00019679
171.966 0.00024301
169.958 0.0002673
167.949 0.00026402
163.933 0.00021224
161.925 0.00020456
159.917 0.00023805
157.909 0.00032484
155.901 0.00046349
151.886 0.0008263
149.878 0.00099827
147.871 0.0011316
145.864 0.0012126
143.857 0.0012394
141.85 0.0012198
135.831 0.0010619
133.825 0.0010496
131.819 0.0010967
129.814 0.0012261
127.808 0.0014551
125.803 0.0017895
123.798 0.0022173
119.789 0.0031886
117.785 0.0035997
115.781 0.0038623
113.778 0.0039235
111.775 0.0037738
107.769 0.0031024
105.766 0.0028518
103.764 0.0028841
101.762 0.003341
99.7607 0.0042842
97.7594 0.005659
93.7577 0.0088707
91.7573 0.010089
89.7572 0.010646
87.7574 0.010377
85.7579 0.0093195
81.7597 0.006112
79.7611 0.0049896
77.7627 0.0048916
75.7647 0.0061296
73.7669 0.0086921
71.7694 0.012207
69.7722 0.016013
67.7753 0.019336
65.7786 0.021502
63.7822 0.022142
61.7861 0.021269
59.7902 0.019221
57.7946 0.016462
51.8092 0.0073301
49.8145 0.005553
47.8201 0.0070323
45.8259 0.015556
43.8319 0.03629
41.8381 0.074382
39.8445 0.13242
37.851 0.20726
35.8578 0.28762
33.8647 0.35393
31.8718 0.38237
29.8791 0.35389
27.8864 0.26751
25.894 0.15514
23.9016 0.093238
21.9094 0.20583
19.9173 0.65401
17.9253 1.6101
15.9334 3.2184
13.9415 5.5514
11.9497 8.5691
9.95803 12.099
7.96634 15.837
5.97475 19.388
0 24.944
