angle dsdW
180 0.16329
159.446 0.14492
150.781 0.12949
144.023 0.11682
138.23 0.10672
133.037 0.09907
128.258 0.093778
123.78 0.09079
119.53 0.090092
115.456 0.091707
111.521 0.095698
107.695 0.10217
103.953 0.11127
100.275 0.12318
96.6438 0.13816
93.0435 0.15649
89.4594 0.17852
85.8775 0.20466
82.2835 0.23538
78.663 0.27122
75.0003 0.31279
71.278 0.3608
67.4763 0.41603
63.5714 0.47936
59.534 0.55178
55.3265 0.6344
50.8983 0.72842
46.1774 0.83522
41.0546 0.95628
35.3463 1.0933
28.6955 1.248
20.1777 1.4225
0 1.6189
