angle dsdW
180 0.0066081
172.14 0.0057449
168.877 0.005073
166.368 0.0045627
164.249 0.0041877
162.377 0.0039252
160.682 0.0037549
157.664 0.0036234
154.993 0.0036801
152.568 0.0038424
150.329 0.004052
148.236 0.0042696
146.262 0.0044704
144.386 0.0046405
142.594 0.0047739
140.874 0.0048699
139.217 0.0049316
137.615 0.0049639
136.063 0.0049729
134.554 0.0049646
133.085 0.0049449
131.651 0.0049187
130.251 0.0048902
128.879 0.0048628
127.535 0.0048389
126.216 0.0048203
124.92 0.0048084
123.646 0.0048042
123.016 0.0048052
122.391 0.0048086
121.155 0.0048227
119.935 0.0048479
118.732 0.004886
117.543 0.0049394
116.368 0.0050111
115.206 0.0051047
114.056 0.0052245
112.918 0.0053752
111.789 0.0055621
110.671 0.0057907
109.562 0.0060666
108.461 0.0063952
107.369 0.0067819
106.284 0.007231
105.206 0.0077464
104.134 0.0083307
103.069 0.0089853
102.009 0.0097101
100.954 0.010503
99.9034 0.011361
98.8575 0.012277
97.8155 0.013244
96.777 0.014253
95.7417 0.01529
94.7092 0.016344
93.6792 0.017398
92.6513 0.018436
91.6252 0.01944
90.6005 0.020391
89.5769 0.02127
88.5541 0.02206
87.5318 0.022743
86.5097 0.023303
85.4873 0.023727
84.4644 0.024003
83.4406 0.024126
82.4157 0.024093
81.3892 0.023906
80.3609 0.023575
79.3303 0.023116
78.2972 0.022549
77.2611 0.021905
76.2217 0.021222
75.1786 0.020543
74.1313 0.019921
73.0795 0.019415
72.0228 0.019091
70.9606 0.019019
69.8925 0.019273
68.8181 0.019928
67.7367 0.02106
66.6479 0.02274
65.551 0.025031
64.4455 0.027989
63.3307 0.03165
62.2058 0.036035
61.0702 0.041137
59.923 0.046919
58.7634 0.053312
57.5904 0.060203
56.403 0.067435
55.2 0.074802
53.9803 0.082046
52.7425 0.088859
51.4852 0.094882
50.2066 0.099715
48.9049 0.10293
47.578 0.10408
46.2236 0.10275
44.8391 0.09858
43.4212 0.09131
41.9666 0.080886
40.4709 0.067534
38.9294 0.051901
37.3361 0.035215
36.5179 0.027073
35.6839 0.019502
34.833 0.012927
34.4009 0.010167
33.964 0.0078541
33.7437 0.0068898
33.3552 0.0055507
33.0612 0.0048679
32.8393 0.0045548
32.5775 0.0044225
32.4195 0.0044727
32.1653 0.0047681
31.9343 0.0052764
31.7309 0.005921
31.552 0.0066467
31.2368 0.0083013
30.9985 0.0098837
30.638 0.012848
30.2736 0.016576
29.7841 0.022814
29.4122 0.028547
28.8462 0.03902
28.2701 0.051976
27.7488 0.065809
26.9499 0.091144
26.1286 0.1227
25.5677 0.14763
24.7043 0.19157
23.8119 0.24433
22.571 0.3304
21.2624 0.43731
19.8725 0.5686
18.3831 0.72825
16.7675 0.92081
14.985 1.1514
12.9667 1.4258
10.5786 1.7506
7.47409 2.1331
0 2.5816
