E sigma std
6.45645 3.2834 2.4627
6.46099 3.2253 2.4613
6.46553 3.1716 2.4601
6.46855 3.1389 2.4593
6.47233 3.1021 2.4584
6.47517 3.0779 2.4579
6.47801 3.0571 2.4574
6.48084 3.0402 2.457
6.48368 3.0278 2.4567
6.48595 3.0215 2.4566
6.48822 3.0187 2.4565
6.49049 3.0201 2.4565
6.49219 3.024 2.4566
6.4937 3.0298 2.4568
6.49559 3.0403 2.457
6.49748 3.0549 2.4573
6.49937 3.0739 2.4578
6.50104 3.0947 2.4583
6.50247 3.1159 2.4588
6.50391 3.1404 2.4593
6.50535 3.1685 2.46
6.50675 3.1996 2.4607
6.50811 3.2335 2.4615
6.50947 3.2715 2.4624
6.51083 3.3138 2.4634
6.51214 3.3586 2.4644
6.51338 3.4058 2.4655
6.51463 3.4575 2.4667
6.51588 3.5139 2.4681
6.51734 3.5863 2.4698
6.51893 3.6738 2.4718
6.52044 3.7664 2.474
6.52195 3.8687 2.4764
6.52346 3.9815 2.479
6.52482 4.0929 2.4816
6.52603 4.2003 2.4841
6.52725 4.3162 2.4868
6.52846 4.4413 2.4897
6.52959 4.5673 2.4927
6.53118 4.7593 2.4972
6.53277 4.9707 2.5021
6.53435 5.2036 2.5075
6.53594 5.4597 2.5135
6.53753 5.7414 2.5201
6.53874 5.9745 2.5256
6.53995 6.2248 2.5314
6.54116 6.4935 2.5377
6.54237 6.7819 2.5444
6.54388 7.1721 2.5535
6.5454 7.5978 2.5635
6.54691 8.062 2.5743
6.54842 8.5679 2.5862
6.54994 9.1188 2.599
6.55145 9.7184 2.613
6.55296 10.371 2.6283
6.55447 11.079 2.6448
6.55584 11.769 2.661
6.5572 12.512 2.6783
6.55856 13.311 2.697
6.55992 14.17 2.7171
6.56128 15.094 2.7387
6.56264 16.085 2.7618
6.564 17.148 2.7867
6.56537 18.289 2.8133
6.56673 19.511 2.8419
6.56809 20.818 2.8724
6.56953 22.298 2.907
6.57111 24.059 2.9481
6.5727 25.959 2.9926
6.57429 28.009 3.0404
6.57588 30.216 3.092
6.57747 32.589 3.1475
6.57906 35.139 3.207
6.58064 37.874 3.271
6.58223 40.804 3.3394
6.58382 43.938 3.4127
6.58541 47.287 3.4909
6.587 50.86 3.5744
6.58859 54.666 3.6634
6.59017 58.714 3.7579
6.59229 64.504 3.8932
6.59441 70.761 4.0394
6.59653 77.502 4.197
6.59864 84.745 4.3662
6.60076 92.504 4.5475
6.60288 100.79 4.7411
6.605 109.61 4.9473
6.60712 118.97 5.166
6.60923 128.87 5.3974
6.61238 144.58 5.7643
6.61547 161.1 6.1504
6.61855 178.68 6.5612
6.6223 201.36 7.0911
6.62684 230.44 7.7708
6.63289 271.27 8.7247
6.64378 346.22 10.476
6.64862 377.91 11.217
6.65347 407.21 11.901
6.65697 426.39 12.35
6.66024 442.34 12.722
6.66351 456.19 13.046
6.66666 467.34 13.306
6.66992 476.46 13.519
6.67389 483.97 13.695
6.67743 487.26 13.772
6.67985 487.65 13.781
6.68293 485.94 13.741
6.68638 481.19 13.63
6.69001 473.1 13.441
6.69364 462.05 13.183
6.69727 448.33 12.862
6.7009 432.26 12.487
6.70574 407.81 11.915
6.71059 380.77 11.283
6.71785 337.36 10.269
6.72692 282.28 8.982
6.73312 246.37 8.143
6.73706 224.95 7.6423
6.74099 204.8 7.1715
6.74492 186.06 6.7338
6.7484 170.73 6.3755
6.75143 158.37 6.0866
6.75445 146.9 5.8187
6.75748 136.32 5.5715
6.7605 126.6 5.3443
6.76353 117.7 5.1364
6.76656 109.59 4.9468
6.76958 102.22 4.7745
6.77261 95.533 4.6183
6.77563 89.49 4.4771
6.77866 84.035 4.3496
6.78168 79.12 4.2348
6.78471 74.694 4.1314
6.78773 70.712 4.0383
6.79076 67.129 3.9546
6.79378 63.903 3.8792
6.79711 60.722 3.8049
6.80074 57.638 3.7328
6.80437 54.906 3.669
6.808 52.477 3.6122
6.81163 50.31 3.5616
6.81526 48.369 3.5162
6.82071 45.814 3.4565
6.82434 44.312 3.4214
6.82979 42.308 3.3746
6.83523 40.552 3.3335
6.84068 38.999 3.2973
6.84612 37.614 3.2649
6.85429 35.794 3.2224
6.86246 34.22 3.1856
6.87169 32.677 3.1495
6.87925 31.564 3.1235
6.8906 30.099 3.0893
6.90194 28.834 3.0597
6.91329 27.73 3.0339
6.91657 27.448 3.0273
6.92463 26.757 3.0112
6.93598 25.894 2.991
6.95111 24.882 2.9674
6.96623 24.002 2.9468
6.98136 23.23 2.9288
7.00405 22.232 2.9055
7.02674 21.389 2.8858
7.04943 20.667 2.8689
7.0743 19.986 2.853
7.09916 19.397 2.8392
7.13645 18.65 2.8218
7.1741 18.024 2.8071
7.21192 17.494 2.7947
7.24974 17.042 2.7842
7.30088 16.525 2.7721
7.35203 16.094 2.762
7.41728 15.637 2.7513
7.4704 15.33 2.7442
7.48516 15.245 2.7422
7.57629 14.816 2.7322
7.68384 14.415 2.7228
7.80579 14.054 2.7144
7.93404 13.752 2.7073
8.10273 13.436 2.5039
8.2746 13.181 2.5025
8.29826 13.153 2.5024
8.50973 12.905 2.501
8.81327 12.631 2.4995
8.96272 12.528 2.4989
9.19158 12.369 2.498
9.68086 12.112 2.4966
9.72136 12.09 2.4965
10.4645 11.789 2.8328
10.7531 11.695 2.8289
11.685 11.393 2.8163
11.6961 11.39 2.8161
12.6333 11.104 2.8042
13.7672 10.758 2.7898
13.8374 10.734 2.7888
14.7662 10.406 2.7751
14.9461 10.331 2.772
15.5079 10.098 2.7622
16.061 9.8281 2.751
16.5174 9.5702 2.7403
16.6016 9.5146 2.7379
16.9868 9.2601 2.7273
17.3471 8.9802 2.7157
17.5918 8.7635 2.7066
17.8062 8.5501 2.6977
17.84 8.5164 2.6963
18.0917 8.2316 2.6844
18.2831 7.9865 2.6742
18.4296 7.779 2.6656
18.6249 7.4706 2.6527
18.7936 7.1693 2.6401
18.9061 6.9472 2.6309
19.0158 6.7118 2.6211
19.1227 6.4625 2.6107
19.2324 6.1832 2.599
19.3348 5.8987 2.5871
19.3676 5.7997 2.583
19.4259 5.6239 2.5757
19.5188 5.3207 2.563
19.5935 5.0588 2.5521
19.6712 4.7689 2.54
19.7471 4.4674 2.5275
19.8146 4.1853 2.5157
19.8849 3.8793 2.5029
20.0209 3.2724 2.4776
20.0585 3.1096 2.4708
20.084 3.0037 2.4664
20.1029 2.9283 2.4633
20.118 2.8704 2.4609
20.1331 2.8154 2.4586
20.1454 2.773 2.4568
20.1577 2.733 2.4551
20.1659 2.708 2.4541
20.1752 2.6815 2.453
20.1813 2.6649 2.4523
20.1875 2.6492 2.4516
20.1931 2.6356 2.4511
20.1983 2.6241 2.4506
20.2034 2.6133 2.4501
20.2085 2.6033 2.4497
20.2147 2.5925 2.4493
20.2201 2.584 2.4489
20.2254 2.5767 2.4486
20.2301 2.5712 2.4484
20.2347 2.5666 2.4482
20.239 2.5631 2.448
20.2429 2.5607 2.4479
20.2467 2.559 2.4479
20.2498 2.5581 2.4478
20.2539 2.5577 2.4478
20.2567 2.5579 2.4478
20.2598 2.5586 2.4479
20.2639 2.5604 2.4479
20.2678 2.5629 2.448
20.2716 2.5663 2.4482
20.2751 2.5701 2.4483
20.2783 2.5744 2.4485
20.2816 2.5795 2.4487
20.2855 2.5864 2.449
20.2889 2.5934 2.4493
20.2926 2.602 2.4497
20.2967 2.6127 2.4501
20.2998 2.6217 2.4505
20.3032 2.6322 2.4509
20.3068 2.6446 2.4514
20.3109 2.6603 2.4521
20.3143 2.6747 2.4527
20.3178 2.6902 2.4533
20.3216 2.7089 2.4541
20.3255 2.7292 2.455
20.3296 2.7525 2.4559
20.3342 2.7811 2.4571
20.3388 2.8123 2.4584
20.3439 2.85 2.46
20.3475 2.8785 2.4612
20.3511 2.9088 2.4625
20.3547 2.9409 2.4638
20.3588 2.9801 2.4654
20.3629 3.0218 2.4672
20.367 3.0663 2.469
20.3711 3.1138 2.471
20.3763 3.1773 2.4737
20.3814 3.2459 2.4765
20.3865 3.3199 2.4796
20.3916 3.3995 2.4829
20.3968 3.4852 2.4865
20.4019 3.5772 2.4903
20.407 3.6761 2.4945
20.4122 3.7821 2.4989
20.4168 3.8842 2.5031
20.4214 3.9929 2.5077
20.4276 4.1487 2.5142
20.4337 4.318 2.5212
20.4386 4.4623 2.5272
20.444 4.6331 2.5344
20.4494 4.8166 2.542
20.4547 5.0139 2.5502
20.4601 5.2258 2.5591
20.4655 5.4536 2.5686
20.4709 5.6984 2.5788
20.4763 5.9617 2.5898
20.4817 6.2449 2.6016
20.4871 6.5498 2.6143
20.4924 6.878 2.628
20.4983 7.2668 2.6442
20.5045 7.7082 2.6626
20.5107 8.19 2.6827
20.5168 8.7165 2.7047
20.523 9.2928 2.7287
20.5291 9.9248 2.755
20.5353 10.619 2.784
20.5414 11.384 2.8159
20.5455 11.937 2.839
20.5496 12.529 2.8637
20.5537 13.164 2.8901
20.5578 13.844 2.9185
20.5619 14.575 2.949
20.566 15.363 2.9818
20.5702 16.212 3.0172
20.5743 17.13 3.0555
20.5784 18.124 3.097
20.5825 19.204 3.142
20.5866 20.378 3.191
20.5907 21.658 3.2444
20.5948 23.059 3.3027
20.5989 24.593 3.3667
20.603 26.279 3.4371
20.6071 28.137 3.5145
20.6112 30.188 3.6
20.6143 31.868 3.6701
20.6173 33.684 3.7458
20.6204 35.648 3.8278
20.6235 37.776 3.9165
20.6266 40.083 4.0127
20.6297 42.586 4.1171
20.6327 45.307 4.2305
20.6358 48.264 4.3539
20.6389 51.483 4.4881
20.642 54.987 4.6342
20.645 58.805 4.7935
20.6481 62.966 4.967
20.6512 67.503 5.1562
20.6543 72.451 5.3625
20.6574 77.847 5.5875
20.6602 83.323 5.8159
20.663 89.04 6.0543
20.6658 95.22 6.312
20.6685 101.9 6.5905
20.6713 109.11 6.8913
20.6741 116.9 7.2162
20.6768 125.31 7.5668
20.6796 134.38 7.9451
20.6824 144.16 8.3529
20.6852 154.69 8.7922
20.6879 166.04 9.2652
20.6912 180.59 9.8723
20.6945 196.45 10.533
20.6978 213.69 11.252
20.7011 232.41 12.033
20.7043 252.72 12.88
20.7076 274.7 13.797
20.7109 298.47 14.788
20.7142 324.11 15.857
20.7171 348.17 16.86
20.7199 373.8 17.929
20.7228 401.08 19.067
20.7257 430.05 20.275
20.7286 460.79 21.557
20.7329 510.32 23.623
20.7372 564.1 25.865
20.7415 622.27 28.291
20.7458 684.93 30.904
20.7501 752.15 33.707
20.7544 823.96 36.702
20.7587 900.33 39.887
20.7624 969.36 42.765
20.7669 1058.1 46.465
20.7737 1199.6 52.368
20.7803 1345.6 58.457
20.7885 1538.1 66.483
20.8032 1901.2 81.624
20.816 2213 94.627
20.8258 2439.9 104.09
20.8324 2578.6 109.87
20.8389 2703.7 115.09
20.8455 2812.4 119.62
20.8521 2902.3 123.37
20.8586 2971.2 126.25
20.8642 3012.1 127.95
20.8708 3038.5 129.05
20.8754 3042.8 129.23
20.8811 3031.4 128.76
20.8869 3002 127.53
20.8934 2947 125.24
20.9 2870.7 122.05
20.9066 2774.9 118.06
20.9131 2662.1 113.36
20.9197 2535 108.05
20.9295 2323.6 99.239
20.941 2057.6 88.148
20.9593 1628.4 70.25
