E sigma std
3176.83 9.6087 2.7178
3176.87 9.6046 2.7177
3176.95 9.6199 2.7183
3177.03 9.6744 2.7203
3177.11 9.7787 2.7243
3177.17 9.8971 2.7289
3177.23 10.056 2.735
3177.29 10.263 2.7429
3177.36 10.524 2.7529
3177.42 10.847 2.7653
3177.46 11.141 2.7766
3177.51 11.527 2.7914
3177.57 11.975 2.8086
3177.62 12.491 2.8283
3177.67 13.08 2.8509
3177.72 13.746 2.8765
3177.78 14.496 2.9052
3177.83 15.333 2.9373
3177.88 16.15 2.9686
3177.92 16.92 2.9982
3177.98 18.183 3.0466
3178.04 19.578 3.1001
3178.1 21.106 3.1586
3178.16 22.766 3.2223
3178.21 24.402 3.285
3178.28 26.635 3.3707
3178.36 29.026 3.4623
3178.43 31.555 3.5593
3178.53 35.545 3.7122
3178.85 47.926 4.187
3178.96 52.209 4.3512
3179.06 55.541 4.4789
3179.14 57.925 4.5703
3179.22 59.86 4.6445
3179.3 61.481 4.7067
3179.38 62.698 4.7533
3179.45 63.35 4.7783
3179.51 63.674 4.7908
3179.56 63.752 4.7938
3179.61 63.643 4.7896
3179.68 63.166 4.7713
3179.77 62.162 4.7328
3179.86 60.571 4.6718
3179.96 58.436 4.5899
3180.06 55.897 4.4926
3180.17 52.528 4.3634
3180.36 46.579 4.1353
3180.53 40.822 3.9146
3180.65 37.228 3.7768
3180.73 34.877 3.6867
3180.81 32.674 3.6022
3180.89 30.633 3.5239
3180.98 28.54 3.4437
3181.07 26.666 3.3718
3181.13 25.536 3.3285
3181.19 24.499 3.2888
3181.25 23.552 3.2524
3181.34 22.288 3.204
3181.41 21.426 3.1709
3181.5 20.558 3.1376
3181.58 19.803 3.1087
3181.66 19.148 3.0836
3181.74 18.58 3.0618
3181.82 18.088 3.0429
3181.94 17.468 3.0192
3182.06 16.947 2.9992
3182.2 16.495 2.9819
3182.33 16.122 2.9675
3182.46 15.807 2.9555
3182.64 15.453 2.9419
3182.84 15.112 2.9288
3183.18 14.633 2.9105
3183.64 14.097 2.8899
3184.41 13.299 2.8593
3185.13 12.573 2.8315
3185.55 12.1 2.8133
3185.96 11.596 2.794
3186.55 10.802 2.7636
3186.69 10.649 2.7577
3186.83 10.546 2.7538
3186.93 10.521 2.7528
3187.02 10.548 2.7538
3187.09 10.612 2.7563
3187.15 10.702 2.7597
3187.22 10.86 2.7658
3187.27 11.021 2.772
3187.32 11.224 2.7798
3187.37 11.474 2.7894
3187.42 11.777 2.801
3187.48 12.138 2.8148
3187.53 12.564 2.8311
3187.58 13.061 2.8502
3187.63 13.634 2.8722
3187.67 14.062 2.8886
3187.71 14.694 2.9128
3187.76 15.398 2.9398
3187.81 16.18 2.9698
3187.85 17.042 3.0028
3187.9 17.988 3.0391
3187.94 19.021 3.0787
3187.99 20.144 3.1218
3188.04 21.358 3.1683
3188.1 23.092 3.2348
3188.16 24.986 3.3074
3188.22 27.037 3.3861
3188.28 29.242 3.4706
3188.34 31.593 3.5607
3188.41 34.341 3.6661
3188.5 38.413 3.8222
3188.63 44.155 4.0424
3188.88 56.128 4.5014
3189 61.281 4.699
3189.09 64.83 4.8351
3189.17 67.907 4.9531
3189.25 70.446 5.0504
3189.33 72.304 5.1216
3189.41 73.884 5.1822
3189.48 74.768 5.2161
3189.55 75.263 5.2351
3189.6 75.377 5.2395
3189.69 75.023 5.2259
3189.76 74.316 5.1988
3189.82 73.432 5.1649
3189.89 72.029 5.1111
3189.97 70.265 5.0435
3190.04 68.165 4.9629
3190.16 64.291 4.8144
3190.24 61.358 4.7019
3190.6 47.658 4.1767
3190.73 43.026 3.9991
3190.81 40.153 3.8889
3190.9 37.379 3.7826
3190.99 34.751 3.6818
3191.06 32.955 3.6129
3191.13 31.308 3.5498
3191.2 29.808 3.4923
3191.26 28.667 3.4485
3191.33 27.421 3.4008
3191.4 26.304 3.3579
3191.47 25.306 3.3197
3191.54 24.416 3.2856
3191.61 23.627 3.2553
3191.68 22.928 3.2285
3191.78 22.027 3.194
3191.87 21.354 3.1682
3191.97 20.783 3.1463
3192.06 20.295 3.1276
3192.2 19.69 3.1044
3192.34 19.202 3.0857
3192.52 18.683 3.0657
3192.71 18.268 3.0498
3192.99 17.773 3.0309
3193.26 17.377 3.0157
3193.57 17.012 3.0017
3194.04 16.565 2.9845
3194.65 16.092 2.9664
3195.43 15.615 2.9481
3196.35 15.159 2.9306
3197.79 14.557 2.9076
3199.76 13.784 2.8779
3200 13.675 2.8737
3200.78 13.323 2.8603
3201.43 12.982 2.8472
3201.91 12.682 2.8357
3202.34 12.363 2.8234
3202.75 12.003 2.8096
3203.16 11.578 2.7933
3203.56 11.159 2.7773
3203.72 11.045 2.7729
3203.84 11.013 2.7717
3203.93 11.03 2.7723
3204.01 11.089 2.7746
3204.09 11.2 2.7789
3204.15 11.327 2.7837
3204.21 11.496 2.7902
3204.27 11.714 2.7986
3204.33 11.99 2.8091
3204.39 12.329 2.8221
3204.45 12.739 2.8379
3204.5 13.125 2.8527
3204.54 13.566 2.8695
3204.59 14.066 2.8887
3204.64 14.629 2.9103
3204.69 15.259 2.9345
3204.74 15.959 2.9613
3204.78 16.734 2.991
3204.83 17.585 3.0237
3204.89 18.762 3.0688
3204.95 20.067 3.1188
3205.01 21.501 3.1738
3205.07 23.066 3.2338
3205.13 24.759 3.2987
3205.19 26.389 3.3612
3205.26 28.578 3.4451
3205.32 30.907 3.5344
3205.43 34.623 3.6769
3205.55 39.337 3.8577
3205.78 48.466 4.2077
3205.9 52.85 4.3758
3206 56.016 4.4971
3206.09 58.646 4.598
3206.17 60.663 4.6753
3206.25 62.364 4.7405
3206.34 63.559 4.7863
3206.42 64.328 4.8158
3206.5 64.611 4.8267
3206.52 64.614 4.8268
3206.6 64.35 4.8167
3206.67 63.758 4.794
3206.74 62.954 4.7631
3206.83 61.307 4.7
3206.93 59.2 4.6192
3207.01 56.98 4.5341
3207.1 54.525 4.44
3207.28 49.028 4.2292
3207.5 42.103 3.9637
3207.62 38.529 3.8267
3207.7 36.298 3.7411
3207.78 34.21 3.6611
3207.86 32.279 3.587
3207.94 30.511 3.5193
3208.02 28.985 3.4607
3208.09 27.673 3.4104
3208.16 26.489 3.365
3208.24 25.427 3.3243
3208.31 24.478 3.2879
3208.38 23.635 3.2556
3208.45 22.889 3.227
3208.52 22.231 3.2018
3208.6 21.621 3.1784
3208.68 21.064 3.157
3208.8 20.365 3.1302
3208.92 19.802 3.1087
3209.04 19.347 3.0912
3209.2 18.866 3.0728
3209.4 18.418 3.0556
3209.6 18.077 3.0425
3209.87 17.722 3.0289
3210.3 17.299 3.0127
3211.18 16.605 2.9861
3211.79 16.199 2.9705
3212.28 15.938 2.9605
3212.97 15.657 2.9497
3214.1 15.321 2.9368
3215.69 14.954 2.9228
3218.02 14.529 2.9065
3218.68 14.459 2.9038
3218.75 14.458 2.9037
3219.19 14.493 2.9051
3219.54 14.587 2.9087
3220.24 14.836 2.9183
3220.49 14.87 2.9195
3220.78 14.825 2.9178
3221.09 14.676 2.9121
3221.98 14.034 2.8875
3222.45 13.771 2.8774
3223.47 13.368 2.862
3224.43 12.94 2.8456
3224.64 12.894 2.8438
3224.71 12.894 2.8438
3224.84 12.927 2.8451
3224.98 13.022 2.8487
3225.08 13.147 2.8535
3225.19 13.329 2.8605
3225.29 13.578 2.87
3225.39 13.903 2.8825
3225.47 14.195 2.8937
3225.54 14.535 2.9067
3225.62 14.924 2.9216
3225.73 15.581 2.9468
3225.83 16.29 2.974
3225.93 17.083 3.0044
3226.08 18.309 3.0514
3226.46 21.746 3.1832
3226.59 22.846 3.2254
3226.71 23.705 3.2583
3226.82 24.344 3.2828
3226.93 24.796 3.3001
3227.03 25.05 3.3099
3227.13 25.155 3.3139
3227.15 25.156 3.3139
3227.25 25.063 3.3104
3227.34 24.862 3.3027
3227.44 24.516 3.2894
3227.55 23.998 3.2695
3227.67 23.286 3.2422
3227.88 21.914 3.1896
3228.15 20.02 3.117
3228.32 18.943 3.0757
3228.48 18.095 3.0432
3228.63 17.379 3.0157
3228.77 16.851 2.9955
3228.91 16.418 2.9789
3229.04 16.068 2.9655
3229.18 15.789 2.9548
3229.35 15.527 2.9447
3229.59 15.244 2.9339
3229.84 15.046 2.9263
3230.21 14.84 2.9184
3230.83 14.609 2.9095
3231.81 14.361 2.9
3233.16 14.125 2.891
3235.51 13.819 2.8793
3238.77 13.482 2.8663
3240.55 13.339 2.8609
3243.92 12.837 2.8416
3244.77 12.671 2.8352
3245.45 12.499 2.8286
3245.95 12.331 2.8222
3246.95 11.927 2.8067
3247.12 11.9 2.8057
3247.23 11.911 2.8061
3247.37 11.973 2.8085
3247.48 12.067 2.8121
3247.57 12.192 2.8169
3247.68 12.41 2.8252
3247.77 12.629 2.8336
3247.85 12.902 2.8441
3247.94 13.233 2.8568
3248.04 13.698 2.8746
3248.11 14.084 2.8894
3248.21 14.75 2.915
3248.32 15.517 2.9444
3248.42 16.376 2.9773
3248.53 17.314 3.0133
3248.71 19.061 3.0803
3248.92 21.017 3.1552
3249.03 22.02 3.1937
3249.15 22.965 3.2299
3249.26 23.718 3.2588
3249.36 24.263 3.2797
3249.46 24.62 3.2934
3249.54 24.796 3.3001
3249.62 24.866 3.3028
3249.68 24.848 3.3021
3249.78 24.693 3.2962
3249.87 24.413 3.2854
3249.97 23.975 3.2686
3250.09 23.33 3.2439
3250.23 22.424 3.2092
3250.65 19.318 3.0901
3250.8 18.363 3.0535
3250.91 17.672 3.027
3251.02 17.054 3.0033
3251.14 16.512 2.9825
3251.25 16.045 2.9646
3251.39 15.558 2.946
3251.53 15.168 2.931
3251.67 14.859 2.9191
3251.81 14.614 2.9098
3252 14.371 2.9004
3252.27 14.115 2.8906
3252.55 13.936 2.8838
3253.06 13.708 2.875
3253.57 13.543 2.8687
3254.45 13.327 2.8604
3255.91 13.063 2.8503
3258.99 12.635 2.8338
3264.25 11.932 2.8069
3265.4 11.758 2.8002
3265.88 11.727 2.7991
3266.2 11.746 2.7998
3266.58 11.819 2.8026
3267.22 11.979 2.8087
3267.43 11.995 2.8093
3267.71 11.957 2.8079
3267.98 11.852 2.8039
3268.28 11.672 2.797
3268.91 11.241 2.7804
3269.31 11.019 2.7719
3269.69 10.859 2.7658
3271.64 10.217 2.7411
3272.03 10.123 2.7375
3272.24 10.104 2.7368
3272.49 10.134 2.738
3272.66 10.193 2.7402
3272.83 10.289 2.7439
3273.08 10.495 2.7518
3273.53 10.947 2.7691
3273.68 11.071 2.7739
3273.85 11.154 2.7771
3273.97 11.172 2.7778
3274.11 11.138 2.7765
3274.25 11.041 2.7728
3274.38 10.882 2.7667
3274.53 10.659 2.7581
3274.63 10.455 2.7503
3274.78 10.137 2.7381
3274.98 9.6586 2.7197
3275.33 8.7958 2.6867
3275.54 8.2971 2.6675
3275.7 7.9522 2.6543
3275.85 7.6574 2.643
3276.04 7.309 2.6297
3276.23 6.9853 2.6172
3276.42 6.6807 2.6056
3276.61 6.3844 2.5942
3276.77 6.1762 2.5862
3276.87 6.0562 2.5816
3276.97 5.9598 2.5779
3277.05 5.9094 2.576
3277.12 5.8843 2.575
3277.15 5.8829 2.575
3277.2 5.8923 2.5753
3277.25 5.9204 2.5764
3277.3 5.9705 2.5783
3277.34 6.0269 2.5805
3277.38 6.1059 2.5835
3277.43 6.2071 2.5874
3277.47 6.3333 2.5922
3277.51 6.4873 2.5982
3277.55 6.6726 2.6053
3277.6 6.8926 2.6137
3277.64 7.1512 2.6236
3277.67 7.347 2.6311
3277.69 7.5631 2.6394
3277.72 7.8007 2.6485
3277.75 8.0614 2.6585
3277.78 8.3463 2.6694
3277.81 8.7589 2.6852
3277.85 9.2193 2.7029
3277.89 9.7313 2.7225
3277.93 10.298 2.7443
3277.96 10.925 2.7683
3278 11.614 2.7947
3278.04 12.371 2.8238
3278.07 13.199 2.8555
3278.11 14.064 2.8886
3278.14 15.001 2.9246
3278.18 16.015 2.9635
3278.21 17.11 3.0054
3278.25 18.288 3.0506
3278.29 19.898 3.1124
3278.33 21.176 3.1613
3278.36 22.534 3.2134
3278.39 23.976 3.2687
3278.43 25.901 3.3425
3278.47 27.962 3.4215
3278.52 30.279 3.5104
3278.55 32.271 3.5867
3278.6 35.52 3.7113
3278.66 39.018 3.8454
3278.71 43.072 4.0009
3278.78 47.87 4.1848
3278.84 53.013 4.382
3278.91 58.655 4.5983
3278.97 64.609 4.8266
3279.05 71.631 5.0958
3279.14 80.596 5.4396
3279.42 110.49 6.5857
3279.54 122.08 7.0302
3279.64 130.99 7.3717
3279.73 138.44 7.6572
3279.82 144.64 7.8949
3279.91 149.72 8.0898
3279.99 153.2 8.2233
3280.06 155.54 8.313
3280.12 156.74 8.3591
3280.2 157.31 8.3808
3280.29 156.67 8.3565
3280.37 155 8.2922
3280.43 152.84 8.2095
3280.5 150.04 8.1022
3280.59 144.75 7.8995
3280.67 139.64 7.7035
3280.77 132.85 7.4431
3280.89 123.31 7.0771
3281.23 94.228 5.9622
3281.35 84.244 5.5794
3281.43 77.975 5.3391
3281.51 72.077 5.1129
3281.6 66.589 4.9025
3281.68 61.531 4.7086
3281.76 56.912 4.5315
3281.83 53.201 4.3892
3281.9 49.82 4.2596
3281.98 46.756 4.1421
3282.05 43.992 4.0361
3282.12 41.508 3.9409
3282.19 39.285 3.8557
3282.26 37.301 3.7796
3282.34 35.534 3.7118
3282.4 34.065 3.6555
3282.47 32.75 3.6051
3282.56 31.207 3.5459
3282.65 29.874 3.4948
3282.74 28.719 3.4506
3282.83 27.717 3.4121
3282.92 26.841 3.3786
3283.05 25.724 3.3357
3283.15 25 3.308
3283.31 24.075 3.2725
3283.46 23.299 3.2427
3283.61 22.636 3.2173
3283.77 22.06 3.1952
3284 21.306 3.1663
3284.27 20.594 3.139
3284.53 19.992 3.1159
3284.8 19.475 3.0961
3285.14 18.911 3.0745
3285.54 18.336 3.0524
3285.95 17.851 3.0338
3286.57 17.247 3.0107
3287.18 16.753 2.9917
3287.79 16.338 2.9758
3288.61 15.876 2.9581
3289.43 15.489 2.9433
3290.65 15.007 2.9248
3292.17 14.521 2.9062
3294.25 13.968 2.885
3295.64 13.66 2.8732
3296.16 13.609 2.8712
3296.45 13.629 2.872
3296.8 13.719 2.8754
3297.54 14.036 2.8876
3297.83 14.096 2.8899
3297.88 14.097 2.8899
3298.14 14.048 2.8881
3298.4 13.911 2.8828
3298.78 13.602 2.8709
3299.27 13.177 2.8547
3299.58 12.958 2.8463
3299.96 12.767 2.8389
3300.35 12.627 2.8335
3302.99 11.928 2.8068
3304.03 11.613 2.7947
3305.07 11.25 2.7807
3306.66 10.611 2.7563
3307.26 10.421 2.749
3307.75 10.266 2.743
3308.04 10.123 2.7376
3308.3 9.9443 2.7307
3308.52 9.7258 2.7223
3308.71 9.5087 2.714
3308.95 9.1835 2.7015
3309.27 8.7042 2.6832
3309.57 8.2384 2.6653
3309.69 8.0717 2.6589
3309.82 7.9302 2.6535
3309.91 7.8514 2.6505
3310 7.8083 2.6488
3310.03 7.8039 2.6486
3310.1 7.8136 2.649
3310.16 7.852 2.6505
3310.22 7.9247 2.6533
3310.27 8.0056 2.6564
3310.32 8.1124 2.6605
3310.36 8.2486 2.6657
3310.41 8.4176 2.6722
3310.46 8.6233 2.6801
3310.5 8.8698 2.6895
3310.55 9.1616 2.7007
3310.6 9.5032 2.7138
3310.64 9.8995 2.729
3310.69 10.355 2.7465
3310.74 10.876 2.7664
3310.78 11.405 2.7867
3310.82 11.96 2.808
3310.86 12.573 2.8315
3310.9 13.246 2.8573
3310.94 13.984 2.8856
3310.98 14.789 2.9165
3311.02 15.664 2.95
3311.06 16.613 2.9864
3311.1 17.637 3.0257
3311.14 18.74 3.0679
3311.18 19.923 3.1133
3311.22 21.265 3.1648
3311.26 22.702 3.2198
3311.32 24.765 3.2989
3311.37 26.998 3.3846
3311.42 28.934 3.4588
3311.47 31.297 3.5494
3311.54 34.666 3.6785
3311.61 38.536 3.8269
3311.7 43.212 4.0062
3311.8 49.036 4.2295
3311.98 59.884 4.6454
3312.15 70.377 5.0477
3312.25 76.148 5.269
3312.34 80.827 5.4484
3312.43 85.132 5.6135
3312.51 88.271 5.7338
3312.59 91.109 5.8426
3312.67 93.108 5.9193
3312.73 94.117 5.958
3312.79 94.865 5.9866
3312.87 95.183 5.9988
3312.95 94.822 5.985
3313.03 93.803 5.9459
3313.1 92.406 5.8924
3313.19 89.982 5.7994
3313.28 86.804 5.6776
3313.37 83.058 5.5339
3313.47 78.509 5.3596
3313.62 71.059 5.0739
3313.87 58.597 4.5961
3313.96 54.029 4.421
3314.05 49.684 4.2544
3314.14 45.617 4.0984
3314.23 42.18 3.9666
3314.31 39.022 3.8456
3314.39 36.149 3.7354
3314.48 33.561 3.6362
3314.53 31.989 3.5759
3314.59 30.536 3.5202
3314.65 29.055 3.4634
3314.72 27.707 3.4118
3314.78 26.485 3.3649
3314.84 25.379 3.3225
3314.9 24.381 3.2842
3314.96 23.481 3.2497
3315.03 22.671 3.2187
3315.11 21.673 3.1804
3315.19 20.927 3.1518
3315.29 20.068 3.1188
3315.39 19.339 3.0909
3315.49 18.716 3.067
3315.59 18.18 3.0465
3315.74 17.503 3.0205
3315.89 16.941 2.999
3316.07 16.352 2.9764
3316.26 15.852 2.9572
3316.51 15.276 2.9351
3316.76 14.77 2.9157
3317.16 14.042 2.8878
3318.45 11.928 2.8068
3319.13 10.744 2.7614
3319.3 10.48 2.7513
3319.41 10.338 2.7458
3319.53 10.241 2.7421
3319.62 10.21 2.7409
3319.7 10.23 2.7417
3319.75 10.278 2.7435
3319.81 10.359 2.7466
3319.87 10.479 2.7512
3319.92 10.644 2.7575
3319.98 10.861 2.7658
3320.04 11.135 2.7764
3320.09 11.476 2.7894
3320.13 11.78 2.8011
3320.18 12.128 2.8144
3320.22 12.526 2.8297
3320.26 12.976 2.8469
3320.3 13.482 2.8663
3320.35 14.048 2.888
3320.39 14.677 2.9122
3320.43 15.374 2.9389
3320.47 16.141 2.9683
3320.52 16.982 3.0005
3320.56 17.901 3.0358
3320.6 18.9 3.0741
3320.64 19.982 3.1155
3320.69 21.148 3.1603
3320.73 22.549 3.214
3320.79 24.38 3.2842
3320.85 26.371 3.3605
3320.9 28.521 3.443
3320.96 30.828 3.5314
3321.02 33.285 3.6256
3321.08 36.167 3.7361
3321.16 40.255 3.8929
3321.25 44.855 4.0692
3321.39 52.503 4.3624
3321.62 64.885 4.8372
3321.74 71.097 5.0754
3321.84 75.777 5.2548
3321.93 79.521 5.3983
3322.01 82.446 5.5105
3322.1 84.896 5.6044
3322.18 86.522 5.6668
3322.26 87.617 5.7087
3322.33 88.06 5.7257
3322.36 88.089 5.7269
3322.42 87.918 5.7203
3322.49 87.253 5.6948
3322.56 86.202 5.6545
3322.65 84.134 5.5752
3322.74 81.522 5.4751
3322.83 78.399 5.3553
3322.92 74.866 5.2199
3323.07 68.475 4.9748
3323.37 54.974 4.4572
3323.5 49.631 4.2523
3323.61 45.231 4.0836
3323.69 42.196 3.9673
3323.77 39.396 3.8599
3323.86 36.839 3.7619
3323.94 34.524 3.6731
3324.02 32.447 3.5935
3324.11 30.552 3.5208
3324.19 28.88 3.4567
3324.28 27.415 3.4005
3324.36 26.135 3.3515
3324.45 25.023 3.3088
3324.53 24.088 3.273
3324.61 23.286 3.2422
3324.69 22.587 3.2154
3324.8 21.788 3.1848
3324.9 21.117 3.1591
3325.01 20.548 3.1373
3325.17 19.845 3.1103
3325.33 19.275 3.0885
3325.5 18.778 3.0694
3325.67 18.356 3.0532
3325.9 17.876 3.0348
3326.24 17.277 3.0118
3326.63 16.711 2.9901
3327.01 16.224 2.9715
3327.59 15.588 2.9471
3328.55 14.659 2.9115
3329.66 13.593 2.8706
3330.18 13.03 2.849
3330.53 12.608 2.8328
3331.26 11.629 2.7953
3331.44 11.423 2.7874
3331.58 11.326 2.7837
3331.67 11.306 2.7829
3331.76 11.336 2.7841
3331.83 11.403 2.7866
3331.9 11.514 2.7909
3331.97 11.68 2.7972
3332.04 11.909 2.806
3332.11 12.214 2.8177
3332.15 12.463 2.8273
3332.2 12.771 2.8391
3332.25 13.146 2.8535
3332.3 13.582 2.8702
3332.35 14.083 2.8894
3332.4 14.653 2.9112
3332.45 15.299 2.936
3332.5 16.024 2.9638
3332.55 16.832 2.9948
3332.6 17.686 3.0275
3332.65 18.576 3.0617
3332.69 19.544 3.0988
3332.74 20.592 3.1389
3332.79 21.72 3.1822
3332.83 22.93 3.2286
3332.9 24.897 3.304
3332.95 26.309 3.3581
3333.02 28.637 3.4474
3333.09 31.139 3.5433
3333.16 33.802 3.6454
3333.26 37.992 3.8061
3333.41 44.177 4.0432
3333.63 53.586 4.404
3333.75 58.302 4.5848
3333.85 61.982 4.7259
3333.94 64.878 4.8369
3334.03 67.32 4.9305
3334.11 69.07 4.9977
3334.2 70.407 5.0489
3334.28 71.178 5.0785
3334.36 71.428 5.088
3334.42 71.3 5.0831
3334.5 70.72 5.0609
3334.6 69.493 5.0139
3334.66 68.26 4.9666
3334.74 66.638 4.9044
3334.85 63.722 4.7926
3334.92 61.52 4.7082
3335.04 57.502 4.5541
3335.36 46.481 4.1316
3335.48 42.624 3.9837
3335.57 39.784 3.8748
3335.66 37.143 3.7735
3335.76 34.72 3.6806
3335.85 32.527 3.5965
3335.93 30.749 3.5284
3336.01 29.154 3.4672
3336.09 27.733 3.4128
3336.18 26.477 3.3646
3336.26 25.372 3.3222
3336.33 24.505 3.289
3336.43 23.561 3.2528
3336.52 22.751 3.2217
3336.61 22.059 3.1952
3336.7 21.467 3.1725
3336.79 20.96 3.1531
3336.93 20.328 3.1288
3337.07 19.818 3.1093
3337.21 19.399 3.0932
3337.39 18.944 3.0758
3337.57 18.572 3.0615
3337.76 18.26 3.0495
3338.11 17.775 3.0309
3338.45 17.385 3.016
3338.98 16.914 2.9979
3339.56 16.508 2.9823
3339.96 16.283 2.9737
3340.61 16.016 2.9635
3341.62 15.653 2.9496
3343 15.007 2.9248
3343.91 14.684 2.9124
3346.07 14.063 2.8886
3347.55 13.648 2.8727
3349.03 13.126 2.8527
3349.99 12.737 2.8378
3350.8 12.35 2.8229
3351.4 11.997 2.8094
3351.86 11.673 2.797
3352.26 11.349 2.7846
3352.65 10.966 2.7699
3353.35 10.172 2.7394
3353.5 10.042 2.7345
3353.64 9.9721 2.7318
3353.68 9.9648 2.7315
3353.77 9.9834 2.7322
3353.84 10.033 2.7341
3353.91 10.121 2.7375
3353.97 10.256 2.7426
3354.04 10.445 2.7499
3354.11 10.699 2.7597
3354.16 10.91 2.7677
3354.2 11.173 2.7778
3354.25 11.499 2.7903
3354.3 11.88 2.8049
3354.35 12.321 2.8218
3354.4 12.828 2.8413
3354.45 13.406 2.8634
3354.5 14.06 2.8885
3354.56 14.796 2.9167
3354.61 15.618 2.9482
3354.66 16.531 2.9832
3354.71 17.539 3.0219
3354.76 18.647 3.0644
3354.81 19.856 3.1107
3354.86 21.17 3.1611
3354.91 22.59 3.2155
3354.96 24.116 3.2741
3355.02 26.036 3.3477
3355.08 28.41 3.4387
3355.15 30.963 3.5366
3355.22 33.682 3.6408
3355.29 36.704 3.7567
3355.4 41.735 3.9496
3355.73 57.45 4.5521
3355.85 62.476 4.7448
3355.94 66.211 4.888
3356.04 69.596 5.0178
3356.12 72.258 5.1199
3356.2 74.207 5.1946
3356.29 75.715 5.2524
3356.36 76.599 5.2863
3356.44 77.027 5.3027
3356.48 77.051 5.3036
3356.54 76.847 5.2958
3356.62 76.139 5.2687
3356.71 74.866 5.2199
3356.78 73.348 5.1617
3356.86 71.411 5.0874
3356.94 69.066 4.9975
3357.06 65.045 4.8433
3357.21 59.305 4.6232
3357.48 48.99 4.2277
3357.62 44.083 4.0396
3357.71 41.041 3.923
3357.8 38.22 3.8148
3357.87 36.05 3.7316
3357.95 34.052 3.655
3358.02 32.225 3.585
3358.1 30.568 3.5215
3358.18 29.075 3.4642
3358.24 27.992 3.4227
3358.31 26.848 3.3788
3358.38 25.824 3.3395
3358.45 24.911 3.3045
3358.52 24.098 3.2734
3358.62 23.048 3.2331
3358.73 22.172 3.1995
3358.81 21.571 3.1765
3358.92 20.968 3.1534
3359.02 20.458 3.1338
3359.17 19.832 3.1098
3359.32 19.333 3.0907
3359.47 18.926 3.0751
3359.67 18.486 3.0582
3359.87 18.127 3.0444
3360.17 17.69 3.0277
3360.56 17.242 3.0105
3360.95 16.89 2.997
3361.52 16.467 2.9808
3361.9 16.235 2.9719
3362.71 15.836 2.9566
3363.51 15.52 2.9445
3364.6 15.177 2.9313
3366.15 14.803 2.917
3367.81 14.477 2.9045
3369.65 14.181 2.8932
3373.28 13.698 2.8746
3376.46 13.326 2.8604
3377.19 13.281 2.8586
3377.63 13.327 2.8604
3377.87 13.402 2.8633
3378.11 13.523 2.8679
3378.43 13.741 2.8763
3378.92 14.113 2.8905
3379.16 14.236 2.8953
3379.38 14.274 2.8967
3379.6 14.227 2.8949
3379.83 14.094 2.8898
3380.11 13.842 2.8801
3380.69 13.269 2.8582
3380.95 13.064 2.8503
3381.23 12.899 2.844
3381.52 12.787 2.8397
3382.02 12.665 2.835
3382.9 12.554 2.8308
3384.18 12.448 2.8267
3384.75 12.335 2.8223
3386.39 11.836 2.8032
3387.06 11.593 2.7939
3387.75 11.319 2.7834
3387.94 11.279 2.7819
3388.03 11.275 2.7817
3388.16 11.299 2.7826
3388.3 11.368 2.7853
3388.43 11.498 2.7903
3388.53 11.646 2.7959
3388.61 11.815 2.8024
3388.72 12.081 2.8126
3388.83 12.419 2.8256
3388.93 12.834 2.8415
3389.02 13.23 2.8567
3389.12 13.752 2.8767
3389.22 14.34 2.8992
3389.32 14.987 2.9241
3389.45 15.926 2.9601
3389.79 18.512 3.0592
3389.94 19.554 3.0991
3390.07 20.302 3.1278
3390.19 20.844 3.1486
3390.29 21.215 3.1628
3390.38 21.424 3.1709
3390.48 21.531 3.175
3390.52 21.539 3.1753
3390.62 21.468 3.1725
3390.73 21.245 3.164
3390.83 20.934 3.152
3390.95 20.472 3.1343
3391.09 19.741 3.1063
3391.29 18.604 3.0627
3391.56 17.055 3.0033
3391.72 16.153 2.9687
3391.84 15.612 2.948
3391.95 15.128 2.9295
3392.07 14.667 2.9118
3392.21 14.243 2.8955
3392.34 13.891 2.882
3392.47 13.601 2.8709
3392.64 13.303 2.8595
3392.75 13.155 2.8538
3392.96 12.921 2.8448
3393.17 12.746 2.8381
3393.51 12.539 2.8302
3393.89 12.364 2.8235
3394.39 12.176 2.8163
3395.39 11.87 2.8045
3397.04 11.431 2.7877
3397.69 11.287 2.7822
3398.1 11.248 2.7807
3398.4 11.275 2.7817
3398.71 11.367 2.7852
3399.07 11.55 2.7923
3399.48 11.771 2.8007
3399.7 11.843 2.8035
3399.83 11.853 2.8039
3400.03 11.814 2.8024
3400.23 11.713 2.7985
3400.41 11.561 2.7927
3400.64 11.318 2.7834
3401.17 10.669 2.7585
3401.43 10.381 2.7475
3401.67 10.148 2.7385
3402 9.8953 2.7288
3402.44 9.6224 2.7184
3403.35 9.0928 2.6981
3403.86 8.7446 2.6847
3404.21 8.4821 2.6746
3404.55 8.1897 2.6634
3404.86 7.8963 2.6522
3405.17 7.5701 2.6397
3405.48 7.2103 2.6259
3405.88 6.7242 2.6072
3406.05 6.5302 2.5998
3406.18 6.4117 2.5953
3406.27 6.3553 2.5931
3406.35 6.3254 2.5919
3406.39 6.3229 2.5919
3406.44 6.3316 2.5922
3406.5 6.3648 2.5935
3406.56 6.4212 2.5956
3406.61 6.507 2.5989
3406.65 6.5832 2.6018
3406.69 6.6765 2.6054
3406.73 6.7886 2.6097
3406.76 6.9216 2.6148
3406.8 7.0776 2.6208
3406.84 7.2587 2.6277
