angle dsdW
180 0.0061038
167.981 0.0061698
162.971 0.0059806
159.106 0.0058067
155.83 0.0057642
152.927 0.0058668
150.288 0.0060677
147.847 0.0062928
145.562 0.0064651
143.403 0.0065208
141.348 0.0064191
139.383 0.0061467
137.493 0.0057172
135.67 0.0051685
133.904 0.0045571
132.19 0.003952
130.521 0.0034276
128.893 0.0030567
128.093 0.0029499
127.302 0.0029051
126.519 0.0029287
125.744 0.0030258
124.977 0.0032004
124.217 0.0034553
123.463 0.0037923
122.716 0.0042114
121.241 0.0052912
119.789 0.0066715
118.358 0.0083101
116.946 0.010148
115.552 0.012111
114.175 0.014117
112.812 0.016075
111.463 0.017896
110.126 0.019493
108.802 0.020785
107.487 0.021705
106.183 0.022202
104.887 0.022246
103.599 0.021827
102.319 0.020961
101.045 0.01969
99.7762 0.018082
98.5128 0.01623
97.2539 0.014251
95.9987 0.012282
94.7466 0.010477
93.497 0.0090015
92.2493 0.0080259
91.626 0.0077783
91.0029 0.007718
90.38 0.0078642
89.7572 0.008235
89.1345 0.008847
88.5117 0.0097149
87.8887 0.010851
87.2656 0.012267
86.6422 0.013968
86.0185 0.015961
84.7697 0.020821
83.5186 0.026814
82.2647 0.033845
81.0073 0.04175
79.7457 0.050297
78.4793 0.059183
77.2074 0.068043
75.9293 0.076459
74.6442 0.083974
73.3514 0.090118
72.0501 0.094433
70.7394 0.096507
69.4183 0.096015
68.086 0.092758
66.7413 0.086714
65.3831 0.078076
64.0103 0.067291
62.6215 0.055092
61.2153 0.042503
59.7902 0.030834
59.07 0.02582
58.3444 0.02163
57.6131 0.01848
56.8759 0.01659
56.5051 0.016185
56.2958 0.016128
55.9458 0.016325
55.3828 0.017438
55.0054 0.018759
54.436 0.021665
53.8626 0.025735
53.0915 0.033064
52.3126 0.042646
51.5255 0.054515
50.7298 0.068645
49.9251 0.084936
49.1108 0.1032
47.4513 0.14446
45.7469 0.18896
43.9919 0.23151
42.1796 0.26534
40.302 0.28273
39.3358 0.2829
38.3493 0.27636
37.341 0.26269
36.3089 0.24188
35.251 0.21452
34.1648 0.18207
31.8957 0.11358
31.3057 0.099142
30.8566 0.090065
30.1717 0.080371
29.8239 0.077772
29.4724 0.077003
29.1567 0.078079
28.5967 0.084605
28.17 0.094007
27.8461 0.10398
27.3535 0.12426
26.8527 0.15179
26.5086 0.17509
25.8962 0.22611
25.4279 0.274
24.71 0.36359
23.972 0.47771
23.1997 0.62289
22.6043 0.75392
21.6821 0.99132
20.721 1.2851
19.8295 1.6011
18.415 2.1885
16.8869 2.9373
15.7889 3.542
13.9856 4.6348
11.9186 5.9882
10.317 7.0587
7.29019 8.957
0 11.261
