lp	sigma
1	0.135779
2	3.38748
3	26.3141
4	112.34
5	357.245
6	906.866
7	1820.27
8	2812.98
9	3042.01
10	3050.37
11	3053.78
12	3067.93
13	3088.32
14	3112.42
15	3138.43
16	3163.98
17	3189.62
18	3215.96
19	3240.51
20	3261.97
21	3282.39
22	3303.05
23	3321.43
24	3333.99
25	3340.33
26	3342.7
27	3343.36
28	3343.5
29	3343.53
30	3343.53
31	3343.53
32	3343.53
33	3343.53
34	3343.53
35	3343.53
36	3343.53
37	3343.53
38	3343.53
