theta	dsigma
0	30375.6
0.0174533	29351.3
0.0349066	26507.3
0.0523599	22452.3
0.0698132	17973
0.0872665	13791.6
0.10472	10376
0.122173	7868.11
0.139626	6136.8
0.15708	4912.73
0.174533	3934.93
0.191986	3047.94
0.20944	2223.09
0.226893	1516.08
0.244346	998.62
0.261799	703.344
0.279253	604.569
0.296706	634.194
0.314159	715.192
0.331613	791.583
0.349066	841.415
0.366519	871.423
0.383972	901.236
0.401426	947.482
0.418879	1014.84
0.436332	1095.46
0.453786	1173.93
0.471239	1233.73
0.488692	1262.26
0.506145	1253.44
0.523599	1208.31
0.541052	1134.22
0.558505	1042.88
0.575959	947.63
0.593412	860.287
0.610865	788.375
0.628319	733.737
0.645772	693.029
0.663225	659.873
0.680678	627.762
0.698132	592.513
0.715585	553.419
0.733038	512.866
0.750492	474.842
0.767945	443.131
0.785398	419.883
0.802851	405.018
0.820305	396.437
0.837758	390.832
0.855211	384.697
0.872665	375.239
0.890118	360.964
0.907571	341.861
0.925025	319.189
0.942478	294.973
0.959931	271.37
0.977384	250.083
0.994838	231.981
1.01229	217.014
1.02974	204.42
1.0472	193.114
1.06465	182.108
1.0821	170.838
1.09956	159.279
1.11701	147.871
1.13446	137.287
1.15192	128.167
1.16937	120.893
1.18682	115.473
1.20428	111.556
1.22173	108.544
1.23918	105.755
1.25664	102.592
1.27409	98.6659
1.29154	93.8494
1.309	88.2679
1.32645	82.2329
1.3439	76.1436
1.36136	70.3869
1.37881	65.2549
1.39626	60.8988
1.41372	57.3233
1.43117	54.4154
1.44862	51.9959
1.46608	49.8762
1.48353	47.9053
1.50098	45.9966
1.51844	44.1308
1.53589	42.3387
1.55334	40.6721
1.5708	39.1729
1.58825	37.8509
1.6057	36.673
1.62316	35.5688
1.64061	34.4459
1.65806	33.213
1.67552	31.8011
1.69297	30.1802
1.71042	28.3669
1.72788	26.4215
1.74533	24.4376
1.76278	22.5253
1.78024	20.7932
1.79769	19.3316
1.81514	18.1994
1.8326	17.4179
1.85005	16.9693
1.8675	16.8018
1.88496	16.8376
1.90241	16.9846
1.91986	17.1475
1.93732	17.2387
1.95477	17.187
1.97222	16.9435
1.98968	16.4849
2.00713	15.8133
2.02458	14.9543
2.04204	13.953
2.05949	12.8687
2.07694	11.7687
2.0944	10.7226
2.11185	9.79573
2.1293	9.04411
2.14675	8.50973
2.16421	8.21707
2.18166	8.17092
2.19911	8.35563
2.21657	8.73599
2.23402	9.25961
2.25147	9.86089
2.26893	10.4662
2.28638	11.0001
2.30383	11.3916
2.32129	11.5813
2.33874	11.5267
2.35619	11.207
2.37365	10.6263
2.3911	9.81398
2.40855	8.82363
2.42601	7.72904
2.44346	6.6185
2.46091	5.58733
2.47837	4.72942
2.49582	4.12846
2.51327	3.84965
2.53073	3.93271
2.54818	4.38683
2.56563	5.18816
2.58309	6.28014
2.60054	7.57678
2.61799	8.96882
2.63545	10.3323
2.6529	11.5387
2.67035	12.4667
2.68781	13.0132
2.70526	13.1042
2.72271	12.7036
2.74017	11.8192
2.75762	10.5059
2.77507	8.86495
2.79253	7.03958
2.80998	5.20682
2.82743	3.5664
2.84489	2.32704
2.86234	1.69125
2.87979	1.83978
2.89725	2.91672
2.9147	5.01658
2.93215	8.17416
2.94961	12.3584
2.96706	17.4703
2.98451	23.3458
3.00197	29.7631
3.01942	36.4542
3.03687	43.12
3.05433	49.4474
3.07178	55.129
3.08923	59.8812
3.10669	63.4625
3.12414	65.6885
3.14159	66.4437
