r	V(r)
0	-37.3614
0.1	-37.3582
0.2	-37.3545
0.3	-37.3503
0.4	-37.3454
0.5	-37.3399
0.6	-37.3336
0.7	-37.3264
0.8	-37.3182
0.9	-37.3089
1	-37.2981
1.1	-37.2859
1.2	-37.2719
1.3	-37.256
1.4	-37.2378
1.5	-37.217
1.6	-37.1933
1.7	-37.1663
1.8	-37.1354
1.9	-37.1002
2	-37.0601
2.1	-37.0143
2.2	-36.9621
2.3	-36.9027
2.4	-36.8351
2.5	-36.7581
2.6	-36.6705
2.7	-36.5709
2.8	-36.4578
2.9	-36.3294
3	-36.1838
3.1	-36.0189
3.2	-35.8322
3.3	-35.6213
3.4	-35.3833
3.5	-35.1153
3.6	-34.8139
3.7	-34.4758
3.8	-34.0975
3.9	-33.6752
4	-33.2054
4.1	-32.6843
4.2	-32.1085
4.3	-31.475
4.4	-30.7811
4.5	-30.0247
4.6	-29.2047
4.7	-28.3209
4.8	-27.3743
4.9	-26.3673
5	-25.3037
5.1	-24.1889
5.2	-23.0295
5.3	-21.8337
5.4	-20.6109
5.5	-19.3712
5.6	-18.1256
5.7	-16.8849
5.8	-15.6601
5.9	-14.4615
6	-13.2985
6.1	-12.1793
6.2	-11.1108
6.3	-10.0986
6.4	-9.14641
6.5	-8.25686
6.6	-7.43106
6.7	-6.66894
6.8	-5.9694
6.9	-5.33051
7	-4.74966
7.1	-4.22376
7.2	-3.7494
7.3	-3.32297
7.4	-2.94081
7.5	-2.59924
7.6	-2.2947
7.7	-2.02377
7.8	-1.7832
7.9	-1.56995
8	-1.38122
8.1	-1.21441
8.2	-1.06715
8.3	-0.937278
8.4	-0.822856
8.5	-0.722126
8.6	-0.633513
8.7	-0.555609
8.8	-0.487158
8.9	-0.427042
9	-0.374269
9.1	-0.32796
9.2	-0.287337
9.3	-0.251711
9.4	-0.220476
9.5	-0.193097
9.6	-0.169102
9.7	-0.148077
9.8	-0.129658
9.9	-0.113522
10	-0.0993891
10.1	-0.0870115
10.2	-0.0761723
10.3	-0.0666809
10.4	-0.0583704
10.5	-0.0510942
10.6	-0.0447239
10.7	-0.039147
10.8	-0.0342649
10.9	-0.0299911
11	-0.0262501
11.1	-0.0229754
11.2	-0.020109
11.3	-0.0176
11.4	-0.015404
11.5	-0.0134818
11.6	-0.0117995
11.7	-0.010327
11.8	-0.00903822
11.9	-0.00791025
12	-0.00692302
12.1	-0.00605899
12.2	-0.00530277
12.3	-0.00464092
12.4	-0.00406168
12.5	-0.00355472
12.6	-0.00311103
12.7	-0.00272272
12.8	-0.00238287
12.9	-0.00208544
13	-0.00182514
13.1	-0.00159732
13.2	-0.00139794
13.3	-0.00122345
13.4	-0.00107073
13.5	-0.000937079
13.6	-0.000820109
13.7	-0.00071774
13.8	-0.000628148
13.9	-0.00054974
14	-0.000481118
14.1	-0.000421063
14.2	-0.000368503
14.3	-0.000322505
14.4	-0.000282248
14.5	-0.000247016
14.6	-0.000216182
14.7	-0.000189197
14.8	-0.00016558
14.9	-0.000144911
15	-0.000126823
15.1	-0.000110992
15.2	-9.71371e-05
15.3	-8.50119e-05
15.4	-7.44001e-05
15.5	-6.5113e-05
15.6	-5.69852e-05
15.7	-4.98719e-05
15.8	-4.36466e-05
15.9	-3.81983e-05
16	-3.34302e-05
16.1	-2.92572e-05
16.2	-2.56051e-05
16.3	-2.24089e-05
16.4	-1.96117e-05
16.5	-1.71636e-05
16.6	-1.50212e-05
16.7	-1.31461e-05
16.8	-1.15051e-05
16.9	-1.0069e-05
17	-8.8121e-06
17.1	-7.71212e-06
17.2	-6.74944e-06
17.3	-5.90693e-06
17.4	-5.16959e-06
17.5	-4.52429e-06
17.6	-3.95953e-06
17.7	-3.46528e-06
17.8	-3.03272e-06
17.9	-2.65415e-06
18	-2.32285e-06
18.1	-2.03289e-06
18.2	-1.77913e-06
18.3	-1.55705e-06
18.4	-1.36269e-06
18.5	-1.19259e-06
18.6	-1.04372e-06
18.7	-9.13437e-07
18.8	-7.99416e-07
18.9	-6.99628e-07
19	-6.12295e-07
19.1	-5.35865e-07
19.2	-4.68974e-07
19.3	-4.10434e-07
19.4	-3.59201e-07
19.5	-3.14363e-07
19.6	-2.75122e-07
19.7	-2.4078e-07
19.8	-2.10724e-07
19.9	-1.8442e-07
