r	V(r)
0	-43.7575
0.1	-43.7537
0.2	-43.7494
0.3	-43.7445
0.4	-43.7388
0.5	-43.7324
0.6	-43.725
0.7	-43.7166
0.8	-43.707
0.9	-43.696
1	-43.6834
1.1	-43.6691
1.2	-43.6527
1.3	-43.6341
1.4	-43.6128
1.5	-43.5884
1.6	-43.5607
1.7	-43.529
1.8	-43.4928
1.9	-43.4516
2	-43.4046
2.1	-43.351
2.2	-43.2899
2.3	-43.2203
2.4	-43.1411
2.5	-43.0509
2.6	-42.9483
2.7	-42.8317
2.8	-42.6992
2.9	-42.5489
3	-42.3783
3.1	-42.1851
3.2	-41.9665
3.3	-41.7195
3.4	-41.4408
3.5	-41.1269
3.6	-40.7739
3.7	-40.378
3.8	-39.9349
3.9	-39.4403
4	-38.89
4.1	-38.2797
4.2	-37.6054
4.3	-36.8634
4.4	-36.0507
4.5	-35.1648
4.6	-34.2044
4.7	-33.1693
4.8	-32.0606
4.9	-30.8813
5	-29.6356
5.1	-28.3299
5.2	-26.972
5.3	-25.5716
5.4	-24.1394
5.5	-22.6875
5.6	-21.2286
5.7	-19.7756
5.8	-18.3411
5.9	-16.9373
6	-15.5751
6.1	-14.2643
6.2	-13.013
6.3	-11.8274
6.4	-10.7122
6.5	-9.6704
6.6	-8.70322
6.7	-7.81063
6.8	-6.99134
6.9	-6.24307
7	-5.56278
7.1	-4.94685
7.2	-4.39128
7.3	-3.89185
7.4	-3.44426
7.5	-3.04422
7.6	-2.68754
7.7	-2.37023
7.8	-2.08847
7.9	-1.83872
8	-1.61768
8.1	-1.42231
8.2	-1.24984
8.3	-1.09774
8.4	-0.963725
8.5	-0.84575
8.6	-0.741967
8.7	-0.650726
8.8	-0.570557
8.9	-0.50015
9	-0.438343
9.1	-0.384106
9.2	-0.336528
9.3	-0.294803
9.4	-0.258221
9.5	-0.226154
9.6	-0.198052
9.7	-0.173428
9.8	-0.151854
9.9	-0.132956
10	-0.116404
10.1	-0.101908
10.2	-0.0892127
10.3	-0.0780964
10.4	-0.0683631
10.5	-0.0598413
10.6	-0.0523804
10.7	-0.0458488
10.8	-0.0401309
10.9	-0.0351255
11	-0.030744
11.1	-0.0269087
11.2	-0.0235515
11.3	-0.0206131
11.4	-0.0180411
11.5	-0.0157899
11.6	-0.0138195
11.7	-0.0120949
11.8	-0.0105855
11.9	-0.00926445
12	-0.00810822
12.1	-0.00709626
12.2	-0.00621058
12.3	-0.00543543
12.4	-0.00475702
12.5	-0.00416327
12.6	-0.00364363
12.7	-0.00318884
12.8	-0.00279081
12.9	-0.00244246
13	-0.00213759
13.1	-0.00187078
13.2	-0.00163726
13.3	-0.0014329
13.4	-0.00125404
13.5	-0.0010975
13.6	-0.000960509
13.7	-0.000840614
13.8	-0.000735685
13.9	-0.000643853
14	-0.000563484
14.1	-0.000493147
14.2	-0.00043159
14.3	-0.000377716
14.4	-0.000330567
14.5	-0.000289304
14.6	-0.000253191
14.7	-0.000221587
14.8	-0.000193927
14.9	-0.00016972
15	-0.000148534
15.1	-0.000129993
15.2	-0.000113767
15.3	-9.95655e-05
15.4	-8.71371e-05
15.5	-7.62601e-05
15.6	-6.67408e-05
15.7	-5.84098e-05
15.8	-5.11187e-05
15.9	-4.47377e-05
16	-3.91533e-05
16.1	-3.42659e-05
16.2	-2.99886e-05
16.3	-2.62452e-05
16.4	-2.29691e-05
16.5	-2.0102e-05
16.6	-1.75927e-05
16.7	-1.53967e-05
16.8	-1.34748e-05
16.9	-1.17927e-05
17	-1.03207e-05
17.1	-9.0324e-06
17.2	-7.90492e-06
17.3	-6.91817e-06
17.4	-6.0546e-06
17.5	-5.29882e-06
17.6	-4.63739e-06
17.7	-4.05852e-06
17.8	-3.55191e-06
17.9	-3.10853e-06
18	-2.72051e-06
18.1	-2.38091e-06
18.2	-2.08371e-06
18.3	-1.82361e-06
18.4	-1.59598e-06
18.5	-1.39675e-06
18.6	-1.2224e-06
18.7	-1.06981e-06
18.8	-9.36273e-07
18.9	-8.19401e-07
19	-7.17118e-07
19.1	-6.27602e-07
19.2	-5.49261e-07
19.3	-4.80698e-07
19.4	-4.20694e-07
19.5	-3.68181e-07
19.6	-3.22222e-07
19.7	-2.82e-07
19.8	-2.46799e-07
19.9	-2.15992e-07
