r	V(r)
0	-50.1536
0.1	-50.1493
0.2	-50.1443
0.3	-50.1387
0.4	-50.1322
0.5	-50.1248
0.6	-50.1163
0.7	-50.1067
0.8	-50.0957
0.9	-50.0831
1	-50.0687
1.1	-50.0523
1.2	-50.0335
1.3	-50.0121
1.4	-49.9877
1.5	-49.9598
1.6	-49.928
1.7	-49.8917
1.8	-49.8502
1.9	-49.803
2	-49.7491
2.1	-49.6877
2.2	-49.6177
2.3	-49.5379
2.4	-49.4471
2.5	-49.3437
2.6	-49.2261
2.7	-49.0925
2.8	-48.9406
2.9	-48.7683
3	-48.5728
3.1	-48.3514
3.2	-48.1009
3.3	-47.8177
3.4	-47.4983
3.5	-47.1384
3.6	-46.7339
3.7	-46.2801
3.8	-45.7722
3.9	-45.2054
4	-44.5746
4.1	-43.8751
4.2	-43.1022
4.3	-42.2518
4.4	-41.3202
4.5	-40.3049
4.6	-39.2041
4.7	-38.0177
4.8	-36.747
4.9	-35.3953
5	-33.9675
5.1	-32.4709
5.2	-30.9146
5.3	-29.3094
5.4	-27.6679
5.5	-26.0038
5.6	-24.3316
5.7	-22.6662
5.8	-21.0221
5.9	-19.413
6	-17.8518
6.1	-16.3494
6.2	-14.9151
6.3	-13.5562
6.4	-12.2781
6.5	-11.0839
6.6	-9.97539
6.7	-8.95232
6.8	-8.01327
6.9	-7.15563
7	-6.3759
7.1	-5.66994
7.2	-5.03316
7.3	-4.46073
7.4	-3.94772
7.5	-3.4892
7.6	-3.08039
7.7	-2.71669
7.8	-2.39375
7.9	-2.10749
8	-1.85414
8.1	-1.63021
8.2	-1.43253
8.3	-1.25819
8.4	-1.10459
8.5	-0.969375
8.6	-0.850422
8.7	-0.745844
8.8	-0.653956
8.9	-0.573257
9	-0.502416
9.1	-0.440251
9.2	-0.385719
9.3	-0.337895
9.4	-0.295965
9.5	-0.259212
9.6	-0.227002
9.7	-0.198778
9.8	-0.174051
9.9	-0.152391
10	-0.133419
10.1	-0.116804
10.2	-0.102253
10.3	-0.0895119
10.4	-0.0783559
10.5	-0.0685884
10.6	-0.0600369
10.7	-0.0525506
10.8	-0.0459969
10.9	-0.0402598
11	-0.0352379
11.1	-0.0308419
11.2	-0.0269941
11.3	-0.0236261
11.4	-0.0206782
11.5	-0.0180979
11.6	-0.0158395
11.7	-0.0138629
11.8	-0.0121328
11.9	-0.0106187
12	-0.00929341
12.1	-0.00813353
12.2	-0.00711839
12.3	-0.00622994
12.4	-0.00545236
12.5	-0.00477182
12.6	-0.00417622
12.7	-0.00365496
12.8	-0.00319875
12.9	-0.00279948
13	-0.00245005
13.1	-0.00214423
13.2	-0.00187658
13.3	-0.00164234
13.4	-0.00143734
13.5	-0.00125793
13.6	-0.00110091
13.7	-0.000963488
13.8	-0.000843221
13.9	-0.000737966
14	-0.000645849
14.1	-0.000565231
14.2	-0.000494676
14.3	-0.000432928
14.4	-0.000378887
14.5	-0.000331592
14.6	-0.000290201
14.7	-0.000253976
14.8	-0.000222273
14.9	-0.000194528
15	-0.000170246
15.1	-0.000148995
15.2	-0.000130396
15.3	-0.000114119
15.4	-9.98741e-05
15.5	-8.74072e-05
15.6	-7.64964e-05
15.7	-6.69477e-05
15.8	-5.85908e-05
15.9	-5.12771e-05
16	-4.48764e-05
16.1	-3.92746e-05
16.2	-3.43721e-05
16.3	-3.00815e-05
16.4	-2.63266e-05
16.5	-2.30403e-05
16.6	-2.01643e-05
16.7	-1.76472e-05
16.8	-1.54444e-05
16.9	-1.35165e-05
17	-1.18293e-05
17.1	-1.03527e-05
17.2	-9.06039e-06
17.3	-7.92941e-06
17.4	-6.93961e-06
17.5	-6.07336e-06
17.6	-5.31524e-06
17.7	-4.65176e-06
17.8	-4.0711e-06
17.9	-3.56291e-06
18	-3.11817e-06
18.1	-2.72894e-06
18.2	-2.38829e-06
18.3	-2.09017e-06
18.4	-1.82926e-06
18.5	-1.60092e-06
18.6	-1.40108e-06
18.7	-1.22619e-06
18.8	-1.07313e-06
18.9	-9.39174e-07
19	-8.2194e-07
19.1	-7.1934e-07
19.2	-6.29547e-07
19.3	-5.50963e-07
19.4	-4.82188e-07
19.5	-4.21998e-07
19.6	-3.69322e-07
19.7	-3.2322e-07
19.8	-2.82874e-07
19.9	-2.47564e-07
