theta	dsigma
0	48558.9
0.0174533	46654.3
0.0349066	41476.7
0.0523599	34406
0.0698132	27097.5
0.0872665	20861.6
0.10472	16282.3
0.122173	13215.6
0.139626	11095.9
0.15708	9339.57
0.174533	7626.84
0.191986	5955.2
0.20944	4505.51
0.226893	3449.23
0.244346	2822.24
0.261799	2516.42
0.279253	2358.61
0.296706	2205.68
0.314159	1997.57
0.331613	1752.77
0.349066	1527.55
0.366519	1372.75
0.383972	1309.59
0.401426	1327.57
0.418879	1394.96
0.436332	1472.12
0.453786	1522.55
0.471239	1521.27
0.488692	1460.08
0.506145	1348.41
0.523599	1208.54
0.541052	1066.26
0.558505	941.159
0.575959	840.832
0.593412	761.389
0.610865	692.892
0.628319	626.125
0.645772	557.147
0.663225	488.071
0.680678	424.77
0.698132	373.431
0.715585	337.75
0.733038	317.647
0.750492	309.509
0.767945	307.521
0.785398	305.478
0.802851	298.555
0.820305	284.51
0.837758	263.962
0.855211	239.678
0.872665	215.203
0.890118	193.41
0.907571	175.585
0.925025	161.324
0.942478	149.148
0.959931	137.427
0.977384	125.145
0.994838	112.236
1.01229	99.4412
1.02974	87.8667
1.0472	78.4909
1.06465	71.8027
1.0821	67.6704
1.09956	65.4298
1.11701	64.1232
1.13446	62.7936
1.15192	60.7443
1.16937	57.6907
1.18682	53.77
1.20428	49.4196
1.22173	45.1759
1.23918	41.472
1.25664	38.5032
1.27409	36.1994
1.29154	34.2984
1.309	32.4763
1.32645	30.4785
1.3439	28.2016
1.36136	25.7079
1.37881	23.1789
1.39626	20.8355
1.41372	18.8602
1.43117	17.3453
1.44862	16.2773
1.46608	15.556
1.48353	15.0341
1.50098	14.5626
1.51844	14.0283
1.53589	13.3754
1.55334	12.6086
1.5708	11.7798
1.58825	10.9651
1.6057	10.2379
1.62316	9.64812
1.64061	9.20891
1.65806	8.89664
1.67552	8.66041
1.69297	8.43833
1.71042	8.1748
1.72788	7.83421
1.74533	7.4075
1.76278	6.91119
1.78024	6.37997
1.79769	5.85599
1.81514	5.37811
1.8326	4.97383
1.85005	4.65521
1.8675	4.41915
1.88496	4.25089
1.90241	4.12927
1.91986	4.03209
1.93732	3.94049
1.95477	3.8414
1.97222	3.72829
1.98968	3.60018
2.00713	3.45986
2.02458	3.31179
2.04204	3.16028
2.05949	3.00832
2.07694	2.85724
2.0944	2.70701
2.11185	2.55706
2.1293	2.40724
2.14675	2.25862
2.16421	2.11396
2.18166	1.97767
2.19911	1.85531
2.21657	1.75275
2.23402	1.67508
2.25147	1.62561
2.26893	1.60506
2.28638	1.61106
2.30383	1.63816
2.32129	1.67827
2.33874	1.72151
2.35619	1.75732
2.37365	1.77572
2.3911	1.76859
2.40855	1.73069
2.42601	1.6604
2.44346	1.56009
2.46091	1.43594
2.47837	1.29742
2.49582	1.15625
2.51327	1.02521
2.53073	0.916725
2.54818	0.841443
2.56563	0.806994
2.58309	0.817032
2.60054	0.87065
2.61799	0.962276
2.63545	1.08204
2.6529	1.21659
2.67035	1.35034
2.68781	1.46695
2.70526	1.55099
2.72271	1.58964
2.74017	1.57415
2.75762	1.50114
2.77507	1.3733
2.79253	1.19972
2.80998	0.995547
2.82743	0.781089
2.84489	0.580403
2.86234	0.419419
2.87979	0.323795
2.89725	0.316653
2.9147	0.416402
2.93215	0.634854
2.94961	0.975779
2.96706	1.43408
2.98451	1.99564
3.00197	2.63791
3.01942	3.33117
3.03687	4.04043
3.05433	4.72771
3.07178	5.35471
3.08923	5.88545
3.10669	6.28886
3.12414	6.541
3.14159	6.62676
