lp	sigma
1	107.962
2	197.732
3	248.038
4	251.389
5	327.152
6	813.087
7	2010.07
8	2536.53
9	2548.4
10	2552.21
11	2566.43
12	2586.25
13	2607.54
14	2629.98
15	2653.14
16	2674.31
17	2693.24
18	2712.1
19	2730.64
20	2745.2
21	2753.51
22	2756.9
23	2757.9
24	2758.11
25	2758.15
26	2758.15
27	2758.15
28	2758.15
29	2758.15
30	2758.15
31	2758.15
32	2758.15
33	2758.15
34	2758.15
