E	sigma
3.57	2870.74
3.58	2861.67
3.59	2852.69
3.6	2843.8
3.61	2835
3.62	2826.29
3.63	2817.67
3.64	2809.15
3.65	2800.71
3.66	2792.37
3.67	2784.12
3.68	2775.95
3.69	2767.88
3.7	2759.89
3.71	2751.99
3.72	2744.18
3.73	2736.46
3.74	2728.83
3.75	2721.28
3.76	2713.82
3.77	2706.45
3.78	2699.17
3.79	2691.97
3.8	2684.86
3.81	2677.83
3.82	2670.89
3.83	2664.03
3.84	2657.26
3.85	2650.58
3.86	2643.97
3.87	2637.46
3.88	2631.02
3.89	2624.67
3.9	2618.41
3.91	2612.22
3.92	2606.12
3.93	2600.1
3.94	2594.17
3.95	2588.31
3.96	2582.54
3.97	2576.85
3.98	2571.24
3.99	2565.71
4	2560.26
4.01	2554.9
4.02	2549.61
4.03	2544.4
4.04	2539.28
4.05	2534.23
4.06	2529.26
4.07	2524.37
4.08	2519.56
4.09	2514.83
4.1	2510.17
4.11	2505.6
4.12	2501.1
4.13	2496.68
4.14	2492.34
4.15	2488.07
4.16	2483.89
4.17	2479.77
4.18	2475.74
4.19	2471.78
4.2	2467.9
4.21	2464.09
4.22	2460.36
4.23	2456.71
4.24	2453.13
4.25	2449.62
4.26	2446.19
4.27	2442.84
4.28	2439.55
4.29	2436.35
4.3	2433.22
4.31	2430.16
4.32	2427.17
4.33	2424.26
4.34	2421.42
4.35	2418.66
4.36	2415.97
4.37	2413.35
4.38	2410.8
4.39	2408.33
4.4	2405.93
4.41	2403.6
4.42	2401.34
4.43	2399.15
4.44	2397.04
4.45	2394.99
4.46	2393.02
4.47	2391.12
4.48	2389.29
4.49	2387.53
4.5	2385.84
4.51	2384.22
4.52	2382.67
4.53	2381.19
4.54	2379.79
4.55	2378.45
4.56	2377.18
4.57	2375.98
4.58	2374.84
4.59	2373.78
4.6	2372.79
4.61	2371.86
4.62	2371.01
4.63	2370.22
4.64	2369.5
4.65	2368.85
4.66	2368.26
4.67	2367.75
4.68	2367.3
4.69	2366.92
4.7	2366.61
4.71	2366.36
4.72	2366.18
4.73	2366.07
4.74	2366.02
4.75	2366.04
4.76	2366.13
4.77	2366.28
4.78	2366.5
4.79	2366.79
4.8	2367.14
4.81	2367.55
4.82	2368.04
4.83	2368.58
4.84	2369.2
4.85	2369.87
4.86	2370.62
4.87	2371.42
4.88	2372.3
4.89	2373.23
4.9	2374.23
4.91	2375.3
4.92	2376.43
4.93	2377.62
4.94	2378.87
4.95	2380.19
4.96	2381.57
4.97	2383.02
4.98	2384.53
4.99	2386.1
5	2387.73
5.01	2389.43
5.02	2391.19
5.03	2393.01
5.04	2394.89
5.05	2396.84
5.06	2398.84
5.07	2400.91
5.08	2403.04
5.09	2405.23
5.1	2407.48
5.11	2409.79
5.12	2412.16
5.13	2414.59
5.14	2417.09
5.15	2419.64
5.16	2422.25
5.17	2424.92
5.18	2427.65
5.19	2430.44
5.2	2433.29
5.21	2436.2
5.22	2439.16
5.23	2442.19
5.24	2445.27
5.25	2448.41
5.26	2451.61
5.27	2454.86
5.28	2458.18
5.29	2461.55
5.3	2464.97
5.31	2468.46
5.32	2471.99
5.33	2475.59
5.34	2479.24
5.35	2482.95
5.36	2486.71
5.37	2490.53
5.38	2494.4
5.39	2498.32
5.4	2502.31
5.41	2506.34
5.42	2510.43
5.43	2514.57
5.44	2518.76
5.45	2523.01
5.46	2527.31
5.47	2531.67
5.48	2536.07
5.49	2540.53
5.5	2545.04
5.51	2549.6
5.52	2554.21
5.53	2558.87
5.54	2563.58
5.55	2568.34
5.56	2573.15
5.57	2578.01
5.58	2582.92
5.59	2587.87
5.6	2592.88
5.61	2597.93
5.62	2603.03
5.63	2608.18
5.64	2613.38
5.65	2618.62
5.66	2623.9
5.67	2629.24
5.68	2634.62
5.69	2640.04
5.7	2645.51
5.71	2651.02
5.72	2656.58
5.73	2662.18
5.74	2667.82
5.75	2673.51
5.76	2679.24
5.77	2685.01
5.78	2690.82
5.79	2696.67
5.8	2702.56
5.81	2708.5
5.82	2714.47
5.83	2720.48
5.84	2726.54
5.85	2732.63
5.86	2738.76
5.87	2744.92
5.88	2751.12
5.89	2757.37
5.9	2763.64
5.91	2769.95
5.92	2776.3
5.93	2782.68
5.94	2789.1
5.95	2795.55
5.96	2802.04
5.97	2808.55
5.98	2815.1
5.99	2821.69
6	2828.3
6.01	2834.95
6.02	2841.62
6.03	2848.33
6.04	2855.06
6.05	2861.83
6.06	2868.62
6.07	2875.44
6.08	2882.29
6.09	2889.17
6.1	2896.07
6.11	2903
6.12	2909.95
6.13	2916.93
6.14	2923.93
6.15	2930.96
6.16	2938.01
6.17	2945.09
6.18	2952.18
6.19	2959.3
6.2	2966.44
6.21	2973.6
6.22	2980.78
6.23	2987.98
6.24	2995.21
6.25	3002.44
6.26	3009.7
6.27	3016.98
6.28	3024.27
6.29	3031.58
6.3	3038.9
6.31	3046.24
6.32	3053.6
6.33	3060.97
6.34	3068.35
6.35	3075.75
6.36	3083.16
6.37	3090.58
6.38	3098.01
6.39	3105.46
6.4	3112.91
6.41	3120.38
6.42	3127.85
6.43	3135.34
6.44	3142.83
6.45	3150.33
6.46	3157.84
6.47	3165.36
6.48	3172.88
6.49	3180.41
6.5	3187.94
6.51	3195.48
6.52	3203.02
6.53	3210.57
6.54	3218.12
6.55	3225.67
6.56	3233.23
6.57	3240.79
6.58	3248.34
6.59	3255.9
6.6	3263.46
6.61	3271.02
6.62	3278.58
6.63	3286.14
6.64	3293.69
6.65	3301.25
6.66	3308.8
6.67	3316.35
6.68	3323.89
6.69	3331.43
6.7	3338.96
6.71	3346.49
6.72	3354.02
6.73	3361.54
6.74	3369.05
6.75	3376.56
6.76	3384.05
6.77	3391.55
6.78	3399.03
6.79	3406.5
6.8	3413.97
6.81	3421.42
6.82	3428.87
6.83	3436.3
6.84	3443.72
6.85	3451.14
6.86	3458.54
6.87	3465.93
6.88	3473.3
6.89	3480.67
6.9	3488.02
6.91	3495.36
6.92	3502.68
6.93	3509.99
6.94	3517.28
6.95	3524.56
6.96	3531.83
6.97	3539.07
6.98	3546.31
6.99	3553.52
7	3560.72
7.01	3567.9
7.02	3575.07
7.03	3582.21
7.04	3589.34
7.05	3596.45
7.06	3603.54
7.07	3610.61
7.08	3617.67
7.09	3624.7
7.1	3631.71
7.11	3638.7
7.12	3645.68
7.13	3652.63
7.14	3659.56
7.15	3666.47
7.16	3673.36
7.17	3680.22
7.18	3687.07
7.19	3693.89
7.2	3700.69
7.21	3707.46
7.22	3714.21
7.23	3720.94
7.24	3727.65
7.25	3734.33
7.26	3740.99
7.27	3747.63
7.28	3754.24
7.29	3760.82
7.3	3767.39
7.31	3773.92
7.32	3780.43
7.33	3786.92
7.34	3793.38
7.35	3799.82
7.36	3806.23
7.37	3812.61
7.38	3818.97
7.39	3825.3
7.4	3831.61
7.41	3837.89
7.42	3844.14
7.43	3850.37
7.44	3856.57
7.45	3862.75
7.46	3868.89
7.47	3875.01
7.48	3881.11
7.49	3887.17
7.5	3893.21
7.51	3899.22
7.52	3905.21
7.53	3911.16
7.54	3917.09
7.55	3922.99
7.56	3928.87
7.57	3934.72
7.58	3940.53
7.59	3946.33
7.6	3952.09
7.61	3957.82
7.62	3963.53
7.63	3969.21
7.64	3974.86
7.65	3980.49
7.66	3986.09
7.67	3991.65
7.68	3997.19
7.69	4002.71
7.7	4008.19
7.71	4013.65
7.72	4019.08
7.73	4024.48
7.74	4029.86
7.75	4035.2
7.76	4040.52
7.77	4045.81
7.78	4051.07
7.79	4056.31
7.8	4061.52
7.81	4066.7
7.82	4071.85
7.83	4076.98
7.84	4082.08
7.85	4087.15
7.86	4092.2
7.87	4097.21
7.88	4102.2
7.89	4107.17
7.9	4112.11
7.91	4117.02
7.92	4121.9
7.93	4126.76
7.94	4131.59
7.95	4136.4
7.96	4141.18
7.97	4145.93
7.98	4150.66
7.99	4155.36
8	4160.04
8.01	4164.69
8.02	4169.32
8.03	4173.92
8.04	4178.49
8.05	4183.04
8.06	4187.57
8.07	4192.07
8.08	4196.55
8.09	4201.01
8.1	4205.44
8.11	4209.84
8.12	4214.23
8.13	4218.58
8.14	4222.92
8.15	4227.23
8.16	4231.52
8.17	4235.79
8.18	4240.04
8.19	4244.26
8.2	4248.46
8.21	4252.64
8.22	4256.8
8.23	4260.94
8.24	4265.06
8.25	4269.15
8.26	4273.23
8.27	4277.28
8.28	4281.32
8.29	4285.33
8.3	4289.33
8.31	4293.3
8.32	4297.26
8.33	4301.2
8.34	4305.12
8.35	4309.02
8.36	4312.91
8.37	4316.78
8.38	4320.63
8.39	4324.46
8.4	4328.28
8.41	4332.08
8.42	4335.87
8.43	4339.64
8.44	4343.39
8.45	4347.13
8.46	4350.86
8.47	4354.57
8.48	4358.27
8.49	4361.95
8.5	4365.62
8.51	4369.28
8.52	4372.93
8.53	4376.56
8.54	4380.19
8.55	4383.8
8.56	4387.4
8.57	4391
8.58	4394.58
8.59	4398.15
8.6	4401.72
8.61	4405.28
8.62	4408.83
8.63	4412.37
8.64	4415.9
8.65	4419.43
8.66	4422.96
8.67	4426.48
8.68	4429.99
8.69	4433.5
8.7	4437.01
8.71	4440.51
8.72	4444.01
8.73	4447.51
8.74	4451.01
8.75	4454.51
8.76	4458.01
8.77	4461.51
8.78	4465.01
8.79	4468.51
8.8	4472.02
8.81	4475.53
8.82	4479.04
8.83	4482.56
8.84	4486.08
8.85	4489.61
8.86	4493.15
8.87	4496.7
8.88	4500.25
8.89	4503.82
8.9	4507.39
8.91	4510.98
8.92	4514.58
8.93	4518.19
8.94	4521.82
8.95	4525.46
8.96	4529.12
8.97	4532.79
8.98	4536.49
8.99	4540.2
9	4543.93
9.01	4547.68
9.02	4551.46
9.03	4555.26
9.04	4559.08
9.05	4562.94
9.06	4566.81
9.07	4570.72
9.08	4574.65
9.09	4578.62
9.1	4582.62
9.11	4586.65
9.12	4590.72
9.13	4594.83
9.14	4598.97
9.15	4603.15
9.16	4607.37
9.17	4611.64
9.18	4615.95
9.19	4620.31
9.2	4624.71
9.21	4629.16
9.22	4633.67
9.23	4638.23
9.24	4642.84
9.25	4647.51
9.26	4652.24
9.27	4657.03
9.28	4661.88
9.29	4666.8
9.3	4671.78
9.31	4676.84
9.32	4681.96
9.33	4687.17
9.34	4692.44
9.35	4697.8
9.36	4703.24
9.37	4708.76
9.38	4714.37
9.39	4720.07
9.4	4725.87
9.41	4731.75
9.42	4737.74
9.43	4743.83
9.44	4750.02
9.45	4756.32
9.46	4762.74
9.47	4769.26
9.48	4775.91
9.49	4782.67
9.5	4789.57
9.51	4796.59
9.52	4803.74
9.53	4811.03
9.54	4818.46
9.55	4826.03
9.56	4833.76
9.57	4841.63
9.58	4849.67
9.59	4857.87
9.6	4866.23
9.61	4874.76
9.62	4883.48
9.63	4892.37
9.64	4901.45
9.65	4910.72
9.66	4920.19
9.67	4929.86
9.68	4939.74
9.69	4949.83
9.7	4960.14
9.71	4970.67
9.72	4981.44
9.73	4992.45
9.74	5003.7
9.75	5015.2
9.76	5026.95
9.77	5038.97
9.78	5051.26
9.79	5063.83
9.8	5076.68
9.81	5089.82
9.82	5103.27
9.83	5117.01
9.84	5131.07
9.85	5145.45
9.86	5160.16
9.87	5175.21
9.88	5190.6
9.89	5206.34
9.9	5222.44
9.91	5238.9
9.92	5255.74
9.93	5272.97
9.94	5290.59
9.95	5308.6
9.96	5327.02
9.97	5345.86
9.98	5365.12
9.99	5384.81
10	5404.94
10.01	5425.52
10.02	5446.54
10.03	5468.03
10.04	5489.98
10.05	5512.41
10.06	5535.31
10.07	5558.71
10.08	5582.59
10.09	5606.97
10.1	5631.85
10.11	5657.23
10.12	5683.12
10.13	5709.53
10.14	5736.44
10.15	5763.88
10.16	5791.83
10.17	5820.29
10.18	5849.27
10.19	5878.77
10.2	5908.77
10.21	5939.28
10.22	5970.29
10.23	6001.8
10.24	6033.79
10.25	6066.26
10.26	6099.19
10.27	6132.59
10.28	6166.42
10.29	6200.67
10.3	6235.34
