lp	sigma
1	48.6435
2	124.354
3	261.896
4	497.559
5	879.477
6	1459.85
7	2235.71
8	3078.05
9	3569.13
10	3656.81
11	3658.86
12	3663.87
13	3678.97
14	3701.33
15	3727.42
16	3755.03
17	3784.36
18	3813.98
19	3842.29
20	3870.63
21	3899.35
22	3925.7
23	3948.65
24	3970.43
25	3992.45
26	4012.32
27	4026.44
28	4034.01
29	4037.07
30	4038.02
31	4038.25
32	4038.29
33	4038.3
34	4038.3
35	4038.3
36	4038.3
37	4038.3
38	4038.3
39	4038.3
40	4038.3
41	4038.3
42	4038.3
