lp	sigma
1	507.19
2	1077.29
3	1673.12
4	2048
5	2048.26
6	2505.54
7	3566.69
8	3569.28
9	3576.84
10	3591.75
11	3610.04
12	3628.07
13	3644.52
14	3661.07
15	3677.34
16	3689.61
17	3695.99
18	3698.25
19	3698.81
20	3698.9
21	3698.92
22	3698.92
23	3698.92
24	3698.92
25	3698.92
26	3698.92
27	3698.92
28	3698.92
29	3698.92
