r	V(r)
0	-40.5595
0.1	-40.556
0.2	-40.5519
0.3	-40.5474
0.4	-40.5421
0.5	-40.5361
0.6	-40.5293
0.7	-40.5215
0.8	-40.5126
0.9	-40.5024
1	-40.4908
1.1	-40.4775
1.2	-40.4623
1.3	-40.445
1.4	-40.4253
1.5	-40.4027
1.6	-40.377
1.7	-40.3476
1.8	-40.3141
1.9	-40.2759
2	-40.2323
2.1	-40.1826
2.2	-40.126
2.3	-40.0615
2.4	-39.9881
2.5	-39.9045
2.6	-39.8094
2.7	-39.7013
2.8	-39.5785
2.9	-39.4391
3	-39.2811
3.1	-39.102
3.2	-38.8994
3.3	-38.6704
3.4	-38.4121
3.5	-38.1211
3.6	-37.7939
3.7	-37.4269
3.8	-37.0162
3.9	-36.5578
4	-36.0477
4.1	-35.482
4.2	-34.857
4.3	-34.1692
4.4	-33.4159
4.5	-32.5947
4.6	-31.7045
4.7	-30.7451
4.8	-29.7175
4.9	-28.6243
5	-27.4697
5.1	-26.2594
5.2	-25.0008
5.3	-23.7026
5.4	-22.3751
5.5	-21.0294
5.6	-19.6771
5.7	-18.3302
5.8	-17.0006
5.9	-15.6994
6	-14.4368
6.1	-13.2218
6.2	-12.0619
6.3	-10.963
6.4	-9.92932
6.5	-8.96363
6.6	-8.06714
6.7	-7.23978
6.8	-6.48037
6.9	-5.78679
7	-5.15622
7.1	-4.5853
7.2	-4.07034
7.3	-3.60741
7.4	-3.19254
7.5	-2.82173
7.6	-2.49112
7.7	-2.197
7.8	-1.93584
7.9	-1.70434
8	-1.49945
8.1	-1.31836
8.2	-1.15849
8.3	-1.01751
8.4	-0.893291
8.5	-0.783938
8.6	-0.68774
8.7	-0.603167
8.8	-0.528857
8.9	-0.463596
9	-0.406306
9.1	-0.356033
9.2	-0.311932
9.3	-0.273257
9.4	-0.239348
9.5	-0.209626
9.6	-0.183577
9.7	-0.160753
9.8	-0.140756
9.9	-0.123239
10	-0.107897
10.1	-0.0944596
10.2	-0.0826925
10.3	-0.0723887
10.4	-0.0633668
10.5	-0.0554677
10.6	-0.0485521
10.7	-0.0424979
10.8	-0.0371979
10.9	-0.0325583
11	-0.028497
11.1	-0.024942
11.2	-0.0218303
11.3	-0.0191065
11.4	-0.0167225
11.5	-0.0146359
11.6	-0.0128095
11.7	-0.011211
11.8	-0.00981188
11.9	-0.00858735
12	-0.00751562
12.1	-0.00657762
12.2	-0.00575668
12.3	-0.00503818
12.4	-0.00440935
12.5	-0.003859
12.6	-0.00337733
12.7	-0.00295578
12.8	-0.00258684
12.9	-0.00226395
13	-0.00198137
13.1	-0.00173405
13.2	-0.0015176
13.3	-0.00132817
13.4	-0.00116238
13.5	-0.00101729
13.6	-0.000890309
13.7	-0.000779177
13.8	-0.000681916
13.9	-0.000596796
14	-0.000522301
14.1	-0.000457105
14.2	-0.000400046
14.3	-0.00035011
14.4	-0.000306408
14.5	-0.00026816
14.6	-0.000234687
14.7	-0.000205392
14.8	-0.000179753
14.9	-0.000157315
15	-0.000137678
15.1	-0.000120493
15.2	-0.000105452
15.3	-9.22887e-05
15.4	-8.07686e-05
15.5	-7.06866e-05
15.6	-6.1863e-05
15.7	-5.41409e-05
15.8	-4.73826e-05
15.9	-4.1468e-05
16	-3.62917e-05
16.1	-3.17615e-05
16.2	-2.77969e-05
16.3	-2.43271e-05
16.4	-2.12904e-05
16.5	-1.86328e-05
16.6	-1.63069e-05
16.7	-1.42714e-05
16.8	-1.24899e-05
16.9	-1.09309e-05
17	-9.5664e-06
17.1	-8.37226e-06
17.2	-7.32718e-06
17.3	-6.41255e-06
17.4	-5.61209e-06
17.5	-4.91155e-06
17.6	-4.29846e-06
17.7	-3.7619e-06
17.8	-3.29231e-06
17.9	-2.88134e-06
18	-2.52168e-06
18.1	-2.2069e-06
18.2	-1.93142e-06
18.3	-1.69033e-06
18.4	-1.47933e-06
18.5	-1.29467e-06
18.6	-1.13306e-06
18.7	-9.91626e-07
18.8	-8.67844e-07
18.9	-7.59514e-07
19	-6.64707e-07
19.1	-5.81734e-07
19.2	-5.09118e-07
19.3	-4.45566e-07
19.4	-3.89948e-07
19.5	-3.41272e-07
19.6	-2.98672e-07
19.7	-2.6139e-07
19.8	-2.28761e-07
19.9	-2.00206e-07
