lp	sigma
1	347.702
2	775.356
3	1344.06
4	1996.94
5	2598.15
6	3014.45
7	3123.14
8	3187.02
9	3824.19
10	5579.27
11	5640.39
12	5641.72
13	5653.99
14	5672.78
15	5694.63
16	5715.51
17	5734.37
18	5753.17
19	5771.81
20	5786.72
21	5795.39
22	5799
23	5800.08
24	5800.32
25	5800.36
26	5800.37
27	5800.37
28	5800.37
29	5800.37
30	5800.37
31	5800.37
32	5800.37
33	5800.37
34	5800.37
