E	sigma
3.59	9271.99
3.6	9262.61
3.61	9253.33
3.62	9244.14
3.63	9235.04
3.64	9226.03
3.65	9217.09
3.66	9208.23
3.67	9199.43
3.68	9190.71
3.69	9182.05
3.7	9173.45
3.71	9164.9
3.72	9156.41
3.73	9147.97
3.74	9139.57
3.75	9131.22
3.76	9122.91
3.77	9114.64
3.78	9106.4
3.79	9098.2
3.8	9090.03
3.81	9081.88
3.82	9073.76
3.83	9065.67
3.84	9057.6
3.85	9049.55
3.86	9041.52
3.87	9033.5
3.88	9025.5
3.89	9017.51
3.9	9009.53
3.91	9001.56
3.92	8993.6
3.93	8985.65
3.94	8977.7
3.95	8969.75
3.96	8961.81
3.97	8953.86
3.98	8945.92
3.99	8937.98
4	8930.03
4.01	8922.08
4.02	8914.12
4.03	8906.16
4.04	8898.19
4.05	8890.21
4.06	8882.22
4.07	8874.23
4.08	8866.22
4.09	8858.2
4.1	8850.17
4.11	8842.12
4.12	8834.06
4.13	8825.99
4.14	8817.9
4.15	8809.79
4.16	8801.67
4.17	8793.52
4.18	8785.36
4.19	8777.19
4.2	8768.99
4.21	8760.77
4.22	8752.53
4.23	8744.27
4.24	8735.99
4.25	8727.68
4.26	8719.36
4.27	8711.01
4.28	8702.63
4.29	8694.23
4.3	8685.81
4.31	8677.37
4.32	8668.89
4.33	8660.4
4.34	8651.87
4.35	8643.32
4.36	8634.75
4.37	8626.15
4.38	8617.52
4.39	8608.86
4.4	8600.18
4.41	8591.46
4.42	8582.72
4.43	8573.96
4.44	8565.16
4.45	8556.34
4.46	8547.48
4.47	8538.6
4.48	8529.69
4.49	8520.75
4.5	8511.77
4.51	8502.77
4.52	8493.74
4.53	8484.69
4.54	8475.6
4.55	8466.48
4.56	8457.33
4.57	8448.15
4.58	8438.94
4.59	8429.7
4.6	8420.43
4.61	8411.13
4.62	8401.79
4.63	8392.43
4.64	8383.04
4.65	8373.62
4.66	8364.17
4.67	8354.68
4.68	8345.17
4.69	8335.63
4.7	8326.05
4.71	8316.45
4.72	8306.81
4.73	8297.15
4.74	8287.45
4.75	8277.73
4.76	8267.97
4.77	8258.18
4.78	8248.37
4.79	8238.52
4.8	8228.65
4.81	8218.74
4.82	8208.81
4.83	8198.84
4.84	8188.85
4.85	8178.83
4.86	8168.78
4.87	8158.7
4.88	8148.59
4.89	8138.45
4.9	8128.28
4.91	8118.08
4.92	8107.86
4.93	8097.61
4.94	8087.33
4.95	8077.02
4.96	8066.68
4.97	8056.32
4.98	8045.93
4.99	8035.51
5	8025.06
5.01	8014.59
5.02	8004.09
5.03	7993.56
5.04	7983.01
5.05	7972.43
5.06	7961.83
5.07	7951.2
5.08	7940.54
5.09	7929.86
5.1	7919.15
5.11	7908.42
5.12	7897.66
5.13	7886.88
5.14	7876.07
5.15	7865.24
5.16	7854.39
5.17	7843.51
5.18	7832.61
5.19	7821.69
5.2	7810.74
5.21	7799.77
5.22	7788.78
5.23	7777.76
5.24	7766.72
5.25	7755.66
5.26	7744.58
5.27	7733.48
5.28	7722.36
5.29	7711.21
5.3	7700.05
5.31	7688.86
5.32	7677.66
5.33	7666.43
5.34	7655.19
5.35	7643.92
5.36	7632.64
5.37	7621.34
5.38	7610.02
5.39	7598.68
5.4	7587.32
5.41	7575.95
5.42	7564.56
5.43	7553.15
5.44	7541.72
5.45	7530.28
5.46	7518.82
5.47	7507.35
5.48	7495.86
5.49	7484.35
5.5	7472.83
5.51	7461.29
5.52	7449.74
5.53	7438.18
5.54	7426.6
5.55	7415.01
5.56	7403.4
5.57	7391.78
5.58	7380.15
5.59	7368.51
5.6	7356.85
5.61	7345.18
5.62	7333.5
5.63	7321.81
5.64	7310.1
5.65	7298.39
5.66	7286.67
5.67	7274.93
5.68	7263.19
5.69	7251.44
5.7	7239.67
5.71	7227.9
5.72	7216.12
5.73	7204.33
5.74	7192.54
5.75	7180.74
5.76	7168.92
5.77	7157.11
5.78	7145.28
5.79	7133.45
5.8	7121.62
5.81	7109.77
5.82	7097.93
5.83	7086.07
5.84	7074.22
5.85	7062.35
5.86	7050.49
5.87	7038.62
5.88	7026.75
5.89	7014.87
5.9	7002.99
5.91	6991.11
5.92	6979.23
5.93	6967.35
5.94	6955.46
5.95	6943.57
5.96	6931.69
5.97	6919.8
5.98	6907.91
5.99	6896.02
6	6884.14
6.01	6872.25
6.02	6860.37
6.03	6848.49
6.04	6836.61
6.05	6824.73
6.06	6812.85
6.07	6800.98
6.08	6789.11
6.09	6777.25
6.1	6765.39
6.11	6753.54
6.12	6741.69
6.13	6729.84
6.14	6718
6.15	6706.17
6.16	6694.34
6.17	6682.52
6.18	6670.71
6.19	6658.91
6.2	6647.11
6.21	6635.32
6.22	6623.54
6.23	6611.77
6.24	6600.01
6.25	6588.25
6.26	6576.51
6.27	6564.78
6.28	6553.06
6.29	6541.35
6.3	6529.65
6.31	6517.97
6.32	6506.29
6.33	6494.63
6.34	6482.99
6.35	6471.35
6.36	6459.73
6.37	6448.13
6.38	6436.54
6.39	6424.96
6.4	6413.4
6.41	6401.86
6.42	6390.33
6.43	6378.82
6.44	6367.33
6.45	6355.85
6.46	6344.39
6.47	6332.96
6.48	6321.53
6.49	6310.13
6.5	6298.75
6.51	6287.39
6.52	6276.05
6.53	6264.73
6.54	6253.43
6.55	6242.15
6.56	6230.89
6.57	6219.66
6.58	6208.45
6.59	6197.26
6.6	6186.1
6.61	6174.96
6.62	6163.85
6.63	6152.76
6.64	6141.69
6.65	6130.66
6.66	6119.65
6.67	6108.66
6.68	6097.7
6.69	6086.77
6.7	6075.87
6.71	6065
6.72	6054.16
6.73	6043.34
6.74	6032.56
6.75	6021.8
6.76	6011.08
6.77	6000.39
6.78	5989.73
6.79	5979.1
6.8	5968.5
6.81	5957.94
6.82	5947.41
6.83	5936.92
6.84	5926.46
6.85	5916.03
6.86	5905.65
6.87	5895.29
6.88	5884.97
6.89	5874.69
6.9	5864.45
6.91	5854.25
6.92	5844.08
6.93	5833.95
6.94	5823.86
6.95	5813.81
6.96	5803.81
6.97	5793.84
6.98	5783.91
6.99	5774.03
7	5764.18
7.01	5754.38
7.02	5744.63
7.03	5734.91
7.04	5725.24
7.05	5715.62
7.06	5706.04
7.07	5696.51
7.08	5687.02
7.09	5677.58
7.1	5668.19
7.11	5658.84
7.12	5649.54
7.13	5640.29
7.14	5631.09
7.15	5621.94
7.16	5612.85
7.17	5603.8
7.18	5594.8
7.19	5585.85
7.2	5576.96
7.21	5568.12
7.22	5559.33
7.23	5550.6
7.24	5541.92
7.25	5533.29
7.26	5524.73
7.27	5516.21
7.28	5507.76
7.29	5499.36
7.3	5491.01
7.31	5482.73
7.32	5474.5
7.33	5466.34
7.34	5458.23
7.35	5450.18
7.36	5442.2
7.37	5434.27
7.38	5426.41
7.39	5418.61
7.4	5410.87
7.41	5403.19
7.42	5395.58
7.43	5388.03
7.44	5380.54
7.45	5373.13
7.46	5365.77
7.47	5358.49
7.48	5351.27
7.49	5344.11
7.5	5337.03
7.51	5330.01
7.52	5323.06
7.53	5316.18
7.54	5309.37
7.55	5302.63
7.56	5295.96
7.57	5289.36
7.58	5282.84
7.59	5276.38
7.6	5270
7.61	5263.69
7.62	5257.45
7.63	5251.29
7.64	5245.2
7.65	5239.19
7.66	5233.25
7.67	5227.39
7.68	5221.6
7.69	5215.89
7.7	5210.26
7.71	5204.7
7.72	5199.22
7.73	5193.82
7.74	5188.5
7.75	5183.26
7.76	5178.09
7.77	5173.01
7.78	5168.01
7.79	5163.08
7.8	5158.24
7.81	5153.48
7.82	5148.8
7.83	5144.2
7.84	5139.68
7.85	5135.25
7.86	5130.9
7.87	5126.63
7.88	5122.44
7.89	5118.34
7.9	5114.33
7.91	5110.39
7.92	5106.54
7.93	5102.78
7.94	5099.1
7.95	5095.5
7.96	5091.99
7.97	5088.57
7.98	5085.23
7.99	5081.98
8	5078.81
8.01	5075.73
8.02	5072.74
8.03	5069.83
8.04	5067.01
8.05	5064.28
8.06	5061.63
8.07	5059.07
8.08	5056.59
8.09	5054.21
8.1	5051.91
8.11	5049.69
8.12	5047.56
8.13	5045.53
8.14	5043.57
8.15	5041.71
8.16	5039.93
8.17	5038.23
8.18	5036.63
8.19	5035.11
8.2	5033.68
8.21	5032.33
8.22	5031.07
8.23	5029.89
8.24	5028.81
8.25	5027.8
8.26	5026.88
8.27	5026.05
8.28	5025.3
8.29	5024.64
8.3	5024.06
8.31	5023.56
8.32	5023.15
8.33	5022.82
8.34	5022.58
8.35	5022.42
8.36	5022.34
8.37	5022.34
8.38	5022.42
8.39	5022.58
8.4	5022.83
8.41	5023.15
8.42	5023.55
8.43	5024.04
8.44	5024.6
8.45	5025.24
8.46	5025.95
8.47	5026.74
8.48	5027.61
8.49	5028.56
8.5	5029.58
8.51	5030.67
8.52	5031.84
8.53	5033.07
8.54	5034.39
8.55	5035.77
8.56	5037.22
8.57	5038.75
8.58	5040.34
8.59	5042
8.6	5043.73
8.61	5045.52
8.62	5047.38
8.63	5049.31
8.64	5051.3
8.65	5053.35
8.66	5055.47
8.67	5057.64
8.68	5059.88
8.69	5062.18
8.7	5064.53
8.71	5066.95
8.72	5069.42
8.73	5071.94
8.74	5074.53
8.75	5077.16
8.76	5079.85
8.77	5082.59
8.78	5085.38
8.79	5088.22
8.8	5091.11
8.81	5094.04
8.82	5097.03
8.83	5100.06
8.84	5103.13
8.85	5106.25
8.86	5109.41
8.87	5112.61
8.88	5115.85
8.89	5119.13
8.9	5122.45
8.91	5125.81
8.92	5129.2
8.93	5132.63
8.94	5136.09
8.95	5139.59
8.96	5143.12
8.97	5146.67
8.98	5150.26
8.99	5153.88
9	5157.53
9.01	5161.2
9.02	5164.9
9.03	5168.63
9.04	5172.38
9.05	5176.15
9.06	5179.94
9.07	5183.76
9.08	5187.6
9.09	5191.46
9.1	5195.34
9.11	5199.23
9.12	5203.15
9.13	5207.08
9.14	5211.03
9.15	5214.99
9.16	5218.97
9.17	5222.97
9.18	5226.98
9.19	5231
9.2	5235.04
9.21	5239.09
9.22	5243.15
9.23	5247.23
9.24	5251.32
9.25	5255.42
9.26	5259.54
9.27	5263.67
9.28	5267.81
9.29	5271.97
9.3	5276.14
9.31	5280.32
9.32	5284.52
9.33	5288.74
9.34	5292.97
9.35	5297.22
9.36	5301.49
9.37	5305.79
9.38	5310.1
9.39	5314.43
9.4	5318.8
9.41	5323.19
9.42	5327.61
9.43	5332.06
9.44	5336.55
9.45	5341.07
9.46	5345.64
9.47	5350.25
9.48	5354.91
9.49	5359.63
9.5	5364.41
9.51	5369.24
9.52	5374.15
9.53	5379.14
9.54	5384.21
9.55	5389.37
9.56	5394.62
9.57	5399.99
9.58	5405.47
9.59	5411.08
9.6	5416.83
9.61	5422.73
9.62	5428.79
9.63	5435.04
9.64	5441.48
9.65	5448.14
9.66	5455.03
9.67	5462.18
9.68	5469.61
9.69	5477.34
9.7	5485.4
9.71	5493.83
9.72	5502.66
9.73	5511.93
9.74	5521.67
9.75	5531.94
9.76	5542.79
9.77	5554.27
9.78	5566.44
9.79	5579.38
9.8	5593.17
9.81	5607.88
9.82	5623.62
9.83	5640.5
9.84	5658.63
9.85	5678.16
9.86	5699.23
9.87	5722.01
9.88	5746.71
9.89	5773.53
9.9	5802.73
9.91	5834.58
9.92	5869.39
9.93	5907.53
9.94	5949.39
9.95	5995.43
9.96	6046.18
9.97	6102.21
9.98	6164.18
9.99	6232.85
10	6309.03
10.01	6393.65
10.02	6487.73
10.03	6592.38
10.04	6708.77
10.05	6838.14
10.06	6981.7
10.07	7140.58
10.08	7315.71
10.09	7507.65
10.1	7716.34
10.11	7940.85
10.12	8178.99
10.13	8427
10.14	8679.25
10.15	8928.07
10.16	9163.97
10.17	9376.16
10.18	9553.63
10.19	9686.46
10.2	9767.34
10.21	9792.66
10.22	9763.05
10.23	9683.09
10.24	9560.38
10.25	9404.27
10.26	9224.5
10.27	9030.22
10.28	8829.3
10.29	8628.04
10.3	8431.14
10.31	8241.87
10.32	8062.32
10.33	7893.66
10.34	7736.38
10.35	7590.45
10.36	7455.56
10.37	7331.16
10.38	7216.6
10.39	7111.18
10.4	7014.18
10.41	6924.89
10.42	6842.65
10.43	6766.82
10.44	6696.83
10.45	6632.14
10.46	6572.25
10.47	6516.74
10.48	6465.2
10.49	6417.27
10.5	6372.61
10.51	6330.95
10.52	6292.02
10.53	6255.57
10.54	6221.39
10.55	6189.3
10.56	6159.11
10.57	6130.67
10.58	6103.83
10.59	6078.47
10.6	6054.47
10.61	6031.73
10.62	6010.15
10.63	5989.63
10.64	5970.11
10.65	5951.5
10.66	5933.75
10.67	5916.79
10.68	5900.57
10.69	5885.03
10.7	5870.13
10.71	5855.83
10.72	5842.09
10.73	5828.86
10.74	5816.13
10.75	5803.85
10.76	5792
10.77	5780.55
10.78	5769.48
10.79	5758.76
10.8	5748.38
10.81	5738.32
10.82	5728.55
10.83	5719.06
10.84	5709.83
10.85	5700.86
10.86	5692.12
10.87	5683.61
