lp	sigma
1	170.516
2	478.541
3	1064.19
4	2079.46
5	3517.38
6	5008.21
7	5395.99
8	5455.68
9	7882.77
10	7884.52
11	7893.96
12	7909.34
13	7925.06
14	7941.37
15	7957.68
16	7970.21
17	7976.85
18	7979.25
19	7979.85
20	7979.96
21	7979.97
22	7979.97
23	7979.97
24	7979.97
25	7979.97
26	7979.97
27	7979.97
28	7979.97
29	7979.97
