lp	sigma
1	122.825
2	256.585
3	404.481
4	535.071
5	612.648
6	629.221
7	637.384
8	814.386
9	1427.27
10	2631.79
11	3741.17
12	3841.79
13	3841.95
14	3850.9
15	3869.66
16	3892.2
17	3916.51
18	3942.34
19	3966.91
20	3988.47
21	4008.87
22	4029.57
23	4048.25
24	4061.28
25	4067.99
26	4070.55
27	4071.28
28	4071.44
29	4071.46
30	4071.47
31	4071.47
32	4071.47
33	4071.47
34	4071.47
35	4071.47
36	4071.47
37	4071.47
38	4071.47
39	4071.47
