theta	dsigma
0	42556.1
0.0174533	42168.3
0.0349066	41028.5
0.0523599	39205.3
0.0698132	36803
0.0872665	33950.5
0.10472	30786.9
0.122173	27448.7
0.139626	24060
0.15708	20725.9
0.174533	17530.4
0.191986	14537.1
0.20944	11792.7
0.226893	9330.16
0.244346	7172.09
0.261799	5332.19
0.279253	3815.57
0.296706	2618.01
0.314159	1724.91
0.331613	1110.91
0.349066	740.622
0.366519	570.661
0.383972	552.938
0.401426	638.573
0.418879	781.842
0.436332	943.492
0.453786	1092.98
0.471239	1209.39
0.488692	1281.18
0.506145	1304.84
0.523599	1283.12
0.541052	1222.91
0.558505	1133.32
0.575959	1024.08
0.593412	904.374
0.610865	782.092
0.628319	663.434
0.645772	552.83
0.663225	453.042
0.680678	365.409
0.698132	290.174
0.715585	226.849
0.733038	174.58
0.750492	132.472
0.767945	99.8247
0.785398	76.2701
0.802851	61.7769
0.820305	56.5442
0.837758	60.8053
0.855211	74.5877
0.872665	97.4786
0.890118	128.447
0.907571	165.757
0.925025	206.996
0.942478	249.217
0.959931	289.174
0.977384	323.623
0.994838	349.651
1.01229	364.985
1.02974	368.25
1.0472	359.134
1.06465	338.461
1.0821	308.145
1.09956	271.035
1.11701	230.667
1.13446	190.949
1.15192	155.798
1.16937	128.774
1.18682	112.736
1.20428	109.565
1.22173	119.964
1.23918	143.37
1.25664	177.98
1.27409	220.894
1.29154	268.365
1.309	316.132
1.32645	359.81
1.3439	395.303
1.36136	419.191
1.37881	429.08
1.39626	423.843
1.41372	403.761
1.43117	370.529
1.44862	327.123
1.46608	277.546
1.48353	226.46
1.50098	178.756
1.51844	139.076
1.53589	111.361
1.55334	98.4461
1.5708	101.764
1.58825	121.173
1.6057	154.942
1.62316	199.891
1.64061	251.681
1.65806	305.223
1.67552	355.172
1.69297	396.459
1.71042	424.793
1.72788	437.11
1.74533	431.891
1.76278	409.338
1.78024	371.377
1.79769	321.485
1.81514	264.362
1.8326	205.471
1.85005	150.502
1.8675	104.8
1.88496	72.8247
1.90241	57.6966
1.91986	60.8682
1.93732	81.9657
1.95477	118.811
1.97222	167.629
1.98968	223.417
2.00713	280.438
2.02458	332.805
2.04204	375.071
2.05949	402.788
2.07694	412.966
2.0944	404.389
2.11185	377.756
2.1293	335.618
2.14675	282.137
2.16421	222.67
2.18166	163.232
2.19911	109.88
2.21657	68.0935
2.23402	42.1999
2.25147	34.9201
2.26893	47.0675
2.28638	77.4436
2.30383	122.939
2.32129	178.835
2.33874	239.274
2.35619	297.856
2.37365	348.304
2.3911	385.125
2.40855	404.2
2.42601	403.249
2.44346	382.104
2.46091	342.776
2.47837	289.29
2.49582	227.31
2.51327	163.579
2.53073	105.234
2.54818	59.0606
2.56563	30.7628
2.58309	24.3212
2.60054	41.5132
2.61799	81.6457
2.63545	141.537
2.6529	215.758
2.67035	297.114
2.68781	377.34
2.70526	447.924
2.72271	501.01
2.74017	530.269
2.75762	531.668
2.77507	504.04
2.79253	449.413
2.80998	373.033
2.82743	283.077
2.84489	190.076
2.86234	106.074
2.87979	43.6024
2.89725	14.5562
2.9147	29.0674
2.93215	94.4791
2.94961	214.518
2.96706	388.745
2.98451	612.342
3.00197	876.263
3.01942	1167.75
3.03687	1471.17
3.05433	1769.12
3.07178	2043.73
3.08923	2277.98
3.10669	2457.02
3.12414	2569.32
3.14159	2607.58
