theta	dsigma
0	53230.4
0.0174533	51138.1
0.0349066	45396.3
0.0523599	37389.3
0.0698132	28803.7
0.0872665	21031.9
0.10472	14802.6
0.122173	10168.1
0.139626	6775.95
0.15708	4221.13
0.174533	2278.62
0.191986	930.565
0.20944	239.792
0.226893	196.951
0.244346	650.241
0.261799	1346.63
0.279253	2035.77
0.296706	2559.79
0.314159	2879.05
0.331613	3034.91
0.349066	3087.67
0.366519	3071.42
0.383972	2985.37
0.401426	2813.72
0.418879	2552.28
0.436332	2223.42
0.453786	1873.07
0.471239	1555.53
0.488692	1315.45
0.506145	1175
0.523599	1129.5
0.541052	1151.64
0.558505	1202.02
0.575959	1242.28
0.593412	1246.44
0.610865	1206.66
0.628319	1131.55
0.645772	1038.69
0.663225	945.333
0.680678	861.544
0.698132	788.55
0.715585	721.726
0.733038	655.692
0.750492	588.423
0.767945	522.491
0.785398	463.449
0.802851	416.743
0.820305	384.967
0.837758	366.669
0.855211	356.994
0.872665	349.624
0.890118	339.044
0.907571	322.251
0.925025	299.331
0.942478	272.866
0.959931	246.53
0.977384	223.512
0.994838	205.399
1.01229	191.882
1.02974	181.281
1.0472	171.532
1.06465	161.152
1.0821	149.752
1.09956	137.979
1.11701	126.993
1.13446	117.806
1.15192	110.798
1.16937	105.585
1.18682	101.248
1.20428	96.7516
1.22173	91.3603
1.23918	84.8769
1.25664	77.6428
1.27409	70.3397
1.29154	63.6997
1.309	58.245
1.32645	54.1435
1.3439	51.2121
1.36136	49.0383
1.37881	47.159
1.39626	45.2235
1.41372	43.0852
1.43117	40.8039
1.44862	38.5696
1.46608	36.5912
1.48353	34.9931
1.50098	33.7607
1.51844	32.7465
1.53589	31.7287
1.55334	30.4952
1.5708	28.9197
1.58825	27.004
1.6057	24.8742
1.62316	22.7382
1.64061	20.8199
1.65806	19.2951
1.67552	18.2466
1.69297	17.6506
1.71042	17.3927
1.72788	17.3048
1.74533	17.2106
1.76278	16.9659
1.78024	16.4848
1.79769	15.7481
1.81514	14.7963
1.8326	13.711
1.85005	12.5929
1.8675	11.5396
1.88496	10.6303
1.90241	9.91586
1.91986	9.41574
1.93732	9.12014
1.95477	8.99495
1.97222	8.98865
1.98968	9.03986
2.00713	9.08513
2.02458	9.06658
2.04204	8.93921
2.05949	8.67698
2.07694	8.27714
2.0944	7.76145
2.11185	7.17398
2.1293	6.57495
2.14675	6.03129
2.16421	5.6053
2.18166	5.34317
2.19911	5.26555
2.21657	5.36228
2.23402	5.59236
2.25147	5.88977
2.26893	6.17431
2.28638	6.36563
2.30383	6.39824
2.32129	6.23431
2.33874	5.87223
2.35619	5.34864
2.37365	4.73359
2.3911	4.11917
2.40855	3.60356
2.42601	3.27311
2.44346	3.18564
2.46091	3.35828
2.47837	3.76198
2.49582	4.32436
2.51327	4.94045
2.53073	5.49007
2.54818	5.85884
2.56563	5.95933
2.58309	5.74851
2.60054	5.23827
2.61799	4.49661
2.63545	3.63903
2.6529	2.81078
2.67035	2.16289
2.68781	1.82554
2.70526	1.88346
2.72271	2.35757
2.74017	3.19664
2.75762	4.28078
2.77507	5.4373
2.79253	6.4668
2.80998	7.17612
2.82743	7.41306
2.84489	7.09736
2.86234	6.24255
2.87979	4.96473
2.89725	3.4757
2.9147	2.06046
2.93215	1.04155
2.94961	0.73455
2.96706	1.40098
2.98451	3.20534
3.00197	6.18271
3.01942	10.2224
3.03687	15.0703
3.05433	20.3514
3.07178	25.6085
3.08923	30.3549
3.10669	34.1312
3.12414	36.5617
3.14159	37.4004
