r	V(r)
0	-50.5314
0.1	-50.531
0.2	-50.5304
0.3	-50.5298
0.4	-50.5292
0.5	-50.5284
0.6	-50.5275
0.7	-50.5265
0.8	-50.5253
0.9	-50.524
1	-50.5225
1.1	-50.5208
1.2	-50.5188
1.3	-50.5165
1.4	-50.5139
1.5	-50.511
1.6	-50.5076
1.7	-50.5038
1.8	-50.4994
1.9	-50.4944
2	-50.4886
2.1	-50.4821
2.2	-50.4746
2.3	-50.466
2.4	-50.4563
2.5	-50.4451
2.6	-50.4324
2.7	-50.4178
2.8	-50.4012
2.9	-50.3822
3	-50.3606
3.1	-50.3358
3.2	-50.3076
3.3	-50.2754
3.4	-50.2386
3.5	-50.1967
3.6	-50.1489
3.7	-50.0943
3.8	-50.0322
3.9	-49.9613
4	-49.8806
4.1	-49.7887
4.2	-49.6841
4.3	-49.5651
4.4	-49.4298
4.5	-49.2762
4.6	-49.1018
4.7	-48.904
4.8	-48.68
4.9	-48.4265
5	-48.14
5.1	-47.8168
5.2	-47.4528
5.3	-47.0436
5.4	-46.5846
5.5	-46.071
5.6	-45.4978
5.7	-44.8601
5.8	-44.1529
5.9	-43.3717
6	-42.5123
6.1	-41.571
6.2	-40.5452
6.3	-39.4334
6.4	-38.2354
6.5	-36.9527
6.6	-35.5884
6.7	-34.1479
6.8	-32.6383
6.9	-31.069
7	-29.451
7.1	-27.7968
7.2	-26.1205
7.3	-24.4367
7.4	-22.7602
7.5	-21.1056
7.6	-19.487
7.7	-17.917
7.8	-16.4066
7.9	-14.9651
8	-13.5997
8.1	-12.3159
8.2	-11.1167
8.3	-10.0037
8.4	-8.97682
8.5	-8.03443
8.6	-7.17389
8.7	-6.39166
8.8	-5.68355
8.9	-5.04491
9	-4.47089
9.1	-3.9565
9.2	-3.49679
9.3	-3.08696
9.4	-2.72239
9.5	-2.39869
9.6	-2.11178
9.7	-1.85787
9.8	-1.63345
9.9	-1.43534
10	-1.26065
10.1	-1.10673
10.2	-0.971235
10.3	-0.852043
10.4	-0.747258
10.5	-0.65519
10.6	-0.574334
10.7	-0.503356
10.8	-0.441072
10.9	-0.386436
11	-0.338521
11.1	-0.296513
11.2	-0.25969
11.3	-0.22742
11.4	-0.199144
11.5	-0.174371
11.6	-0.152671
11.7	-0.133664
11.8	-0.117017
11.9	-0.10244
12	-0.0896756
12.1	-0.0784991
12.2	-0.0687136
12.3	-0.0601465
12.4	-0.0526465
12.5	-0.0460808
12.6	-0.0403333
12.7	-0.0353021
12.8	-0.0308982
12.9	-0.0270433
13	-0.0236692
13.1	-0.0207158
13.2	-0.0181309
13.3	-0.0158684
13.4	-0.0138881
13.5	-0.0121549
13.6	-0.010638
13.7	-0.00931032
13.8	-0.00814834
13.9	-0.00713135
14	-0.00624128
14.1	-0.00546228
14.2	-0.00478051
14.3	-0.00418382
14.4	-0.00366161
14.5	-0.00320457
14.6	-0.00280458
14.7	-0.00245451
14.8	-0.00214813
14.9	-0.00188
15	-0.00164533
15.1	-0.00143996
15.2	-0.00126022
15.3	-0.00110291
15.4	-0.000965241
15.5	-0.000844755
15.6	-0.000739309
15.7	-0.000647024
15.8	-0.000566259
15.9	-0.000495576
16	-0.000433715
16.1	-0.000379576
16.2	-0.000332195
16.3	-0.000290729
16.4	-0.000254438
16.5	-0.000222678
16.6	-0.000194882
16.7	-0.000170555
16.8	-0.000149266
16.9	-0.000130633
17	-0.000114327
17.1	-0.000100056
17.2	-8.75662e-05
17.3	-7.66356e-05
17.4	-6.70695e-05
17.5	-5.86974e-05
17.6	-5.13704e-05
17.7	-4.4958e-05
17.8	-3.93461e-05
17.9	-3.44346e-05
18	-3.01363e-05
18.1	-2.63745e-05
18.2	-2.30822e-05
18.3	-2.0201e-05
18.4	-1.76793e-05
18.5	-1.54725e-05
18.6	-1.35411e-05
18.7	-1.18508e-05
18.8	-1.03715e-05
18.9	-9.07688e-06
19	-7.94384e-06
19.1	-6.95224e-06
19.2	-6.08441e-06
19.3	-5.32491e-06
19.4	-4.66022e-06
19.5	-4.0785e-06
19.6	-3.5694e-06
19.7	-3.12384e-06
19.8	-2.7339e-06
19.9	-2.39264e-06
