r	V(r)
0	-41.252
0.1	-41.2516
0.2	-41.2512
0.3	-41.2507
0.4	-41.2502
0.5	-41.2495
0.6	-41.2488
0.7	-41.248
0.8	-41.247
0.9	-41.246
1	-41.2447
1.1	-41.2433
1.2	-41.2417
1.3	-41.2398
1.4	-41.2377
1.5	-41.2353
1.6	-41.2326
1.7	-41.2294
1.8	-41.2259
1.9	-41.2218
2	-41.2171
2.1	-41.2117
2.2	-41.2056
2.3	-41.1986
2.4	-41.1907
2.5	-41.1815
2.6	-41.1711
2.7	-41.1593
2.8	-41.1457
2.9	-41.1302
3	-41.1125
3.1	-41.0923
3.2	-41.0693
3.3	-41.043
3.4	-41.013
3.5	-40.9788
3.6	-40.9397
3.7	-40.8952
3.8	-40.8444
3.9	-40.7866
4	-40.7207
4.1	-40.6457
4.2	-40.5603
4.3	-40.4631
4.4	-40.3527
4.5	-40.2273
4.6	-40.0849
4.7	-39.9234
4.8	-39.7405
4.9	-39.5336
5	-39.2998
5.1	-39.0359
5.2	-38.7388
5.3	-38.4047
5.4	-38.03
5.5	-37.6107
5.6	-37.1428
5.7	-36.6221
5.8	-36.0448
5.9	-35.4071
6	-34.7055
6.1	-33.937
6.2	-33.0996
6.3	-32.192
6.4	-31.214
6.5	-30.1668
6.6	-29.0531
6.7	-27.8771
6.8	-26.6447
6.9	-25.3636
7	-24.0427
7.1	-22.6923
7.2	-21.3238
7.3	-19.9492
7.4	-18.5806
7.5	-17.2299
7.6	-15.9085
7.7	-14.6268
7.8	-13.3937
7.9	-12.2169
8	-11.1023
8.1	-10.0542
8.2	-9.07527
8.3	-8.16668
8.4	-7.32835
8.5	-6.55902
8.6	-5.8565
8.7	-5.21792
8.8	-4.63984
8.9	-4.11848
9	-3.64987
9.1	-3.22994
9.2	-2.85465
9.3	-2.52008
9.4	-2.22246
9.5	-1.9582
9.6	-1.72398
9.7	-1.5167
9.8	-1.33349
9.9	-1.17176
10	-1.02914
10.1	-0.903493
10.2	-0.792881
10.3	-0.695577
10.4	-0.610034
10.5	-0.534873
10.6	-0.468865
10.7	-0.410921
10.8	-0.360075
10.9	-0.315472
11	-0.276356
11.1	-0.242062
11.2	-0.212002
11.3	-0.185657
11.4	-0.162574
11.5	-0.14235
11.6	-0.124635
11.7	-0.109118
11.8	-0.0955288
11.9	-0.0836284
12	-0.0732079
12.1	-0.0640838
12.2	-0.0560953
12.3	-0.0491014
12.4	-0.0429787
12.5	-0.0376187
12.6	-0.0329266
12.7	-0.0288194
12.8	-0.0252241
12.9	-0.0220772
13	-0.0193226
13.1	-0.0169116
13.2	-0.0148014
13.3	-0.0129544
13.4	-0.0113377
13.5	-0.00992284
13.6	-0.00868446
13.7	-0.00760061
13.8	-0.006652
13.9	-0.00582177
14	-0.00509515
14.1	-0.00445921
14.2	-0.00390263
14.3	-0.00341552
14.4	-0.0029892
14.5	-0.00261609
14.6	-0.00228955
14.7	-0.00200377
14.8	-0.00175366
14.9	-0.00153476
15	-0.00134319
15.1	-0.00117553
15.2	-0.00102879
15.3	-0.000900376
15.4	-0.000787987
15.5	-0.000689627
15.6	-0.000603545
15.7	-0.000528207
15.8	-0.000462274
15.9	-0.00040457
16	-0.000354069
16.1	-0.000309872
16.2	-0.000271192
16.3	-0.00023734
16.4	-0.000207714
16.5	-0.000181786
16.6	-0.000159094
16.7	-0.000139235
16.8	-0.000121855
16.9	-0.000106644
17	-9.33322e-05
17.1	-8.16819e-05
17.2	-7.14859e-05
17.3	-6.25625e-05
17.4	-5.47531e-05
17.5	-4.79184e-05
17.6	-4.19369e-05
17.7	-3.67021e-05
17.8	-3.21207e-05
17.9	-2.81112e-05
18	-2.46022e-05
18.1	-2.15312e-05
18.2	-1.88435e-05
18.3	-1.64913e-05
18.4	-1.44328e-05
18.5	-1.26312e-05
18.6	-1.10545e-05
18.7	-9.67457e-06
18.8	-8.46693e-06
18.9	-7.41003e-06
19	-6.48506e-06
19.1	-5.67555e-06
19.2	-4.96709e-06
19.3	-4.34707e-06
19.4	-3.80444e-06
19.5	-3.32954e-06
19.6	-2.91393e-06
19.7	-2.55019e-06
19.8	-2.23186e-06
19.9	-1.95326e-06
