theta	dsigma
0	31321
0.0174533	30940.5
0.0349066	29853.7
0.0523599	28208.6
0.0698132	26205.7
0.0872665	24045.1
0.10472	21880.2
0.122173	19791.6
0.139626	17788.3
0.15708	15831.8
0.174533	13871.9
0.191986	11880.5
0.20944	9871.85
0.226893	7902.66
0.244346	6056.72
0.261799	4420.1
0.279253	3057.57
0.296706	1997.8
0.314159	1230.66
0.331613	715.415
0.349066	394.821
0.366519	209.79
0.383972	110.105
0.401426	59.4002
0.418879	35.0025
0.436332	24.7125
0.453786	22.8684
0.471239	27.299
0.488692	37.6747
0.506145	54.8826
0.523599	80.6957
0.541052	117.175
0.558505	165.681
0.575959	225.793
0.593412	294.581
0.610865	366.619
0.628319	434.778
0.645772	491.615
0.663225	530.908
0.680678	548.946
0.698132	545.229
0.715585	522.496
0.733038	486.113
0.750492	443.031
0.767945	400.553
0.785398	365.135
0.802851	341.457
0.820305	331.857
0.837758	336.23
0.855211	352.332
0.872665	376.419
0.890118	404.045
0.907571	430.86
0.925025	453.244
0.942478	468.69
0.959931	475.907
0.977384	474.697
0.994838	465.707
1.01229	450.145
1.02974	429.549
1.0472	405.642
1.06465	380.252
1.0821	355.26
1.09956	332.526
1.11701	313.754
1.13446	300.3
1.15192	292.96
1.16937	291.775
1.18682	295.938
1.20428	303.82
1.22173	313.159
1.23918	321.374
1.25664	325.958
1.27409	324.885
1.29154	316.959
1.309	302.02
1.32645	281
1.3439	255.79
1.36136	228.957
1.37881	203.359
1.39626	181.71
1.41372	166.181
1.43117	158.088
1.44862	157.71
1.46608	164.267
1.48353	176.048
1.50098	190.669
1.51844	205.409
1.53589	217.594
1.55334	224.949
1.5708	225.897
1.58825	219.75
1.6057	206.783
1.62316	188.177
1.64061	165.856
1.65806	142.225
1.67552	119.859
1.69297	101.17
1.71042	88.1055
1.72788	81.9016
1.74533	82.9314
1.76278	90.659
1.78024	103.708
1.79769	120.037
1.81514	137.192
1.8326	152.623
1.85005	164.001
1.8675	169.519
1.88496	168.126
1.90241	159.665
1.91986	144.898
1.93732	125.42
1.95477	103.457
1.97222	81.5848
1.98968	62.4011
2.00713	48.1884
2.02458	40.6147
2.04204	40.5105
2.05949	47.7508
2.07694	61.2602
2.0944	79.1418
2.11185	98.914
2.1293	117.827
2.14675	133.221
2.16421	142.873
2.18166	145.299
2.19911	139.956
2.21657	127.335
2.23402	108.909
2.25147	86.9568
2.26893	64.2806
2.28638	43.8422
2.30383	28.3752
2.32129	20.0179
2.33874	20.0154
2.35619	28.5329
2.37365	44.6065
2.3911	66.2417
2.40855	90.6502
2.42601	114.6
2.44346	134.831
2.46091	148.494
2.47837	153.541
2.49582	149.036
2.51327	135.314
2.53073	113.994
2.54818	87.8157
2.56563	60.3224
2.58309	35.4261
2.60054	16.9045
2.61799	7.89216
2.63545	10.4305
2.6529	25.1382
2.67035	51.0498
2.68781	85.6506
2.70526	125.115
2.72271	164.73
2.74017	199.456
2.75762	224.574
2.77507	236.331
2.79253	232.517
2.80998	212.891
2.82743	179.403
2.84489	136.164
2.86234	89.1728
2.87979	45.7854
2.89725	14.0061
2.9147	1.64789
2.93215	15.4577
2.94961	60.2998
2.96706	138.489
2.98451	249.35
3.00197	389.064
3.01942	550.83
3.03687	725.321
3.05433	901.43
3.07178	1067.2
3.08923	1210.87
3.10669	1321.93
3.12414	1392.12
3.14159	1416.12
