r	V(r)
0	-44.4518
0.1	-44.4514
0.2	-44.4509
0.3	-44.4504
0.4	-44.4498
0.5	-44.4491
0.6	-44.4484
0.7	-44.4475
0.8	-44.4464
0.9	-44.4453
1	-44.4439
1.1	-44.4424
1.2	-44.4407
1.3	-44.4387
1.4	-44.4364
1.5	-44.4338
1.6	-44.4309
1.7	-44.4275
1.8	-44.4236
1.9	-44.4192
2	-44.4142
2.1	-44.4084
2.2	-44.4018
2.3	-44.3943
2.4	-44.3857
2.5	-44.3759
2.6	-44.3647
2.7	-44.3519
2.8	-44.3372
2.9	-44.3206
3	-44.3015
3.1	-44.2797
3.2	-44.2549
3.3	-44.2266
3.4	-44.1942
3.5	-44.1574
3.6	-44.1153
3.7	-44.0673
3.8	-44.0126
3.9	-43.9503
4	-43.8793
4.1	-43.7984
4.2	-43.7064
4.3	-43.6017
4.4	-43.4827
4.5	-43.3476
4.6	-43.1942
4.7	-43.0202
4.8	-42.8231
4.9	-42.6001
5	-42.3481
5.1	-42.0638
5.2	-41.7436
5.3	-41.3837
5.4	-40.9799
5.5	-40.528
5.6	-40.0238
5.7	-39.4628
5.8	-38.8407
5.9	-38.1535
6	-37.3975
6.1	-36.5694
6.2	-35.6671
6.3	-34.689
6.4	-33.6352
6.5	-32.5067
6.6	-31.3066
6.7	-30.0394
6.8	-28.7115
6.9	-27.331
7	-25.9076
7.1	-24.4525
7.2	-22.9779
7.3	-21.4966
7.4	-20.0218
7.5	-18.5664
7.6	-17.1425
7.7	-15.7613
7.8	-14.4326
7.9	-13.1646
8	-11.9635
8.1	-10.8341
8.2	-9.77921
8.3	-8.80015
8.4	-7.89679
8.5	-7.06778
8.6	-6.31078
8.7	-5.62266
8.8	-4.99974
8.9	-4.43794
9	-3.93298
9.1	-3.48048
9.2	-3.07608
9.3	-2.71556
9.4	-2.39485
9.5	-2.1101
9.6	-1.85771
9.7	-1.63434
9.8	-1.43693
9.9	-1.26265
10	-1.10897
10.1	-0.973575
10.2	-0.854382
10.3	-0.749531
10.4	-0.657353
10.5	-0.576362
10.6	-0.505234
10.7	-0.442795
10.8	-0.388005
10.9	-0.339942
11	-0.297793
11.1	-0.260838
11.2	-0.228446
11.3	-0.200058
11.4	-0.175184
11.5	-0.153392
11.6	-0.134302
11.7	-0.117582
11.8	-0.102939
11.9	-0.0901152
12	-0.0788864
12.1	-0.0690546
12.2	-0.0604464
12.3	-0.0529101
12.4	-0.0463124
12.5	-0.0405366
12.6	-0.0354806
12.7	-0.0310548
12.8	-0.0271807
12.9	-0.0237896
13	-0.0208214
13.1	-0.0182234
13.2	-0.0159495
13.3	-0.0139592
13.4	-0.0122172
13.5	-0.0106925
13.6	-0.00935809
13.7	-0.00819017
13.8	-0.00716798
13.9	-0.00627335
14	-0.00549037
14.1	-0.0048051
14.2	-0.00420535
14.3	-0.00368045
14.4	-0.00322107
14.5	-0.00281902
14.6	-0.00246715
14.7	-0.0021592
14.8	-0.00188968
14.9	-0.00165381
15	-0.00144738
15.1	-0.00126671
15.2	-0.0011086
15.3	-0.000970216
15.4	-0.000849109
15.5	-0.00074312
15.6	-0.00065036
15.7	-0.000569179
15.8	-0.000498131
15.9	-0.000435951
16	-0.000381533
16.1	-0.000333908
16.2	-0.000292228
16.3	-0.00025575
16.4	-0.000223826
16.5	-0.000195887
16.6	-0.000171435
16.7	-0.000150035
16.8	-0.000131307
16.9	-0.000114916
17	-0.000100572
17.1	-8.80177e-05
17.2	-7.70308e-05
17.3	-6.74153e-05
17.4	-5.90001e-05
17.5	-5.16353e-05
17.6	-4.51899e-05
17.7	-3.9549e-05
17.8	-3.46122e-05
17.9	-3.02917e-05
18	-2.65105e-05
18.1	-2.32013e-05
18.2	-2.03051e-05
18.3	-1.77705e-05
18.4	-1.55523e-05
18.5	-1.36109e-05
18.6	-1.19119e-05
18.7	-1.0425e-05
18.8	-9.12368e-06
18.9	-7.9848e-06
19	-6.98809e-06
19.1	-6.11579e-06
19.2	-5.35237e-06
19.3	-4.68426e-06
19.4	-4.09954e-06
19.5	-3.5878e-06
19.6	-3.13995e-06
19.7	-2.748e-06
19.8	-2.40498e-06
19.9	-2.10477e-06
