theta	dsigma
0	13315.5
0.0174533	13248.1
0.0349066	13047.4
0.0523599	12718.2
0.0698132	12268.5
0.0872665	11709
0.10472	11052.7
0.122173	10315
0.139626	9512.47
0.15708	8663.11
0.174533	7785.3
0.191986	6897.5
0.20944	6017.65
0.226893	5162.66
0.244346	4347.96
0.261799	3587.01
0.279253	2890.96
0.296706	2268.33
0.314159	1724.76
0.331613	1263.01
0.349066	882.88
0.366519	581.459
0.383972	353.378
0.401426	191.238
0.418879	86.1295
0.436332	28.2155
0.453786	7.34798
0.471239	13.6694
0.488692	38.1562
0.506145	73.0648
0.523599	112.248
0.541052	151.323
0.558505	187.678
0.575959	220.336
0.593412	249.687
0.610865	277.13
0.628319	304.649
0.645772	334.393
0.663225	368.275
0.680678	407.644
0.698132	453.051
0.715585	504.128
0.733038	559.584
0.750492	617.312
0.767945	674.583
0.785398	728.31
0.802851	775.345
0.820305	812.781
0.837758	838.222
0.855211	850.006
0.872665	847.354
0.890118	830.438
0.907571	800.362
0.925025	759.07
0.942478	709.182
0.959931	653.784
0.977384	596.189
0.994838	539.693
1.01229	487.338
1.02974	441.71
1.0472	404.787
1.06465	377.828
1.0821	361.331
1.09956	355.047
1.11701	358.042
1.13446	368.803
1.15192	385.387
1.16937	405.577
1.18682	427.052
1.20428	447.551
1.22173	465.025
1.23918	477.75
1.25664	484.43
1.27409	484.241
1.29154	476.859
1.309	462.443
1.32645	441.588
1.3439	415.254
1.36136	384.681
1.37881	351.289
1.39626	316.572
1.41372	282.003
1.43117	248.944
1.44862	218.573
1.46608	191.827
1.48353	169.365
1.50098	151.556
1.51844	138.481
1.53589	129.95
1.55334	125.544
1.5708	124.652
1.58825	126.527
1.6057	130.339
1.62316	135.224
1.64061	140.341
1.65806	144.906
1.67552	148.239
1.69297	149.786
1.71042	149.142
1.72788	146.067
1.74533	140.493
1.76278	132.523
1.78024	122.431
1.79769	110.646
1.81514	97.7446
1.8326	84.4284
1.85005	71.4989
1.8675	59.8275
1.88496	50.3192
1.90241	43.8698
1.91986	41.3188
1.93732	43.3969
1.95477	50.6734
1.97222	63.5027
1.98968	81.9763
2.00713	105.882
2.02458	134.678
2.04204	167.48
2.05949	203.071
2.07694	239.934
2.0944	276.31
2.11185	310.278
2.1293	339.856
2.14675	363.124
2.16421	378.355
2.18166	384.151
2.19911	379.573
2.21657	364.254
2.23402	338.493
2.25147	303.302
2.26893	260.424
2.28638	212.293
2.30383	161.946
2.32129	112.886
2.33874	68.8986
2.35619	33.8277
2.37365	11.3305
2.3911	4.61683
2.40855	16.1958
2.42601	47.6454
2.44346	99.4233
2.46091	170.736
2.47837	259.478
2.49582	362.258
2.51327	474.508
2.53073	590.682
2.54818	704.539
2.56563	809.492
2.58309	899.011
2.60054	967.062
2.61799	1008.54
2.63545	1019.69
2.6529	998.472
2.67035	944.837
2.68781	860.924
2.70526	751.115
2.72271	621.97
2.74017	482.02
2.75762	341.425
2.77507	211.517
2.79253	104.238
2.80998	31.5058
2.82743	4.54209
2.84489	33.1978
2.86234	125.315
2.87979	286.168
2.89725	518.009
2.9147	819.766
2.93215	1186.9
2.94961	1611.44
2.96706	2082.22
2.98451	2585.25
3.00197	3104.32
3.01942	3621.66
3.03687	4118.76
3.05433	4577.22
3.07178	4979.64
3.08923	5310.44
3.10669	5556.59
3.12414	5708.34
3.14159	5759.61
