lp	sigma
1	3.83934
2	5.93128
3	6.17274
4	7.9047
5	24.6085
6	89.5609
7	258.743
8	625.45
9	1298.88
10	2301.83
11	3484.16
12	4105.44
13	4185.26
14	4185.79
15	4193.29
16	4210.88
17	4235.21
18	4262.63
19	4290.03
20	4317.89
21	4346.48
22	4373.04
23	4396.17
24	4417.97
25	4440.03
26	4460.23
27	4474.86
28	4482.89
29	4486.21
30	4487.26
31	4487.52
32	4487.57
33	4487.58
34	4487.58
35	4487.58
36	4487.58
37	4487.58
38	4487.58
39	4487.58
40	4487.58
41	4487.58
42	4487.58
