1,0,1.26208

1.02,0.0251895,1.25679

1.04,0.0502685,1.25103

1.06,0.0752276,1.2448

1.08,0.100058,1.23812

1.1,0.12475,1.231

1.12,0.149295,1.22344

1.14,0.173684,1.21546

1.16,0.19791,1.20707

1.18,0.221964,1.19827

1.2,0.245838,1.18908

1.22,0.269525,1.1795

1.24,0.293016,1.16955

1.26,0.316304,1.15923

1.28,0.339383,1.14855

1.3,0.362244,1.13753

1.32,0.384881,1.12616

1.34,0.407288,1.11446

1.36,0.429458,1.10243

1.38,0.451383,1.09009

1.4,0.473059,1.07744

1.42,0.494479,1.06448

1.44,0.515636,1.05123

1.46,0.536526,1.03768

1.48,0.557142,1.02386

1.5,0.577478,1.00975

1.52,0.59753,0.995374

1.54,0.617292,0.980732

1.56,0.636758,0.965828

1.58,0.655923,0.950669

1.6,0.674783,0.93526

1.62,0.693332,0.919604

1.64,0.711565,0.903708

1.66,0.729478,0.887574

1.68,0.747067,0.871208

1.7,0.764325,0.854613

1.72,0.78125,0.837793

1.74,0.797835,0.820752

1.76,0.814078,0.803494

1.78,0.829974,0.786022

1.8,0.845518,0.76834

1.82,0.860706,0.75045

1.84,0.875534,0.732357

1.86,0.889999,0.714062

1.88,0.904096,0.69557

1.9,0.91782,0.676883

1.92,0.93117,0.658005

1.94,0.944139,0.638938

1.96,0.956726,0.619685

1.98,0.968926,0.60025

2,0.980735,0.580636

