lp	sigma
1	30.1866
2	30.4119
3	215.683
4	1019.42
5	1823.5
6	1834.42
7	1838.73
8	1851.77
9	1868.19
10	1886.18
11	1905.33
12	1923.25
13	1939.58
14	1956.16
15	1972.05
16	1983.44
17	1989.04
18	1990.91
19	1991.34
20	1991.42
21	1991.42
22	1991.43
23	1991.43
24	1991.43
25	1991.43
26	1991.43
27	1991.43
28	1991.43
29	1991.43
