r	V(r)
0	-40.1067
0.1	-40.0793
0.2	-40.048
0.3	-40.0123
0.4	-39.9716
0.5	-39.9252
0.6	-39.8723
0.7	-39.8121
0.8	-39.7435
0.9	-39.6653
1	-39.5764
1.1	-39.4753
1.2	-39.3605
1.3	-39.23
1.4	-39.082
1.5	-38.9143
1.6	-38.7243
1.7	-38.5096
1.8	-38.2671
1.9	-37.9937
2	-37.6861
2.1	-37.3407
2.2	-36.9536
2.3	-36.5211
2.4	-36.0391
2.5	-35.5037
2.6	-34.9111
2.7	-34.2577
2.8	-33.5404
2.9	-32.7568
3	-31.905
3.1	-30.9844
3.2	-29.9954
3.3	-28.94
3.4	-27.8214
3.5	-26.6447
3.6	-25.4163
3.7	-24.1445
3.8	-22.8386
3.9	-21.5093
4	-20.1681
4.1	-18.8266
4.2	-17.4969
4.3	-16.1902
4.4	-14.9173
4.5	-13.6877
4.6	-12.5095
4.7	-11.3893
4.8	-10.3321
4.9	-9.3413
5	-8.41885
5.1	-7.56523
5.2	-6.77976
5.3	-6.06074
5.4	-5.40567
5.5	-4.81146
5.6	-4.27457
5.7	-3.79119
5.8	-3.35737
5.9	-2.96916
6	-2.62265
6.1	-2.31407
6.2	-2.03983
6.3	-1.79656
6.4	-1.5811
6.5	-1.39054
6.6	-1.22223
6.7	-1.07373
6.8	-0.942835
6.9	-0.827561
7	-0.726121
7.1	-0.636914
7.2	-0.558512
7.3	-0.489642
7.4	-0.429172
7.5	-0.3761
7.6	-0.329537
7.7	-0.288696
7.8	-0.252886
7.9	-0.221492
8	-0.193977
8.1	-0.169866
8.2	-0.14874
8.3	-0.130233
8.4	-0.114023
8.5	-0.099825
8.6	-0.0873912
8.7	-0.0765031
8.8	-0.0669694
8.9	-0.058622
9	-0.0513137
9.1	-0.0449155
9.2	-0.0393143
9.3	-0.034411
9.4	-0.0301188
9.5	-0.0263617
9.6	-0.0230729
9.7	-0.0201942
9.8	-0.0176746
9.9	-0.0154692
10	-0.0135388
10.1	-0.0118493
10.2	-0.0103706
10.3	-0.00907636
10.4	-0.00794361
10.5	-0.00695221
10.6	-0.00608452
10.7	-0.00532511
10.8	-0.00466047
10.9	-0.00407878
11	-0.00356968
11.1	-0.00312412
11.2	-0.00273418
11.3	-0.0023929
11.4	-0.00209422
11.5	-0.00183281
11.6	-0.00160404
11.7	-0.00140382
11.8	-0.00122859
11.9	-0.00107523
12	-0.000941019
12.1	-0.000823557
12.2	-0.000720757
12.3	-0.000630789
12.4	-0.000552051
12.5	-0.000483141
12.6	-0.000422833
12.7	-0.000370052
12.8	-0.00032386
12.9	-0.000283434
13	-0.000248054
13.1	-0.000217091
13.2	-0.000189992
13.3	-0.000166276
13.4	-0.00014552
13.5	-0.000127356
13.6	-0.000111458
13.7	-9.75454e-05
13.8	-8.53692e-05
13.9	-7.47128e-05
14	-6.53867e-05
14.1	-5.72247e-05
14.2	-5.00815e-05
14.3	-4.383e-05
14.4	-3.83589e-05
14.5	-3.35707e-05
14.6	-2.93802e-05
14.7	-2.57127e-05
14.8	-2.25031e-05
14.9	-1.96941e-05
15	-1.72358e-05
15.1	-1.50843e-05
15.2	-1.32014e-05
15.3	-1.15535e-05
15.4	-1.01113e-05
15.5	-8.84914e-06
15.6	-7.74453e-06
15.7	-6.77781e-06
15.8	-5.93176e-06
15.9	-5.19131e-06
16	-4.5433e-06
16.1	-3.97617e-06
16.2	-3.47984e-06
16.3	-3.04546e-06
16.4	-2.66531e-06
16.5	-2.33261e-06
16.6	-2.04144e-06
16.7	-1.78661e-06
16.8	-1.56359e-06
16.9	-1.36842e-06
17	-1.1976e-06
17.1	-1.04811e-06
17.2	-9.17276e-07
17.3	-8.02776e-07
17.4	-7.02568e-07
17.5	-6.14869e-07
17.6	-5.38117e-07
17.7	-4.70945e-07
17.8	-4.12159e-07
17.9	-3.6071e-07
18	-3.15684e-07
18.1	-2.76278e-07
18.2	-2.41791e-07
18.3	-2.11609e-07
18.4	-1.85195e-07
18.5	-1.62078e-07
18.6	-1.41846e-07
18.7	-1.2414e-07
18.8	-1.08644e-07
18.9	-9.50822e-08
19	-8.32134e-08
19.1	-7.28262e-08
19.2	-6.37355e-08
19.3	-5.57796e-08
19.4	-4.88169e-08
19.5	-4.27232e-08
19.6	-3.73902e-08
19.7	-3.27229e-08
19.8	-2.86382e-08
19.9	-2.50634e-08
