E	sigma
3.67	4249.75
3.68	4249.56
3.69	4249.29
3.7	4248.93
3.71	4248.49
3.72	4247.97
3.73	4247.36
3.74	4246.68
3.75	4245.91
3.76	4245.07
3.77	4244.15
3.78	4243.15
3.79	4242.08
3.8	4240.93
3.81	4239.71
3.82	4238.42
3.83	4237.06
3.84	4235.63
3.85	4234.12
3.86	4232.55
3.87	4230.91
3.88	4229.2
3.89	4227.43
3.9	4225.59
3.91	4223.69
3.92	4221.73
3.93	4219.7
3.94	4217.61
3.95	4215.46
3.96	4213.25
3.97	4210.98
3.98	4208.66
3.99	4206.27
4	4203.83
4.01	4201.34
4.02	4198.79
4.03	4196.18
4.04	4193.53
4.05	4190.82
4.06	4188.06
4.07	4185.24
4.08	4182.38
4.09	4179.47
4.1	4176.51
4.11	4173.5
4.12	4170.45
4.13	4167.35
4.14	4164.2
4.15	4161.01
4.16	4157.77
4.17	4154.49
4.18	4151.17
4.19	4147.8
4.2	4144.4
4.21	4140.95
4.22	4137.46
4.23	4133.94
4.24	4130.37
4.25	4126.77
4.26	4123.12
4.27	4119.45
4.28	4115.73
4.29	4111.98
4.3	4108.19
4.31	4104.37
4.32	4100.52
4.33	4096.63
4.34	4092.71
4.35	4088.76
4.36	4084.78
4.37	4080.76
4.38	4076.71
4.39	4072.64
4.4	4068.53
4.41	4064.4
4.42	4060.24
4.43	4056.05
4.44	4051.83
4.45	4047.58
4.46	4043.31
4.47	4039.02
4.48	4034.7
4.49	4030.35
4.5	4025.98
4.51	4021.58
4.52	4017.17
4.53	4012.73
4.54	4008.26
4.55	4003.78
4.56	3999.27
4.57	3994.74
4.58	3990.2
4.59	3985.63
4.6	3981.04
4.61	3976.43
4.62	3971.81
4.63	3967.16
4.64	3962.5
4.65	3957.82
4.66	3953.13
4.67	3948.41
4.68	3943.68
4.69	3938.94
4.7	3934.18
4.71	3929.4
4.72	3924.61
4.73	3919.8
4.74	3914.98
4.75	3910.15
4.76	3905.31
4.77	3900.45
4.78	3895.58
4.79	3890.7
4.8	3885.8
4.81	3880.9
4.82	3875.98
4.83	3871.05
4.84	3866.11
4.85	3861.17
4.86	3856.21
4.87	3851.24
4.88	3846.27
4.89	3841.29
4.9	3836.3
4.91	3831.3
4.92	3826.29
4.93	3821.28
4.94	3816.26
4.95	3811.23
4.96	3806.2
4.97	3801.16
4.98	3796.12
4.99	3791.07
5	3786.02
5.01	3780.96
5.02	3775.9
5.03	3770.83
5.04	3765.76
5.05	3760.69
5.06	3755.61
5.07	3750.53
5.08	3745.45
5.09	3740.37
5.1	3735.29
5.11	3730.2
5.12	3725.12
5.13	3720.03
5.14	3714.95
5.15	3709.86
5.16	3704.77
5.17	3699.69
5.18	3694.6
5.19	3689.52
5.2	3684.44
5.21	3679.35
5.22	3674.28
5.23	3669.2
5.24	3664.13
5.25	3659.06
5.26	3653.99
5.27	3648.93
5.28	3643.87
5.29	3638.81
5.3	3633.76
5.31	3628.72
5.32	3623.68
5.33	3618.64
5.34	3613.61
5.35	3608.59
5.36	3603.57
5.37	3598.57
5.38	3593.56
5.39	3588.57
5.4	3583.58
5.41	3578.6
5.42	3573.63
5.43	3568.67
5.44	3563.72
5.45	3558.77
5.46	3553.84
5.47	3548.91
5.48	3544
5.49	3539.1
5.5	3534.2
5.51	3529.32
5.52	3524.45
5.53	3519.6
5.54	3514.75
5.55	3509.92
5.56	3505.1
5.57	3500.29
5.58	3495.5
5.59	3490.72
5.6	3485.96
5.61	3481.21
5.62	3476.48
5.63	3471.76
5.64	3467.06
5.65	3462.37
5.66	3457.7
5.67	3453.05
5.68	3448.42
5.69	3443.8
5.7	3439.2
5.71	3434.62
5.72	3430.06
5.73	3425.52
5.74	3420.99
5.75	3416.49
5.76	3412.01
5.77	3407.55
5.78	3403.11
5.79	3398.7
5.8	3394.3
5.81	3389.93
5.82	3385.58
5.83	3381.26
5.84	3376.96
5.85	3372.68
5.86	3368.43
5.87	3364.2
5.88	3360
5.89	3355.83
5.9	3351.68
5.91	3347.56
5.92	3343.47
5.93	3339.41
5.94	3335.38
5.95	3331.37
5.96	3327.4
5.97	3323.45
5.98	3319.54
5.99	3315.66
6	3311.81
6.01	3307.99
6.02	3304.21
6.03	3300.46
6.04	3296.74
6.05	3293.06
6.06	3289.42
6.07	3285.81
6.08	3282.24
6.09	3278.7
6.1	3275.21
6.11	3271.75
6.12	3268.33
6.13	3264.95
6.14	3261.61
6.15	3258.32
6.16	3255.06
6.17	3251.85
6.18	3248.68
6.19	3245.55
6.2	3242.47
6.21	3239.44
6.22	3236.45
6.23	3233.51
6.24	3230.61
6.25	3227.77
6.26	3224.97
6.27	3222.22
6.28	3219.53
6.29	3216.88
6.3	3214.29
6.31	3211.75
6.32	3209.27
6.33	3206.84
6.34	3204.46
6.35	3202.14
6.36	3199.88
6.37	3197.68
6.38	3195.54
6.39	3193.46
6.4	3191.44
6.41	3189.48
6.42	3187.58
6.43	3185.75
6.44	3183.98
6.45	3182.28
6.46	3180.65
6.47	3179.08
6.48	3177.58
6.49	3176.15
6.5	3174.8
6.51	3173.51
6.52	3172.3
6.53	3171.17
6.54	3170.1
6.55	3169.12
6.56	3168.21
6.57	3167.38
6.58	3166.63
6.59	3165.97
6.6	3165.38
6.61	3164.88
6.62	3164.46
6.63	3164.13
6.64	3163.89
6.65	3163.73
6.66	3163.66
6.67	3163.69
6.68	3163.8
6.69	3164.01
6.7	3164.32
6.71	3164.72
6.72	3165.22
6.73	3165.81
6.74	3166.51
6.75	3167.31
6.76	3168.21
6.77	3169.21
6.78	3170.32
6.79	3171.54
6.8	3172.86
6.81	3174.3
6.82	3175.84
6.83	3177.5
6.84	3179.27
6.85	3181.16
6.86	3183.16
6.87	3185.28
6.88	3187.52
6.89	3189.89
6.9	3192.37
6.91	3194.98
6.92	3197.71
6.93	3200.57
6.94	3203.56
6.95	3206.68
6.96	3209.93
6.97	3213.31
6.98	3216.82
6.99	3220.47
7	3224.26
7.01	3228.19
7.02	3232.25
7.03	3236.46
7.04	3240.81
7.05	3245.3
7.06	3249.93
7.07	3254.72
7.08	3259.65
7.09	3264.73
7.1	3269.95
7.11	3275.34
7.12	3280.87
7.13	3286.55
7.14	3292.4
7.15	3298.39
7.16	3304.55
7.17	3310.86
7.18	3317.33
7.19	3323.96
7.2	3330.75
7.21	3337.7
7.22	3344.82
7.23	3352.09
7.24	3359.54
7.25	3367.14
7.26	3374.91
7.27	3382.85
7.28	3390.95
7.29	3399.22
7.3	3407.66
7.31	3416.26
7.32	3425.03
7.33	3433.97
7.34	3443.07
7.35	3452.34
7.36	3461.78
7.37	3471.38
7.38	3481.15
7.39	3491.09
7.4	3501.19
7.41	3511.46
7.42	3521.88
7.43	3532.47
7.44	3543.23
7.45	3554.14
7.46	3565.21
7.47	3576.44
7.48	3587.83
7.49	3599.37
7.5	3611.06
7.51	3622.9
7.52	3634.89
7.53	3647.03
7.54	3659.31
7.55	3671.74
7.56	3684.3
7.57	3697
7.58	3709.83
7.59	3722.79
7.6	3735.88
7.61	3749.09
7.62	3762.42
7.63	3775.87
7.64	3789.43
7.65	3803.09
7.66	3816.86
7.67	3830.73
7.68	3844.7
7.69	3858.75
7.7	3872.89
7.71	3887.11
7.72	3901.4
7.73	3915.77
7.74	3930.19
7.75	3944.68
7.76	3959.22
7.77	3973.8
7.78	3988.43
7.79	4003.09
7.8	4017.78
7.81	4032.48
7.82	4047.21
7.83	4061.94
7.84	4076.67
7.85	4091.4
7.86	4106.12
7.87	4120.81
7.88	4135.48
7.89	4150.11
7.9	4164.71
7.91	4179.25
7.92	4193.73
7.93	4208.16
7.94	4222.51
7.95	4236.78
7.96	4250.97
7.97	4265.06
7.98	4279.04
7.99	4292.92
8	4306.68
8.01	4320.32
8.02	4333.82
8.03	4347.19
8.04	4360.41
8.05	4373.47
8.06	4386.37
8.07	4399.1
8.08	4411.65
8.09	4424.02
8.1	4436.2
8.11	4448.19
8.12	4459.97
8.13	4471.54
8.14	4482.89
8.15	4494.02
8.16	4504.93
8.17	4515.6
8.18	4526.02
8.19	4536.21
8.2	4546.14
8.21	4555.82
8.22	4565.23
8.23	4574.38
8.24	4583.26
8.25	4591.87
8.26	4600.2
8.27	4608.25
8.28	4616.01
8.29	4623.49
8.3	4630.67
8.31	4637.56
8.32	4644.15
8.33	4650.45
8.34	4656.44
8.35	4662.13
8.36	4667.52
8.37	4672.6
8.38	4677.38
8.39	4681.85
8.4	4686.01
8.41	4689.86
8.42	4693.41
8.43	4696.65
8.44	4699.58
8.45	4702.2
8.46	4704.52
8.47	4706.53
8.48	4708.24
8.49	4709.65
8.5	4710.75
8.51	4711.56
8.52	4712.07
8.53	4712.29
8.54	4712.22
8.55	4711.85
8.56	4711.2
8.57	4710.27
8.58	4709.05
8.59	4707.56
8.6	4705.79
8.61	4703.76
8.62	4701.45
8.63	4698.88
8.64	4696.05
8.65	4692.97
8.66	4689.63
8.67	4686.05
8.68	4682.22
8.69	4678.15
8.7	4673.85
8.71	4669.32
8.72	4664.56
8.73	4659.57
8.74	4654.37
8.75	4648.96
8.76	4643.34
8.77	4637.51
8.78	4631.48
8.79	4625.26
8.8	4618.85
8.81	4612.25
8.82	4605.47
8.83	4598.52
8.84	4591.39
8.85	4584.1
8.86	4576.64
8.87	4569.02
8.88	4561.25
8.89	4553.34
8.9	4545.27
8.91	4537.07
8.92	4528.73
8.93	4520.25
8.94	4511.65
8.95	4502.93
8.96	4494.08
8.97	4485.13
8.98	4476.06
8.99	4466.88
9	4457.6
9.01	4448.22
9.02	4438.75
9.03	4429.18
9.04	4419.53
9.05	4409.79
9.06	4399.98
9.07	4390.08
9.08	4380.11
9.09	4370.08
9.1	4359.97
9.11	4349.8
9.12	4339.57
9.13	4329.29
9.14	4318.95
9.15	4308.56
9.16	4298.12
9.17	4287.64
9.18	4277.11
9.19	4266.55
9.2	4255.95
9.21	4245.31
9.22	4234.64
9.23	4223.95
9.24	4213.22
9.25	4202.48
9.26	4191.71
9.27	4180.92
9.28	4170.11
9.29	4159.29
9.3	4148.45
9.31	4137.61
9.32	4126.75
9.33	4115.89
9.34	4105.02
9.35	4094.15
9.36	4083.27
9.37	4072.4
9.38	4061.53
9.39	4050.66
9.4	4039.79
9.41	4028.93
9.42	4018.08
9.43	4007.24
9.44	3996.41
9.45	3985.59
9.46	3974.78
9.47	3963.99
9.48	3953.21
9.49	3942.45
9.5	3931.7
9.51	3920.98
9.52	3910.27
9.53	3899.59
9.54	3888.92
9.55	3878.28
9.56	3867.67
9.57	3857.07
9.58	3846.51
9.59	3835.97
9.6	3825.45
9.61	3814.96
9.62	3804.5
9.63	3794.07
9.64	3783.67
9.65	3773.3
9.66	3762.96
9.67	3752.66
9.68	3742.38
9.69	3732.13
9.7	3721.92
9.71	3711.74
9.72	3701.6
9.73	3691.49
9.74	3681.41
9.75	3671.37
9.76	3661.37
9.77	3651.39
9.78	3641.46
9.79	3631.56
9.8	3621.7
9.81	3611.88
9.82	3602.09
9.83	3592.34
9.84	3582.62
9.85	3572.95
9.86	3563.31
9.87	3553.71
9.88	3544.15
9.89	3534.63
9.9	3525.14
9.91	3515.7
9.92	3506.29
9.93	3496.92
9.94	3487.59
9.95	3478.3
9.96	3469.05
9.97	3459.84
9.98	3450.66
9.99	3441.53
10	3432.43
10.01	3423.38
10.02	3414.36
10.03	3405.38
10.04	3396.44
10.05	3387.55
10.06	3378.69
10.07	3369.87
10.08	3361.08
10.09	3352.34
10.1	3343.64
10.11	3334.97
10.12	3326.35
10.13	3317.76
10.14	3309.21
10.15	3300.7
10.16	3292.23
10.17	3283.8
10.18	3275.41
10.19	3267.05
10.2	3258.73
10.21	3250.45
10.22	3242.21
10.23	3234.01
10.24	3225.84
10.25	3217.72
10.26	3209.63
10.27	3201.57
10.28	3193.56
10.29	3185.58
10.3	3177.64
10.31	3169.73
10.32	3161.86
10.33	3154.03
10.34	3146.24
10.35	3138.48
10.36	3130.76
10.37	3123.07
10.38	3115.42
10.39	3107.81
10.4	3100.23
10.41	3092.68
10.42	3085.17
10.43	3077.7
10.44	3070.26
10.45	3062.86
10.46	3055.49
10.47	3048.16
10.48	3040.86
10.49	3033.59
10.5	3026.36
10.51	3019.16
10.52	3011.99
10.53	3004.86
10.54	2997.77
10.55	2990.7
10.56	2983.67
10.57	2976.67
10.58	2969.71
10.59	2962.77
10.6	2955.87
10.61	2949
10.62	2942.17
10.63	2935.36
10.64	2928.59
10.65	2921.84
10.66	2915.13
10.67	2908.46
10.68	2901.81
10.69	2895.19
10.7	2888.6
10.71	2882.05
10.72	2875.52
10.73	2869.03
10.74	2862.56
10.75	2856.12
10.76	2849.72
10.77	2843.34
10.78	2837
10.79	2830.68
10.8	2824.39
10.81	2818.13
10.82	2811.9
10.83	2805.7
10.84	2799.52
10.85	2793.38
10.86	2787.26
10.87	2781.17
10.88	2775.11
10.89	2769.08
10.9	2763.07
10.91	2757.09
10.92	2751.14
10.93	2745.21
10.94	2739.32
10.95	2733.45
10.96	2727.6
10.97	2721.78
10.98	2715.99
10.99	2710.23
11	2704.49
11.01	2698.77
11.02	2693.09
11.03	2687.43
11.04	2681.79
11.05	2676.18
11.06	2670.59
11.07	2665.03
11.08	2659.5
11.09	2653.98
11.1	2648.5
11.11	2643.04
11.12	2637.6
11.13	2632.19
11.14	2626.8
11.15	2621.43
11.16	2616.09
11.17	2610.77
11.18	2605.48
11.19	2600.21
11.2	2594.96
11.21	2589.74
11.22	2584.54
11.23	2579.36
11.24	2574.21
11.25	2569.07
11.26	2563.96
11.27	2558.88
11.28	2553.81
11.29	2548.77
11.3	2543.75
11.31	2538.75
11.32	2533.77
11.33	2528.82
11.34	2523.89
11.35	2518.98
11.36	2514.09
11.37	2509.22
11.38	2504.37
11.39	2499.54
11.4	2494.74
11.41	2489.95
11.42	2485.19
11.43	2480.45
11.44	2475.72
11.45	2471.02
11.46	2466.34
11.47	2461.68
11.48	2457.04
11.49	2452.42
11.5	2447.81
11.51	2443.23
11.52	2438.67
11.53	2434.13
11.54	2429.61
11.55	2425.1
11.56	2420.62
11.57	2416.16
11.58	2411.71
11.59	2407.28
11.6	2402.88
11.61	2398.49
11.62	2394.12
11.63	2389.77
11.64	2385.43
11.65	2381.12
11.66	2376.82
11.67	2372.55
11.68	2368.29
11.69	2364.05
11.7	2359.82
11.71	2355.62
11.72	2351.43
11.73	2347.26
11.74	2343.11
11.75	2338.98
11.76	2334.86
11.77	2330.76
11.78	2326.68
11.79	2322.62
11.8	2318.57
11.81	2314.54
11.82	2310.53
11.83	2306.53
11.84	2302.56
11.85	2298.59
11.86	2294.65
11.87	2290.72
11.88	2286.81
11.89	2282.91
11.9	2279.03
11.91	2275.17
11.92	2271.33
11.93	2267.5
11.94	2263.68
11.95	2259.89
11.96	2256.1
11.97	2252.34
11.98	2248.59
11.99	2244.86
12	2241.14
12.01	2237.44
12.02	2233.75
12.03	2230.08
12.04	2226.42
12.05	2222.78
12.06	2219.16
12.07	2215.55
12.08	2211.95
12.09	2208.37
12.1	2204.81
12.11	2201.26
12.12	2197.73
12.13	2194.21
12.14	2190.7
12.15	2187.22
12.16	2183.74
12.17	2180.28
12.18	2176.84
12.19	2173.41
12.2	2169.99
12.21	2166.59
12.22	2163.2
12.23	2159.83
12.24	2156.47
12.25	2153.12
12.26	2149.79
12.27	2146.48
12.28	2143.18
12.29	2139.89
12.3	2136.61
12.31	2133.35
12.32	2130.11
12.33	2126.88
12.34	2123.66
12.35	2120.45
12.36	2117.26
12.37	2114.08
12.38	2110.92
12.39	2107.77
12.4	2104.63
12.41	2101.51
12.42	2098.4
12.43	2095.3
12.44	2092.22
12.45	2089.15
12.46	2086.09
12.47	2083.05
12.48	2080.01
12.49	2077
12.5	2073.99
12.51	2071
12.52	2068.02
12.53	2065.05
12.54	2062.1
12.55	2059.16
12.56	2056.23
12.57	2053.32
12.58	2050.41
12.59	2047.52
12.6	2044.65
12.61	2041.78
12.62	2038.93
12.63	2036.09
12.64	2033.26
12.65	2030.45
12.66	2027.64
12.67	2024.85
12.68	2022.07
12.69	2019.31
12.7	2016.55
12.71	2013.81
12.72	2011.08
12.73	2008.36
12.74	2005.66
12.75	2002.96
12.76	2000.28
12.77	1997.61
12.78	1994.95
12.79	1992.31
12.8	1989.67
12.81	1987.05
12.82	1984.44
12.83	1981.84
12.84	1979.25
12.85	1976.68
12.86	1974.11
12.87	1971.56
12.88	1969.02
12.89	1966.49
12.9	1963.97
12.91	1961.47
12.92	1958.97
12.93	1956.49
12.94	1954.01
12.95	1951.55
12.96	1949.1
12.97	1946.66
12.98	1944.24
12.99	1941.82
13	1939.41
13.01	1937.02
13.02	1934.64
13.03	1932.27
13.04	1929.9
13.05	1927.55
13.06	1925.22
13.07	1922.89
