theta	dsigma
0	4372.94
0.0174533	4351.58
0.0349066	4288.57
0.0523599	4187.04
0.0698132	4051.93
0.0872665	3889.55
0.10472	3707.06
0.122173	3511.93
0.139626	3311.37
0.15708	3111.83
0.174533	2918.61
0.191986	2735.63
0.20944	2565.31
0.226893	2408.59
0.244346	2265.17
0.261799	2133.68
0.279253	2012.1
0.296706	1898.05
0.314159	1789.12
0.331613	1683.15
0.349066	1578.44
0.366519	1473.85
0.383972	1368.86
0.401426	1263.54
0.418879	1158.42
0.436332	1054.42
0.453786	952.705
0.471239	854.492
0.488692	760.993
0.506145	673.285
0.523599	592.254
0.541052	518.556
0.558505	452.609
0.575959	394.602
0.593412	344.518
0.610865	302.16
0.628319	267.184
0.645772	239.125
0.663225	217.421
0.680678	201.431
0.698132	190.452
0.715585	183.732
0.733038	180.488
0.750492	179.92
0.767945	181.231
0.785398	183.646
0.802851	186.438
0.820305	188.946
0.837758	190.6
0.855211	190.932
0.872665	189.593
0.890118	186.359
0.907571	181.127
0.925025	173.916
0.942478	164.849
0.959931	154.143
0.977384	142.088
0.994838	129.028
1.01229	115.345
1.02974	101.433
1.0472	87.6887
1.06465	74.4926
1.0821	62.1986
1.09956	51.1246
1.11701	41.5468
1.13446	33.6949
1.15192	27.7506
1.16937	23.8467
1.18682	22.0678
1.20428	22.4521
1.22173	24.9933
1.23918	29.6428
1.25664	36.313
1.27409	44.8796
1.29154	55.1849
1.309	67.0406
1.32645	80.2309
1.3439	94.5161
1.36136	109.636
1.37881	125.313
1.39626	141.258
1.41372	157.173
1.43117	172.756
1.44862	187.709
1.46608	201.74
1.48353	214.57
1.50098	225.939
1.51844	235.611
1.53589	243.384
1.55334	249.086
1.5708	252.591
1.58825	253.814
1.6057	252.721
1.62316	249.325
1.64061	243.693
1.65806	235.941
1.67552	226.236
1.69297	214.792
1.71042	201.864
1.72788	187.747
1.74533	172.766
1.76278	157.272
1.78024	141.629
1.79769	126.212
1.81514	111.393
1.8326	97.534
1.85005	84.9795
1.8675	74.0455
1.88496	65.0129
1.90241	58.1204
1.91986	53.5582
1.93732	51.463
1.95477	51.9139
1.97222	54.9301
1.98968	60.47
2.00713	68.4308
2.02458	78.651
2.04204	90.9128
2.05949	104.947
2.07694	120.438
2.0944	137.032
2.11185	154.343
2.1293	171.962
2.14675	189.466
2.16421	206.428
2.18166	222.427
2.19911	237.057
2.21657	249.938
2.23402	260.723
2.25147	269.112
2.26893	274.851
2.28638	277.75
2.30383	277.678
2.32129	274.579
2.33874	268.464
2.35619	259.421
2.37365	247.614
2.3911	233.278
2.40855	216.722
2.42601	198.318
2.44346	178.503
2.46091	157.766
2.47837	136.642
2.49582	115.703
2.51327	95.5476
2.53073	76.7879
2.54818	60.0402
2.56563	45.9118
2.58309	34.9892
2.60054	27.8259
2.61799	24.9308
2.63545	26.7573
2.6529	33.6925
2.67035	46.0488
2.68781	64.0551
2.70526	87.8504
2.72271	117.479
2.74017	152.887
2.75762	193.919
2.77507	240.321
2.79253	291.741
2.80998	347.732
2.82743	407.757
2.84489	471.199
2.86234	537.367
2.87979	605.507
2.89725	674.813
2.9147	744.443
2.93215	813.524
2.94961	881.176
2.96706	946.519
2.98451	1008.69
3.00197	1066.86
3.01942	1120.24
3.03687	1168.1
3.05433	1209.78
3.07178	1244.71
3.08923	1272.39
3.10669	1292.45
3.12414	1304.6
3.14159	1308.67
