lp	sigma
1	42.7681
2	155.97
3	481.852
4	1163.72
5	2099.15
6	2314.13
7	2318.82
8	2323.19
9	2336.64
10	2354.86
11	2376
12	2398.37
13	2420.49
14	2443.32
15	2466.31
16	2486.94
17	2505.63
18	2524.5
19	2542.56
20	2556.03
21	2563.25
22	2566.02
23	2566.79
24	2566.95
25	2566.98
26	2566.98
27	2566.98
28	2566.98
29	2566.98
30	2566.98
31	2566.98
32	2566.98
33	2566.98
34	2566.98
