r	V(r)
0	-43.2914
0.1	-43.2618
0.2	-43.228
0.3	-43.1895
0.4	-43.1456
0.5	-43.0955
0.6	-43.0384
0.7	-42.9733
0.8	-42.8993
0.9	-42.8149
1	-42.719
1.1	-42.6099
1.2	-42.4859
1.3	-42.345
1.4	-42.1853
1.5	-42.0042
1.6	-41.7992
1.7	-41.5674
1.8	-41.3057
1.9	-41.0106
2	-40.6786
2.1	-40.3057
2.2	-39.8879
2.3	-39.421
2.4	-38.9008
2.5	-38.3229
2.6	-37.6832
2.7	-36.9779
2.8	-36.2037
2.9	-35.3578
3	-34.4384
3.1	-33.4447
3.2	-32.3772
3.3	-31.238
3.4	-30.0306
3.5	-28.7604
3.6	-27.4345
3.7	-26.0616
3.8	-24.6521
3.9	-23.2173
4	-21.7695
4.1	-20.3215
4.2	-18.8862
4.3	-17.4758
4.4	-16.1018
4.5	-14.7746
4.6	-13.5028
4.7	-12.2936
4.8	-11.1525
4.9	-10.083
5	-9.08734
5.1	-8.16594
5.2	-7.3181
5.3	-6.54199
5.4	-5.83491
5.5	-5.19352
5.6	-4.61399
5.7	-4.09222
5.8	-3.62396
5.9	-3.20492
6	-2.8309
6.1	-2.49782
6.2	-2.2018
6.3	-1.93921
6.4	-1.70664
6.5	-1.50096
6.6	-1.31928
6.7	-1.15899
6.8	-1.0177
6.9	-0.893273
7	-0.783778
7.1	-0.687488
7.2	-0.60286
7.3	-0.528522
7.4	-0.463251
7.5	-0.405964
7.6	-0.355703
7.7	-0.31162
7.8	-0.272966
7.9	-0.23908
8	-0.20938
8.1	-0.183354
8.2	-0.160551
8.3	-0.140575
8.4	-0.123077
8.5	-0.107752
8.6	-0.0943304
8.7	-0.0825778
8.8	-0.072287
8.9	-0.0632768
9	-0.0553882
9.1	-0.048482
9.2	-0.0424361
9.3	-0.0371434
9.4	-0.0325104
9.5	-0.0284549
9.6	-0.024905
9.7	-0.0217977
9.8	-0.019078
9.9	-0.0166975
10	-0.0146139
10.1	-0.0127902
10.2	-0.0111941
10.3	-0.00979706
10.4	-0.00857437
10.5	-0.00750424
10.6	-0.00656766
10.7	-0.00574794
10.8	-0.00503053
10.9	-0.00440265
11	-0.00385313
11.1	-0.00337219
11.2	-0.00295128
11.3	-0.00258291
11.4	-0.00226051
11.5	-0.00197835
11.6	-0.00173141
11.7	-0.00151529
11.8	-0.00132615
11.9	-0.00116061
12	-0.00101574
12.1	-0.000888952
12.2	-0.000777989
12.3	-0.000680876
12.4	-0.000595886
12.5	-0.000521504
12.6	-0.000456407
12.7	-0.000399436
12.8	-0.000349576
12.9	-0.00030594
13	-0.000267751
13.1	-0.000234329
13.2	-0.000205078
13.3	-0.000179479
13.4	-0.000157075
13.5	-0.000137468
13.6	-0.000120309
13.7	-0.000105291
13.8	-9.21478e-05
13.9	-8.06454e-05
14	-7.05787e-05
14.1	-6.17686e-05
14.2	-5.40582e-05
14.3	-4.73103e-05
14.4	-4.14047e-05
14.5	-3.62363e-05
14.6	-3.17131e-05
14.7	-2.77544e-05
14.8	-2.42899e-05
14.9	-2.12579e-05
15	-1.86044e-05
15.1	-1.6282e-05
15.2	-1.42496e-05
15.3	-1.24709e-05
15.4	-1.09142e-05
15.5	-9.5518e-06
15.6	-8.35948e-06
15.7	-7.31599e-06
15.8	-6.40276e-06
15.9	-5.60353e-06
16	-4.90406e-06
16.1	-4.2919e-06
16.2	-3.75616e-06
16.3	-3.28729e-06
16.4	-2.87695e-06
16.5	-2.51783e-06
16.6	-2.20354e-06
16.7	-1.92848e-06
16.8	-1.68775e-06
16.9	-1.47707e-06
17	-1.2927e-06
17.1	-1.13133e-06
17.2	-9.90112e-07
17.3	-8.6652e-07
17.4	-7.58355e-07
17.5	-6.63692e-07
17.6	-5.80846e-07
17.7	-5.08341e-07
17.8	-4.44886e-07
17.9	-3.89352e-07
18	-3.40751e-07
18.1	-2.98216e-07
18.2	-2.60991e-07
18.3	-2.28412e-07
18.4	-1.999e-07
18.5	-1.74947e-07
18.6	-1.53109e-07
18.7	-1.33997e-07
18.8	-1.17271e-07
18.9	-1.02632e-07
19	-8.9821e-08
19.1	-7.86089e-08
19.2	-6.87964e-08
19.3	-6.02088e-08
19.4	-5.26931e-08
19.5	-4.61156e-08
19.6	-4.03592e-08
19.7	-3.53213e-08
19.8	-3.09122e-08
19.9	-2.70536e-08
