theta	dsigma
0	23603.5
0.0174533	22731.5
0.0349066	20330.2
0.0523599	16969.6
0.0698132	13382.1
0.0872665	10228.9
0.10472	7916.85
0.122173	6527.29
0.139626	5867.37
0.15708	5604.58
0.174533	5417.95
0.191986	5104.83
0.20944	4613.25
0.226893	4006.78
0.244346	3395.25
0.261799	2870
0.279253	2469.29
0.296706	2178.9
0.314159	1955.59
0.331613	1755.09
0.349066	1550.43
0.366519	1336.25
0.383972	1122.53
0.401426	925.048
0.418879	757.988
0.436332	630.561
0.453786	546.483
0.471239	504.336
0.488692	497.82
0.506145	516.219
0.523599	545.878
0.541052	572.938
0.558505	586.58
0.575959	581.475
0.593412	558.388
0.610865	522.776
0.628319	482.139
0.645772	443.3
0.663225	410.598
0.680678	385.382
0.698132	366.549
0.715585	351.619
0.733038	337.799
0.750492	322.777
0.767945	305.166
0.785398	284.655
0.802851	261.939
0.820305	238.438
0.837758	215.874
0.855211	195.774
0.872665	179.044
0.890118	165.761
0.907571	155.238
0.925025	146.325
0.942478	137.826
0.959931	128.871
0.977384	119.118
0.994838	108.763
1.01229	98.3793
1.02974	88.6822
1.0472	80.305
1.06465	73.6438
1.0821	68.7927
1.09956	65.5593
1.11701	63.5361
1.13446	62.2019
1.15192	61.0298
1.16937	59.5836
1.18682	57.5875
1.20428	54.9566
1.22173	51.7843
1.23918	48.2921
1.25664	44.7559
1.27409	41.4297
1.29154	38.4868
1.309	35.9909
1.32645	33.9006
1.3439	32.1013
1.36136	30.4487
1.37881	28.8124
1.39626	27.1073
1.41372	25.3064
1.43117	23.4379
1.44862	21.5689
1.46608	19.7843
1.48353	18.1653
1.50098	16.7724
1.51844	15.6358
1.53589	14.7523
1.55334	14.0894
1.5708	13.5924
1.58825	13.1962
1.6057	12.8358
1.62316	12.4568
1.64061	12.0223
1.65806	11.5163
1.67552	10.9434
1.69297	10.3245
1.71042	9.69059
1.72788	9.0752
1.74533	8.50809
1.76278	8.01026
1.78024	7.59145
1.79769	7.25026
1.81514	6.97607
1.8326	6.75238
1.85005	6.56044
1.8675	6.38255
1.88496	6.20452
1.90241	6.01693
1.91986	5.81541
1.93732	5.6
1.95477	5.37393
1.97222	5.14225
1.98968	4.91037
2.00713	4.68301
2.02458	4.46347
2.04204	4.25328
2.05949	4.05226
2.07694	3.85891
2.0944	3.67098
2.11185	3.48605
2.1293	3.3022
2.14675	3.11846
2.16421	2.93515
2.18166	2.75396
2.19911	2.57792
2.21657	2.41106
2.23402	2.25808
2.25147	2.12385
2.26893	2.01293
2.28638	1.92909
2.30383	1.87496
2.32129	1.85171
2.33874	1.8589
2.35619	1.89443
2.37365	1.95459
2.3911	2.03426
2.40855	2.12716
2.42601	2.22621
2.44346	2.32385
2.46091	2.41249
2.47837	2.4849
2.49582	2.53456
2.51327	2.55605
2.53073	2.5453
2.54818	2.49987
2.56563	2.41905
2.58309	2.30396
2.60054	2.1576
2.61799	1.98472
2.63545	1.79169
2.6529	1.58634
2.67035	1.37764
2.68781	1.17545
2.70526	0.99012
2.72271	0.832145
2.74017	0.71178
2.75762	0.638636
2.77507	0.6213
2.79253	0.666968
2.80998	0.781118
2.82743	0.967228
2.84489	1.22656
2.86234	1.55801
2.87979	1.95804
2.89725	2.42071
2.9147	2.93778
2.93215	3.49892
2.94961	4.09201
2.96706	4.70345
2.98451	5.31863
3.00197	5.92237
3.01942	6.49936
3.03687	7.03473
3.05433	7.51445
3.07178	7.92582
3.08923	8.25786
3.10669	8.50164
3.12414	8.6506
3.14159	8.70071
