theta	dsigma
0	29599.4
0.0174533	28066.1
0.0349066	23966.1
0.0523599	18580.1
0.0698132	13425.4
0.0872665	9657.43
0.10472	7698.49
0.122173	7234.34
0.139626	7520.67
0.15708	7800.48
0.174533	7616.71
0.191986	6902.43
0.20944	5868.87
0.226893	4805.86
0.244346	3919.29
0.261799	3271.22
0.279253	2813.45
0.296706	2459.63
0.314159	2142.67
0.331613	1834.45
0.349066	1536.26
0.366519	1261.19
0.383972	1022.81
0.401426	832.17
0.418879	696.95
0.436332	618.697
0.453786	589.13
0.471239	589.768
0.488692	597.078
0.506145	590.931
0.523599	561.535
0.541052	511.117
0.558505	450.18
0.575959	391.265
0.593412	343.72
0.610865	311.432
0.628319	293.273
0.645772	284.916
0.663225	280.745
0.680678	275.412
0.698132	265.011
0.715585	247.909
0.733038	224.984
0.750492	199.068
0.767945	173.705
0.785398	151.748
0.802851	134.433
0.820305	121.287
0.837758	110.762
0.855211	101.164
0.872665	91.3734
0.890118	81.1169
0.907571	70.8248
0.925025	61.2809
0.942478	53.2681
0.959931	47.3183
0.977384	43.58
0.994838	41.7864
1.01229	41.3167
1.02974	41.3474
1.0472	41.0694
1.06465	39.9067
1.0821	37.658
1.09956	34.5055
1.11701	30.8944
1.13446	27.3417
1.15192	24.2578
1.16937	21.8419
1.18682	20.0747
1.20428	18.7837
1.22173	17.7377
1.23918	16.7303
1.25664	15.6294
1.27409	14.3923
1.29154	13.0543
1.309	11.7035
1.32645	10.4492
1.3439	9.39037
1.36136	8.58867
1.37881	8.05156
1.39626	7.73104
1.41372	7.53807
1.43117	7.36882
1.44862	7.13394
1.46608	6.78114
1.48353	6.30441
1.50098	5.73842
1.51844	5.14205
1.53589	4.57796
1.55334	4.09526
1.5708	3.71962
1.58825	3.452
1.6057	3.27383
1.62316	3.15556
1.64061	3.06535
1.65806	2.97577
1.67552	2.86786
1.69297	2.73259
1.71042	2.57036
1.72788	2.38902
1.74533	2.20115
1.76278	2.02079
1.78024	1.8604
1.79769	1.72831
1.81514	1.62736
1.8326	1.55477
1.85005	1.50332
1.8675	1.46333
1.88496	1.42501
1.90241	1.38047
1.91986	1.32505
1.93732	1.25774
1.95477	1.18074
1.97222	1.09848
1.98968	1.01632
2.00713	0.939347
2.02458	0.871446
2.04204	0.814786
2.05949	0.769706
2.07694	0.734952
2.0944	0.70813
2.11185	0.686264
2.1293	0.666338
2.14675	0.645743
2.16421	0.622585
2.18166	0.595834
2.19911	0.565322
2.21657	0.531635
2.23402	0.495918
2.25147	0.45965
2.26893	0.424421
2.28638	0.391732
2.30383	0.362851
2.32129	0.338709
2.33874	0.31985
2.35619	0.306428
2.37365	0.298235
2.3911	0.29475
2.40855	0.295208
2.42601	0.298668
2.44346	0.304094
2.46091	0.310414
2.47837	0.316588
2.49582	0.321656
2.51327	0.324784
2.53073	0.325288
2.54818	0.322663
2.56563	0.316591
2.58309	0.306949
2.60054	0.293805
2.61799	0.277417
2.63545	0.258221
2.6529	0.236816
2.67035	0.213949
2.68781	0.190494
2.70526	0.167428
2.72271	0.145802
2.74017	0.126707
2.75762	0.111233
2.77507	0.100432
2.79253	0.0952654
2.80998	0.0965627
2.82743	0.104974
2.84489	0.120932
2.86234	0.144615
2.87979	0.175927
2.89725	0.214484
2.9147	0.259616
2.93215	0.310381
2.94961	0.365593
2.96706	0.423855
2.98451	0.483613
3.00197	0.543207
3.01942	0.60093
3.03687	0.655088
3.05433	0.704065
3.07178	0.746377
3.08923	0.780728
3.10669	0.806057
3.12414	0.821577
3.14159	0.826805
