lp	sigma
1	136.806
2	351.034
3	731.091
4	1313.78
5	2016.08
6	2420
7	2474.76
8	2474.94
9	2481.63
10	2496.65
11	2517.04
12	2540.43
13	2564.98
14	2591
15	2617.51
16	2643.06
17	2668.83
18	2694.96
19	2718.78
20	2739.73
21	2760.1
22	2780.53
23	2797.89
24	2809.04
25	2814.31
26	2816.16
27	2816.65
28	2816.74
29	2816.76
30	2816.76
31	2816.76
32	2816.76
33	2816.76
34	2816.76
35	2816.76
36	2816.76
37	2816.76
38	2816.76
