r	V(r)
0	-55.7115
0.1	-55.6734
0.2	-55.63
0.3	-55.5804
0.4	-55.5239
0.5	-55.4594
0.6	-55.386
0.7	-55.3023
0.8	-55.2069
0.9	-55.0984
1	-54.9749
1.1	-54.8345
1.2	-54.6749
1.3	-54.4937
1.4	-54.2881
1.5	-54.0551
1.6	-53.7913
1.7	-53.493
1.8	-53.1561
1.9	-52.7764
2	-52.3491
2.1	-51.8693
2.2	-51.3316
2.3	-50.7308
2.4	-50.0613
2.5	-49.3175
2.6	-48.4943
2.7	-47.5867
2.8	-46.5904
2.9	-45.5018
3	-44.3186
3.1	-43.0399
3.2	-41.6661
3.3	-40.2
3.4	-38.6462
3.5	-37.0116
3.6	-35.3053
3.7	-33.5386
3.8	-31.7247
3.9	-29.8782
4	-28.0151
4.1	-26.1517
4.2	-24.3046
4.3	-22.4896
4.4	-20.7214
4.5	-19.0133
4.6	-17.3767
4.7	-15.8206
4.8	-14.3521
4.9	-12.9758
5	-11.6945
5.1	-10.5087
5.2	-9.41764
5.3	-8.41886
5.4	-7.50892
5.5	-6.68352
5.6	-5.93773
5.7	-5.26627
5.8	-4.66366
5.9	-4.1244
6	-3.64307
6.1	-3.21443
6.2	-2.83349
6.3	-2.49557
6.4	-2.19627
6.5	-1.93158
6.6	-1.69778
6.7	-1.4915
6.8	-1.30968
6.9	-1.14955
7	-1.00864
7.1	-0.884726
7.2	-0.775819
7.3	-0.680153
7.4	-0.596155
7.5	-0.522434
7.6	-0.457753
7.7	-0.401023
7.8	-0.351279
7.9	-0.307671
8	-0.26945
8.1	-0.235957
8.2	-0.206612
8.3	-0.180905
8.4	-0.158387
8.5	-0.138665
8.6	-0.121393
8.7	-0.106269
8.8	-0.0930259
8.9	-0.0814307
9	-0.0712789
9.1	-0.0623913
9.2	-0.0546108
9.3	-0.0477998
9.4	-0.0418375
9.5	-0.0366185
9.6	-0.0320502
9.7	-0.0280514
9.8	-0.0245514
9.9	-0.0214879
10	-0.0188066
10.1	-0.0164597
10.2	-0.0144056
10.3	-0.0126078
10.4	-0.0110343
10.5	-0.00965718
10.6	-0.00845189
10.7	-0.00739701
10.8	-0.00647377
10.9	-0.00566576
11	-0.00495858
11.1	-0.00433967
11.2	-0.003798
11.3	-0.00332393
11.4	-0.00290904
11.5	-0.00254593
11.6	-0.00222814
11.7	-0.00195002
11.8	-0.00170661
11.9	-0.00149359
12	-0.00130715
12.1	-0.00114399
12.2	-0.00100119
12.3	-0.000876217
12.4	-0.000766844
12.5	-0.000671122
12.6	-0.000587349
12.7	-0.000514033
12.8	-0.000449868
12.9	-0.000393713
13	-0.000344568
13.1	-0.000301557
13.2	-0.000263915
13.3	-0.000230971
13.4	-0.00020214
13.5	-0.000176907
13.6	-0.000154825
13.7	-0.000135499
13.8	-0.000118585
13.9	-0.000103782
14	-9.08275e-05
14.1	-7.94898e-05
14.2	-6.95674e-05
14.3	-6.08835e-05
14.4	-5.32836e-05
14.5	-4.66324e-05
14.6	-4.08114e-05
14.7	-3.57171e-05
14.8	-3.12586e-05
14.9	-2.73567e-05
15	-2.39419e-05
15.1	-2.09533e-05
15.2	-1.83378e-05
15.3	-1.60487e-05
15.4	-1.40454e-05
15.5	-1.22922e-05
15.6	-1.07578e-05
15.7	-9.41493e-06
15.8	-8.23969e-06
15.9	-7.21116e-06
16	-6.31102e-06
16.1	-5.52323e-06
16.2	-4.83379e-06
16.3	-4.2304e-06
16.4	-3.70233e-06
16.5	-3.24018e-06
16.6	-2.83572e-06
16.7	-2.48175e-06
16.8	-2.17196e-06
16.9	-1.90084e-06
17	-1.66357e-06
17.1	-1.45591e-06
17.2	-1.27417e-06
17.3	-1.11512e-06
17.4	-9.75925e-07
17.5	-8.54103e-07
17.6	-7.47488e-07
17.7	-6.54182e-07
17.8	-5.72522e-07
17.9	-5.01056e-07
18	-4.38511e-07
18.1	-3.83773e-07
18.2	-3.35868e-07
18.3	-2.93943e-07
18.4	-2.57251e-07
18.5	-2.25139e-07
18.6	-1.97036e-07
18.7	-1.7244e-07
18.8	-1.50915e-07
18.9	-1.32077e-07
19	-1.1559e-07
19.1	-1.01162e-07
19.2	-8.85339e-08
19.3	-7.74825e-08
19.4	-6.78106e-08
19.5	-5.9346e-08
19.6	-5.19381e-08
19.7	-4.54548e-08
19.8	-3.97808e-08
19.9	-3.48151e-08
