lp	sigma
1	179.301
2	421.28
3	784.685
4	1264.48
5	1795.47
6	2187.61
7	2306.46
8	2316
9	2317.29
10	2327.36
11	2345.18
12	2367.76
13	2393.05
14	2420.61
15	2448.93
16	2477.61
17	2507.42
18	2536.8
19	2564.86
20	2593.25
21	2621.58
22	2647.01
23	2669.36
24	2691.11
25	2712.87
26	2731.63
27	2744.12
28	2750.39
29	2752.77
30	2753.46
31	2753.61
32	2753.64
33	2753.64
34	2753.64
35	2753.64
36	2753.64
37	2753.64
38	2753.64
39	2753.64
40	2753.64
41	2753.64
42	2753.64
