r	V(r)
0	-46.476
0.1	-46.4442
0.2	-46.408
0.3	-46.3666
0.4	-46.3195
0.5	-46.2657
0.6	-46.2044
0.7	-46.1346
0.8	-46.0551
0.9	-45.9645
1	-45.8615
1.1	-45.7444
1.2	-45.6113
1.3	-45.4601
1.4	-45.2886
1.5	-45.0942
1.6	-44.8741
1.7	-44.6252
1.8	-44.3443
1.9	-44.0275
2	-43.671
2.1	-43.2707
2.2	-42.8222
2.3	-42.321
2.4	-41.7624
2.5	-41.142
2.6	-40.4553
2.7	-39.6981
2.8	-38.8669
2.9	-37.9588
3	-36.9718
3.1	-35.905
3.2	-34.759
3.3	-33.5359
3.4	-32.2397
3.5	-30.8761
3.6	-29.4526
3.7	-27.9788
3.8	-26.4656
3.9	-24.9252
4	-23.3709
4.1	-21.8165
4.2	-20.2755
4.3	-18.7614
4.4	-17.2863
4.5	-15.8614
4.6	-14.4961
4.7	-13.198
4.8	-11.9729
4.9	-10.8248
5	-9.75584
5.1	-8.76666
5.2	-7.85644
5.3	-7.02324
5.4	-6.26414
5.5	-5.57557
5.6	-4.95341
5.7	-4.39326
5.8	-3.89055
5.9	-3.44069
6	-3.03915
6.1	-2.68156
6.2	-2.36378
6.3	-2.08187
6.4	-1.83219
6.5	-1.61138
6.6	-1.41633
6.7	-1.24425
6.8	-1.09257
6.9	-0.958985
7	-0.841435
7.1	-0.738062
7.2	-0.647209
7.3	-0.567401
7.4	-0.497329
7.5	-0.435828
7.6	-0.38187
7.7	-0.334544
7.8	-0.293046
7.9	-0.256667
8	-0.224782
8.1	-0.196842
8.2	-0.172361
8.3	-0.150916
8.4	-0.132131
8.5	-0.115678
8.6	-0.10127
8.7	-0.0886525
8.8	-0.0776047
8.9	-0.0679316
9	-0.0594628
9.1	-0.0520485
9.2	-0.0455578
9.3	-0.0398758
9.4	-0.034902
9.5	-0.0305481
9.6	-0.0267371
9.7	-0.0234013
9.8	-0.0204814
9.9	-0.0179258
10	-0.0156889
10.1	-0.0137311
10.2	-0.0120175
10.3	-0.0105178
10.4	-0.00920513
10.5	-0.00805628
10.6	-0.00705079
10.7	-0.00617078
10.8	-0.00540059
10.9	-0.00472652
11	-0.00413658
11.1	-0.00362026
11.2	-0.00316839
11.3	-0.00277291
11.4	-0.0024268
11.5	-0.00212388
11.6	-0.00185878
11.7	-0.00162676
11.8	-0.0014237
11.9	-0.00124599
12	-0.00109046
12.1	-0.000954346
12.2	-0.00083522
12.3	-0.000730964
12.4	-0.000639721
12.5	-0.000559868
12.6	-0.000489982
12.7	-0.00042882
12.8	-0.000375292
12.9	-0.000328446
13	-0.000287447
13.1	-0.000251567
13.2	-0.000220164
13.3	-0.000192682
13.4	-0.00016863
13.5	-0.000147581
13.6	-0.000129159
13.7	-0.000113036
13.8	-9.89265e-05
13.9	-8.65779e-05
14	-7.57707e-05
14.1	-6.63125e-05
14.2	-5.80349e-05
14.3	-5.07906e-05
14.4	-4.44506e-05
14.5	-3.8902e-05
14.6	-3.4046e-05
14.7	-2.97961e-05
14.8	-2.60768e-05
14.9	-2.28217e-05
15	-1.9973e-05
15.1	-1.74798e-05
15.2	-1.52979e-05
15.3	-1.33883e-05
15.4	-1.17171e-05
15.5	-1.02545e-05
15.6	-8.97443e-06
15.7	-7.85418e-06
15.8	-6.87377e-06
15.9	-6.01574e-06
16	-5.26482e-06
16.1	-4.60763e-06
16.2	-4.03247e-06
16.3	-3.52911e-06
16.4	-3.08858e-06
16.5	-2.70305e-06
16.6	-2.36563e-06
16.7	-2.07034e-06
16.8	-1.81191e-06
16.9	-1.58573e-06
17	-1.38779e-06
17.1	-1.21456e-06
17.2	-1.06295e-06
17.3	-9.30264e-07
17.4	-8.14142e-07
17.5	-7.12515e-07
17.6	-6.23575e-07
17.7	-5.45736e-07
17.8	-4.77613e-07
17.9	-4.17995e-07
18	-3.65818e-07
18.1	-3.20154e-07
18.2	-2.8019e-07
18.3	-2.45215e-07
18.4	-2.14606e-07
18.5	-1.87817e-07
18.6	-1.64372e-07
18.7	-1.43854e-07
18.8	-1.25898e-07
18.9	-1.10182e-07
19	-9.64285e-08
19.1	-8.43916e-08
19.2	-7.38573e-08
19.3	-6.46379e-08
19.4	-5.65694e-08
19.5	-4.9508e-08
19.6	-4.33281e-08
19.7	-3.79196e-08
19.8	-3.31862e-08
19.9	-2.90437e-08
