0.000,0.897,1.539,1.760,1.539,1.000,0.363,-0.142,-0.363,-0.279,0.000
0.000,0.769,1.328,1.539,1.380,0.951,0.429,-0.000,-0.210,-0.182,0.000
0.000,0.432,0.769,0.948,0.951,0.809,0.588,0.361,0.182,0.068,0.000
0.000,0.000,0.052,0.182,0.377,0.588,0.741,0.769,0.639,0.363,0.000
0.000,-0.380,-0.588,-0.519,-0.182,0.309,0.769,1.019,0.951,0.571,0.000
0.000,-0.588,-0.951,-0.951,-0.588,-0.000,0.588,0.951,0.951,0.588,0.000
0.000,-0.571,-0.951,-1.019,-0.769,-0.309,0.182,0.519,0.588,0.380,0.000
0.000,-0.363,-0.639,-0.769,-0.741,-0.588,-0.377,-0.182,-0.052,-0.000,0.000
0.000,-0.068,-0.182,-0.361,-0.588,-0.809,-0.951,-0.948,-0.769,-0.432,0.000
0.000,0.182,0.210,0.000,-0.429,-0.951,-1.380,-1.539,-1.328,-0.769,0.000
0.000,0.279,0.363,0.142,-0.363,-1.000,-1.539,-1.760,-1.539,-0.897,0.000
