theta	dsigma
0	27210.9
0.0174533	26274.8
0.0349066	23688.6
0.0523599	20041.6
0.0698132	16092
0.0872665	12528.3
0.10472	9781.97
0.122173	7955.18
0.139626	6873.97
0.15708	6224.61
0.174533	5704.84
0.191986	5128.27
0.20944	4452.77
0.226893	3741.87
0.244346	3094.5
0.261799	2582.57
0.279253	2221.41
0.296706	1976.07
0.314159	1789.22
0.331613	1611.05
0.349066	1416.74
0.366519	1207.93
0.383972	1002.97
0.401426	824.347
0.418879	689.363
0.436332	606.225
0.453786	574.12
0.471239	585.014
0.488692	625.717
0.506145	680.063
0.523599	731.603
0.541052	766.731
0.558505	777.466
0.575959	762.755
0.593412	727.676
0.610865	680.833
0.628319	631.055
0.645772	584.719
0.663225	544.54
0.680678	509.937
0.698132	478.409
0.715585	447.144
0.733038	414.222
0.750492	379.155
0.767945	342.829
0.785398	307.07
0.802851	274.056
0.820305	245.734
0.837758	223.335
0.855211	207.084
0.872665	196.151
0.890118	188.881
0.907571	183.243
0.925025	177.365
0.942478	169.982
0.959931	160.671
0.977384	149.81
0.994838	138.304
1.01229	127.223
1.02974	117.448
1.0472	109.457
1.06465	103.267
1.0821	98.5194
1.09956	94.6403
1.11701	91.0242
1.13446	87.1819
1.15192	82.8316
1.16937	77.9255
1.18682	72.6202
1.20428	67.2062
1.22173	62.0184
1.23918	57.3462
1.25664	53.3657
1.27409	50.1066
1.29154	47.4595
1.309	45.218
1.32645	43.1416
1.3439	41.02
1.36136	38.7219
1.37881	36.2168
1.39626	33.5683
1.41372	30.9051
1.43117	28.3795
1.44862	26.128
1.46608	24.241
1.48353	22.7492
1.50098	21.6248
1.51844	20.7957
1.53589	20.1649
1.55334	19.6324
1.5708	19.1123
1.58825	18.5447
1.6057	17.8999
1.62316	17.1765
1.64061	16.3951
1.65806	15.5889
1.67552	14.7939
1.69297	14.0404
1.71042	13.3474
1.72788	12.7194
1.74533	12.1484
1.76278	11.6164
1.78024	11.1015
1.79769	10.583
1.81514	10.0463
1.8326	9.48628
1.85005	8.90774
1.8675	8.32462
1.88496	7.75707
1.90241	7.22779
1.91986	6.75818
1.93732	6.36506
1.95477	6.05835
1.97222	5.84001
1.98968	5.70415
2.00713	5.63815
2.02458	5.6245
2.04204	5.64291
2.05949	5.67248
2.07694	5.69363
2.0944	5.68958
2.11185	5.64741
2.1293	5.55861
2.14675	5.41917
2.16421	5.22933
2.18166	4.99314
2.19911	4.71777
2.21657	4.41281
2.23402	4.0895
2.25147	3.76004
2.26893	3.43697
2.28638	3.13246
2.30383	2.8579
2.32129	2.62332
2.33874	2.43697
2.35619	2.30499
2.37365	2.23106
2.3911	2.21614
2.40855	2.25838
2.42601	2.35304
2.44346	2.49258
2.46091	2.66693
2.47837	2.86386
2.49582	3.06947
2.51327	3.26892
2.53073	3.44714
2.54818	3.58968
2.56563	3.6836
2.58309	3.71831
2.60054	3.68632
2.61799	3.5839
2.63545	3.41157
2.6529	3.17434
2.67035	2.88178
2.68781	2.5478
2.70526	2.1902
2.72271	1.82997
2.74017	1.49046
2.75762	1.19631
2.77507	0.972302
2.79253	0.84219
2.80998	0.827461
2.82743	0.946212
2.84489	1.21211
2.86234	1.63354
2.87979	2.21292
2.89725	2.94632
2.9147	3.8233
2.93215	4.82705
2.94961	5.93481
2.96706	7.11859
2.98451	8.34609
3.00197	9.58191
3.01942	10.7888
3.03687	11.9292
3.05433	12.9667
3.07178	13.8675
3.08923	14.6016
3.10669	15.1445
3.12414	15.4778
3.14159	15.5902
