lp	sigma
1	147.824
2	353.096
3	674.078
4	1132.13
5	1714.83
6	2327.01
7	2715.57
8	2805.94
9	2809.99
10	2813
11	2825.68
12	2845.52
13	2869.44
14	2896.35
15	2924.48
16	2953.06
17	2982.84
18	3012.42
19	3040.61
20	3068.99
21	3097.52
22	3123.37
23	3145.97
24	3167.72
25	3189.62
26	3208.9
27	3222.12
28	3228.95
29	3231.62
30	3232.42
31	3232.6
32	3232.63
33	3232.64
34	3232.64
35	3232.64
36	3232.64
37	3232.64
38	3232.64
39	3232.64
40	3232.64
41	3232.64
42	3232.64
