r	V(r)
0	-48.0627
0.1	-48.0453
0.2	-48.0253
0.3	-48.0025
0.4	-47.9765
0.5	-47.9468
0.6	-47.9129
0.7	-47.8742
0.8	-47.8301
0.9	-47.7799
1	-47.7225
1.1	-47.6572
1.2	-47.5827
1.3	-47.498
1.4	-47.4015
1.5	-47.2917
1.6	-47.1669
1.7	-47.025
1.8	-46.864
1.9	-46.6814
2	-46.4745
2.1	-46.2402
2.2	-45.9755
2.3	-45.6767
2.4	-45.3399
2.5	-44.9612
2.6	-44.5361
2.7	-44.0601
2.8	-43.5286
2.9	-42.9367
3	-42.2797
3.1	-41.5533
3.2	-40.7533
3.3	-39.876
3.4	-38.9187
3.5	-37.8796
3.6	-36.7583
3.7	-35.5556
3.8	-34.2742
3.9	-32.9187
4	-31.4954
4.1	-30.0127
4.2	-28.4806
4.3	-26.911
4.4	-25.3167
4.5	-23.7116
4.6	-22.1098
4.7	-20.5256
4.8	-18.9722
4.9	-17.4622
5	-16.0065
5.1	-14.6145
5.2	-13.2935
5.3	-12.0491
5.4	-10.8848
5.5	-9.80246
5.6	-8.80237
5.7	-7.88337
5.8	-7.04315
5.9	-6.27853
6	-5.58565
6.1	-4.96019
6.2	-4.39753
6.3	-3.89295
6.4	-3.44171
6.5	-3.03919
6.6	-2.68093
6.7	-2.36269
6.8	-2.08049
6.9	-1.83066
7	-1.60978
7.1	-1.41473
7.2	-1.24269
7.3	-1.09108
7.4	-0.957594
7.5	-0.840144
7.6	-0.736876
7.7	-0.646127
7.8	-0.566422
7.9	-0.496445
8	-0.435035
8.1	-0.381161
8.2	-0.333912
8.3	-0.292483
8.4	-0.256168
8.5	-0.22434
8.6	-0.196451
8.7	-0.172016
8.8	-0.150611
8.9	-0.131862
9	-0.115442
9.1	-0.101062
9.2	-0.0884696
9.3	-0.077444
9.4	-0.0677905
9.5	-0.0593389
9.6	-0.0519398
9.7	-0.0454624
9.8	-0.0397922
9.9	-0.0348286
10	-0.0304838
10.1	-0.0266808
10.2	-0.0233519
10.3	-0.0204382
10.4	-0.0178879
10.5	-0.0156557
10.6	-0.013702
10.7	-0.0119921
10.8	-0.0104955
10.9	-0.00918562
11	-0.0080392
11.1	-0.00703584
11.2	-0.00615769
11.3	-0.00538913
11.4	-0.00471649
11.5	-0.0041278
11.6	-0.00361258
11.7	-0.00316166
11.8	-0.00276702
11.9	-0.00242164
12	-0.00211937
12.1	-0.00185483
12.2	-0.0016233
12.3	-0.00142068
12.4	-0.00124334
12.5	-0.00108814
12.6	-0.000952318
12.7	-0.000833445
12.8	-0.00072941
12.9	-0.000638362
13	-0.000558678
13.1	-0.000488941
13.2	-0.000427909
13.3	-0.000374495
13.4	-0.000327748
13.5	-0.000286837
13.6	-0.000251032
13.7	-0.000219697
13.8	-0.000192273
13.9	-0.000168272
14	-0.000147267
14.1	-0.000128884
14.2	-0.000112796
14.3	-9.87163e-05
14.4	-8.63939e-05
14.5	-7.56096e-05
14.6	-6.61715e-05
14.7	-5.79116e-05
14.8	-5.06827e-05
14.9	-4.43561e-05
15	-3.88193e-05
15.1	-3.39736e-05
15.2	-2.97328e-05
15.3	-2.60214e-05
15.4	-2.27732e-05
15.5	-1.99305e-05
15.6	-1.74426e-05
15.7	-1.52653e-05
15.8	-1.33598e-05
15.9	-1.16922e-05
16	-1.02327e-05
16.1	-8.95535e-06
16.2	-7.83749e-06
16.3	-6.85916e-06
16.4	-6.00295e-06
16.5	-5.25363e-06
16.6	-4.59783e-06
16.7	-4.0239e-06
16.8	-3.52161e-06
16.9	-3.08202e-06
17	-2.6973e-06
17.1	-2.36061e-06
17.2	-2.06594e-06
17.3	-1.80806e-06
17.4	-1.58236e-06
17.5	-1.38484e-06
17.6	-1.21198e-06
17.7	-1.06069e-06
17.8	-9.28286e-07
17.9	-8.12412e-07
18	-7.11001e-07
18.1	-6.22249e-07
18.2	-5.44576e-07
18.3	-4.76598e-07
18.4	-4.17106e-07
18.5	-3.6504e-07
18.6	-3.19473e-07
18.7	-2.79595e-07
18.8	-2.44694e-07
18.9	-2.14149e-07
19	-1.87418e-07
19.1	-1.64023e-07
19.2	-1.43549e-07
19.3	-1.2563e-07
19.4	-1.09948e-07
19.5	-9.62235e-08
19.6	-8.42122e-08
19.7	-7.37003e-08
19.8	-6.45005e-08
19.9	-5.64492e-08
