lp	sigma
1	81.84
2	221.175
3	489.143
4	964.661
5	1675.22
6	2461.04
7	2770.05
8	2795.61
9	2796.17
10	2805.94
11	2823.59
12	2845.78
13	2869.85
14	2895.62
15	2922.18
16	2947.83
17	2973.59
18	2999.84
19	3024
20	3045.17
21	3065.56
22	3086.1
23	3103.94
24	3115.72
25	3121.45
26	3123.52
27	3124.08
28	3124.2
29	3124.21
30	3124.22
31	3124.22
32	3124.22
33	3124.22
34	3124.22
35	3124.22
36	3124.22
37	3124.22
38	3124.22
