r	V(r)
0	-41.6791
0.1	-41.6639
0.2	-41.6466
0.3	-41.6268
0.4	-41.6043
0.5	-41.5785
0.6	-41.5491
0.7	-41.5156
0.8	-41.4774
0.9	-41.4338
1	-41.384
1.1	-41.3274
1.2	-41.2628
1.3	-41.1893
1.4	-41.1056
1.5	-41.0104
1.6	-40.9022
1.7	-40.7792
1.8	-40.6396
1.9	-40.4812
2	-40.3018
2.1	-40.0986
2.2	-39.869
2.3	-39.6099
2.4	-39.3179
2.5	-38.9895
2.6	-38.6208
2.7	-38.2081
2.8	-37.7471
2.9	-37.2338
3	-36.6642
3.1	-36.0342
3.2	-35.3404
3.3	-34.5797
3.4	-33.7495
3.5	-32.8485
3.6	-31.8761
3.7	-30.8331
3.8	-29.7219
3.9	-28.5464
4	-27.3122
4.1	-26.0264
4.2	-24.6978
4.3	-23.3367
4.4	-21.9541
4.5	-20.5622
4.6	-19.1732
4.7	-17.7994
4.8	-16.4523
4.9	-15.1429
5	-13.8806
5.1	-12.6734
5.2	-11.5279
5.3	-10.4487
5.4	-9.43906
5.5	-8.5005
5.6	-7.63325
5.7	-6.8363
5.8	-6.10768
5.9	-5.44462
6	-4.84377
6.1	-4.30138
6.2	-3.81345
6.3	-3.37589
6.4	-2.98459
6.5	-2.63553
6.6	-2.32485
6.7	-2.04887
6.8	-1.80416
6.9	-1.58751
7	-1.39597
7.1	-1.22683
7.2	-1.07764
7.3	-0.946166
7.4	-0.830406
7.5	-0.728557
7.6	-0.639004
7.7	-0.560309
7.8	-0.49119
7.9	-0.430508
8	-0.377254
8.1	-0.330535
8.2	-0.289562
8.3	-0.253636
8.4	-0.222144
8.5	-0.194543
8.6	-0.170358
8.7	-0.149169
8.8	-0.130607
8.9	-0.114348
9	-0.100109
9.1	-0.0876387
9.2	-0.0767191
9.3	-0.0671579
9.4	-0.0587866
9.5	-0.0514575
9.6	-0.0450412
9.7	-0.0394241
9.8	-0.034507
9.9	-0.0302027
10	-0.026435
10.1	-0.023137
10.2	-0.0202503
10.3	-0.0177236
10.4	-0.015512
10.5	-0.0135764
10.6	-0.0118822
10.7	-0.0103993
10.8	-0.00910148
10.9	-0.00796559
11	-0.00697144
11.1	-0.00610134
11.2	-0.00533983
11.3	-0.00467335
11.4	-0.00409005
11.5	-0.00357955
11.6	-0.00313276
11.7	-0.00274173
11.8	-0.00239951
11.9	-0.0021
12	-0.00183788
12.1	-0.00160847
12.2	-0.0014077
12.3	-0.00123198
12.4	-0.0010782
12.5	-0.000943618
12.6	-0.000825831
12.7	-0.000722747
12.8	-0.000632531
12.9	-0.000553575
13	-0.000484475
13.1	-0.000424
13.2	-0.000371074
13.3	-0.000324754
13.4	-0.000284217
13.5	-0.000248739
13.6	-0.00021769
13.7	-0.000190517
13.8	-0.000166735
13.9	-0.000145922
14	-0.000127707
14.1	-0.000111766
14.2	-9.78147e-05
14.3	-8.56048e-05
14.4	-7.49191e-05
14.5	-6.55672e-05
14.6	-5.73827e-05
14.7	-5.02198e-05
14.8	-4.3951e-05
14.9	-3.84648e-05
15	-3.36633e-05
15.1	-2.94613e-05
15.2	-2.57837e-05
15.3	-2.25652e-05
15.4	-1.97485e-05
15.5	-1.72833e-05
15.6	-1.51259e-05
15.7	-1.32378e-05
15.8	-1.15854e-05
15.9	-1.01392e-05
16	-8.87357e-06
16.1	-7.76591e-06
16.2	-6.79652e-06
16.3	-5.94813e-06
16.4	-5.20564e-06
16.5	-4.55584e-06
16.6	-3.98715e-06
16.7	-3.48945e-06
16.8	-3.05387e-06
16.9	-2.67267e-06
17	-2.33905e-06
17.1	-2.04707e-06
17.2	-1.79154e-06
17.3	-1.56791e-06
17.4	-1.37219e-06
17.5	-1.20091e-06
17.6	-1.051e-06
17.7	-9.19809e-07
17.8	-8.04992e-07
17.9	-7.04507e-07
18	-6.16566e-07
18.1	-5.39602e-07
18.2	-4.72245e-07
18.3	-4.13297e-07
18.4	-3.61706e-07
18.5	-3.16556e-07
18.6	-2.77041e-07
18.7	-2.42459e-07
18.8	-2.12194e-07
18.9	-1.85706e-07
19	-1.62525e-07
19.1	-1.42238e-07
19.2	-1.24483e-07
19.3	-1.08944e-07
19.4	-9.53447e-08
19.5	-8.34432e-08
19.6	-7.30272e-08
19.7	-6.39115e-08
19.8	-5.59336e-08
19.9	-4.89516e-08
