E	sigma
3.58	4077.27
3.59	4076.6
3.6	4075.95
3.61	4075.33
3.62	4074.72
3.63	4074.14
3.64	4073.57
3.65	4073.01
3.66	4072.47
3.67	4071.95
3.68	4071.43
3.69	4070.94
3.7	4070.45
3.71	4069.97
3.72	4069.51
3.73	4069.05
3.74	4068.6
3.75	4068.16
3.76	4067.73
3.77	4067.3
3.78	4066.89
3.79	4066.47
3.8	4066.07
3.81	4065.66
3.82	4065.27
3.83	4064.87
3.84	4064.48
3.85	4064.1
3.86	4063.71
3.87	4063.33
3.88	4062.95
3.89	4062.57
3.9	4062.2
3.91	4061.82
3.92	4061.45
3.93	4061.07
3.94	4060.7
3.95	4060.32
3.96	4059.95
3.97	4059.57
3.98	4059.19
3.99	4058.81
4	4058.43
4.01	4058.05
4.02	4057.67
4.03	4057.28
4.04	4056.9
4.05	4056.51
4.06	4056.11
4.07	4055.72
4.08	4055.32
4.09	4054.91
4.1	4054.51
4.11	4054.1
4.12	4053.68
4.13	4053.27
4.14	4052.84
4.15	4052.42
4.16	4051.99
4.17	4051.55
4.18	4051.11
4.19	4050.67
4.2	4050.22
4.21	4049.76
4.22	4049.3
4.23	4048.84
4.24	4048.37
4.25	4047.89
4.26	4047.41
4.27	4046.92
4.28	4046.43
4.29	4045.93
4.3	4045.42
4.31	4044.91
4.32	4044.4
4.33	4043.87
4.34	4043.34
4.35	4042.81
4.36	4042.26
4.37	4041.71
4.38	4041.16
4.39	4040.6
4.4	4040.03
4.41	4039.45
4.42	4038.87
4.43	4038.28
4.44	4037.68
4.45	4037.08
4.46	4036.47
4.47	4035.85
4.48	4035.22
4.49	4034.59
4.5	4033.95
4.51	4033.3
4.52	4032.65
4.53	4031.98
4.54	4031.31
4.55	4030.64
4.56	4029.95
4.57	4029.26
4.58	4028.56
4.59	4027.85
4.6	4027.13
4.61	4026.41
4.62	4025.68
4.63	4024.94
4.64	4024.19
4.65	4023.43
4.66	4022.67
4.67	4021.9
4.68	4021.12
4.69	4020.33
4.7	4019.53
4.71	4018.73
4.72	4017.92
4.73	4017.09
4.74	4016.27
4.75	4015.43
4.76	4014.58
4.77	4013.73
4.78	4012.87
4.79	4012
4.8	4011.12
4.81	4010.23
4.82	4009.33
4.83	4008.43
4.84	4007.52
4.85	4006.59
4.86	4005.66
4.87	4004.73
4.88	4003.78
4.89	4002.82
4.9	4001.86
4.91	4000.89
4.92	3999.9
4.93	3998.91
4.94	3997.91
4.95	3996.91
4.96	3995.89
4.97	3994.86
4.98	3993.83
4.99	3992.79
5	3991.74
5.01	3990.68
5.02	3989.61
5.03	3988.53
5.04	3987.44
5.05	3986.35
5.06	3985.24
5.07	3984.13
5.08	3983.01
5.09	3981.88
5.1	3980.74
5.11	3979.59
5.12	3978.43
5.13	3977.26
5.14	3976.09
5.15	3974.9
5.16	3973.71
5.17	3972.51
5.18	3971.29
5.19	3970.07
5.2	3968.84
5.21	3967.6
5.22	3966.36
5.23	3965.1
5.24	3963.83
5.25	3962.56
5.26	3961.28
5.27	3959.98
5.28	3958.68
5.29	3957.37
5.3	3956.05
5.31	3954.72
5.32	3953.38
5.33	3952.03
5.34	3950.68
5.35	3949.31
5.36	3947.94
5.37	3946.55
5.38	3945.16
5.39	3943.76
5.4	3942.35
5.41	3940.93
5.42	3939.5
5.43	3938.06
5.44	3936.61
5.45	3935.15
5.46	3933.69
5.47	3932.21
5.48	3930.73
5.49	3929.24
5.5	3927.73
5.51	3926.22
5.52	3924.7
5.53	3923.17
5.54	3921.63
5.55	3920.08
5.56	3918.53
5.57	3916.96
5.58	3915.38
5.59	3913.8
5.6	3912.21
5.61	3910.6
5.62	3908.99
5.63	3907.37
5.64	3905.74
5.65	3904.1
5.66	3902.45
5.67	3900.79
5.68	3899.13
5.69	3897.45
5.7	3895.77
5.71	3894.07
5.72	3892.37
5.73	3890.66
5.74	3888.94
5.75	3887.21
5.76	3885.47
5.77	3883.72
5.78	3881.96
5.79	3880.19
5.8	3878.42
5.81	3876.63
5.82	3874.84
5.83	3873.04
5.84	3871.23
5.85	3869.41
5.86	3867.58
5.87	3865.74
5.88	3863.89
5.89	3862.03
5.9	3860.17
5.91	3858.29
5.92	3856.41
5.93	3854.52
5.94	3852.62
5.95	3850.71
5.96	3848.79
5.97	3846.86
5.98	3844.93
5.99	3842.98
6	3841.03
6.01	3839.06
6.02	3837.09
6.03	3835.11
6.04	3833.12
6.05	3831.12
6.06	3829.12
6.07	3827.1
6.08	3825.08
6.09	3823.05
6.1	3821
6.11	3818.95
6.12	3816.89
6.13	3814.83
6.14	3812.75
6.15	3810.67
6.16	3808.57
6.17	3806.47
6.18	3804.36
6.19	3802.24
6.2	3800.12
6.21	3797.98
6.22	3795.84
6.23	3793.68
6.24	3791.52
6.25	3789.35
6.26	3787.18
6.27	3784.99
6.28	3782.79
6.29	3780.59
6.3	3778.38
6.31	3776.16
6.32	3773.93
6.33	3771.7
6.34	3769.45
6.35	3767.2
6.36	3764.94
6.37	3762.67
6.38	3760.4
6.39	3758.11
6.4	3755.82
6.41	3753.52
6.42	3751.21
6.43	3748.89
6.44	3746.57
6.45	3744.23
6.46	3741.89
6.47	3739.54
6.48	3737.19
6.49	3734.82
6.5	3732.45
6.51	3730.07
6.52	3727.68
6.53	3725.29
6.54	3722.88
6.55	3720.47
6.56	3718.06
6.57	3715.63
6.58	3713.2
6.59	3710.75
6.6	3708.31
6.61	3705.85
6.62	3703.39
6.63	3700.91
6.64	3698.44
6.65	3695.95
6.66	3693.46
6.67	3690.96
6.68	3688.45
6.69	3685.93
6.7	3683.41
6.71	3680.88
6.72	3678.34
