theta	dsigma
0	2308.43
0.0174533	2301.82
0.0349066	2282.57
0.0523599	2252.39
0.0698132	2213.89
0.0872665	2170.3
0.10472	2125.08
0.122173	2081.52
0.139626	2042.41
0.15708	2009.69
0.174533	1984.3
0.191986	1966.07
0.20944	1953.81
0.226893	1945.45
0.244346	1938.31
0.261799	1929.4
0.279253	1915.77
0.296706	1894.81
0.314159	1864.47
0.331613	1823.47
0.349066	1771.39
0.366519	1708.62
0.383972	1636.3
0.401426	1556.15
0.418879	1470.27
0.436332	1380.95
0.453786	1290.46
0.471239	1200.86
0.488692	1113.91
0.506145	1030.95
0.523599	952.899
0.541052	880.26
0.558505	813.169
0.575959	751.473
0.593412	694.808
0.610865	642.688
0.628319	594.578
0.645772	549.95
0.663225	508.334
0.680678	469.331
0.698132	432.633
0.715585	398.011
0.733038	365.307
0.750492	334.419
0.767945	305.281
0.785398	277.85
0.802851	252.094
0.820305	227.981
0.837758	205.477
0.855211	184.544
0.872665	165.136
0.890118	147.206
0.907571	130.704
0.925025	115.577
0.942478	101.773
0.959931	89.241
0.977384	77.9267
0.994838	67.7767
1.01229	58.7359
1.02974	50.7475
1.0472	43.7534
1.06465	37.6946
1.0821	32.512
1.09956	28.1474
1.11701	24.5446
1.13446	21.6511
1.15192	19.4182
1.16937	17.8025
1.18682	16.7658
1.20428	16.2756
1.22173	16.3044
1.23918	16.8297
1.25664	17.8329
1.27409	19.2982
1.29154	21.2116
1.309	23.5595
1.32645	26.3272
1.3439	29.4976
1.36136	33.0496
1.37881	36.9568
1.39626	41.1863
1.41372	45.6975
1.43117	50.4413
1.44862	55.3602
1.46608	60.3877
1.48353	65.4489
1.50098	70.4617
1.51844	75.3378
1.53589	79.9852
1.55334	84.3095
1.5708	88.2173
1.58825	91.6185
1.6057	94.4296
1.62316	96.5761
1.64061	97.9956
1.65806	98.6402
1.67552	98.4788
1.69297	97.4986
1.71042	95.7064
1.72788	93.1293
1.74533	89.8144
1.76278	85.8289
1.78024	81.2581
1.79769	76.2041
1.81514	70.7835
1.8326	65.1245
1.85005	59.3641
1.8675	53.644
1.88496	48.108
1.90241	42.8971
1.91986	38.1469
1.93732	33.9831
1.95477	30.5182
1.97222	27.8488
1.98968	26.0521
2.00713	25.1839
2.02458	25.2765
2.04204	26.3374
2.05949	28.3488
2.07694	31.2671
2.0944	35.0236
2.11185	39.526
2.1293	44.6598
2.14675	50.2912
2.16421	56.2697
2.18166	62.4323
2.19911	68.6068
2.21657	74.6167
2.23402	80.2859
2.25147	85.443
2.26893	89.9267
2.28638	93.5904
2.30383	96.3066
2.32129	97.9716
2.33874	98.509
2.35619	97.8734
2.37365	96.0528
2.3911	93.0708
2.40855	88.9877
2.42601	83.9008
2.44346	77.9439
2.46091	71.2861
2.47837	64.129
2.49582	56.7038
2.51327	49.2673
2.53073	42.0966
2.54818	35.4844
2.56563	29.7322
2.58309	25.1443
2.60054	22.0208
2.61799	20.6506
2.63545	21.3047
2.6529	24.2291
2.67035	29.6383
2.68781	37.7097
2.70526	48.5776
2.72271	62.329
2.74017	78.9995
2.75762	98.5708
2.77507	120.969
2.79253	146.063
2.80998	173.667
2.82743	203.539
2.84489	235.39
2.86234	268.879
2.87979	303.625
2.89725	339.213
2.9147	375.194
2.93215	411.102
2.94961	446.456
2.96706	480.769
2.98451	513.56
3.00197	544.36
3.01942	572.721
3.03687	598.227
3.05433	620.497
3.07178	639.199
3.08923	654.048
3.10669	664.82
3.12414	671.35
3.14159	673.538
