r	V(r)
0	-44.8709
0.1	-44.8546
0.2	-44.8359
0.3	-44.8147
0.4	-44.7904
0.5	-44.7627
0.6	-44.731
0.7	-44.6949
0.8	-44.6538
0.9	-44.6068
1	-44.5533
1.1	-44.4923
1.2	-44.4228
1.3	-44.3436
1.4	-44.2535
1.5	-44.1511
1.6	-44.0345
1.7	-43.9021
1.8	-43.7518
1.9	-43.5813
2	-43.3881
2.1	-43.1694
2.2	-42.9223
2.3	-42.6433
2.4	-42.3289
2.5	-41.9753
2.6	-41.5785
2.7	-41.1341
2.8	-40.6378
2.9	-40.0853
3	-39.472
3.1	-38.7938
3.2	-38.0468
3.3	-37.2278
3.4	-36.3341
3.5	-35.3641
3.6	-34.3172
3.7	-33.1943
3.8	-31.9981
3.9	-30.7326
4	-29.4038
4.1	-28.0195
4.2	-26.5892
4.3	-25.1238
4.4	-23.6354
4.5	-22.1369
4.6	-20.6415
4.7	-19.1625
4.8	-17.7123
4.9	-16.3026
5	-14.9436
5.1	-13.644
5.2	-12.4107
5.3	-11.2489
5.4	-10.1619
5.5	-9.15148
5.6	-8.21781
5.7	-7.35983
5.8	-6.57541
5.9	-5.86157
6	-5.21471
6.1	-4.63078
6.2	-4.10549
6.3	-3.63442
6.4	-3.21315
6.5	-2.83736
6.6	-2.50289
6.7	-2.20578
6.8	-1.94233
6.9	-1.70908
7	-1.50287
7.1	-1.32078
7.2	-1.16017
7.3	-1.01862
7.4	-0.894
7.5	-0.784351
7.6	-0.68794
7.7	-0.603218
7.8	-0.528806
7.9	-0.463477
8	-0.406145
8.1	-0.355848
8.2	-0.311737
8.3	-0.27306
8.4	-0.239156
8.5	-0.209442
8.6	-0.183404
8.7	-0.160592
8.8	-0.140609
8.9	-0.123105
9	-0.107775
9.1	-0.0943501
9.2	-0.0825943
9.3	-0.0723009
9.4	-0.0632885
9.5	-0.0553982
9.6	-0.0484905
9.7	-0.0424433
9.8	-0.0371496
9.9	-0.0325157
10	-0.0284594
10.1	-0.0249089
10.2	-0.0218011
10.3	-0.0190809
10.4	-0.0167
10.5	-0.0146161
10.6	-0.0127921
10.7	-0.0111957
10.8	-0.00979848
10.9	-0.00857561
11	-0.00750532
11.1	-0.00656859
11.2	-0.00574876
11.3	-0.00503124
11.4	-0.00440327
11.5	-0.00385367
11.6	-0.00337267
11.7	-0.0029517
11.8	-0.00258327
11.9	-0.00226082
12	-0.00197862
12.1	-0.00173165
12.2	-0.0015155
12.3	-0.00132633
12.4	-0.00116077
12.5	-0.00101588
12.6	-0.000889075
12.7	-0.000778096
12.8	-0.000680971
12.9	-0.000595968
13	-0.000521576
13.1	-0.00045647
13.2	-0.000399491
13.3	-0.000349625
13.4	-0.000305982
13.5	-0.000267788
13.6	-0.000234361
13.7	-0.000205107
13.8	-0.000179504
13.9	-0.000157097
14	-0.000137487
14.1	-0.000120325
14.2	-0.000105305
14.3	-9.21605e-05
14.4	-8.06565e-05
14.5	-7.05884e-05
14.6	-6.17771e-05
14.7	-5.40657e-05
14.8	-4.73168e-05
14.9	-4.14104e-05
15	-3.62413e-05
15.1	-3.17174e-05
15.2	-2.77583e-05
15.3	-2.42933e-05
15.4	-2.12608e-05
15.5	-1.86069e-05
15.6	-1.62843e-05
15.7	-1.42516e-05
15.8	-1.24726e-05
15.9	-1.09157e-05
16	-9.55312e-06
16.1	-8.36063e-06
16.2	-7.317e-06
16.3	-6.40364e-06
16.4	-5.6043e-06
16.5	-4.90473e-06
16.6	-4.29249e-06
16.7	-3.75667e-06
16.8	-3.28774e-06
16.9	-2.87734e-06
17	-2.51817e-06
17.1	-2.20384e-06
17.2	-1.92874e-06
17.3	-1.68798e-06
17.4	-1.47728e-06
17.5	-1.29287e-06
17.6	-1.13149e-06
17.7	-9.90249e-07
17.8	-8.66639e-07
17.9	-7.5846e-07
18	-6.63784e-07
18.1	-5.80926e-07
18.2	-5.08411e-07
18.3	-4.44947e-07
18.4	-3.89406e-07
18.5	-3.40798e-07
18.6	-2.98257e-07
18.7	-2.61027e-07
18.8	-2.28444e-07
18.9	-1.99928e-07
19	-1.74971e-07
19.1	-1.5313e-07
19.2	-1.34016e-07
19.3	-1.17287e-07
19.4	-1.02646e-07
19.5	-8.98333e-08
19.6	-7.86197e-08
19.7	-6.88059e-08
19.8	-6.02171e-08
19.9	-5.27004e-08
