lp	sigma
1	144.726
2	213.511
3	214.371
4	528.217
5	1805.61
6	1981.55
7	1981.56
8	1991.11
9	2006.37
10	2023.98
11	2043.07
12	2061.13
13	2077.54
14	2094.11
15	2110.18
16	2121.97
17	2127.91
18	2129.95
19	2130.44
20	2130.52
21	2130.53
22	2130.53
23	2130.53
24	2130.53
25	2130.53
26	2130.53
27	2130.53
28	2130.53
29	2130.53
