lp	sigma
1	3.63151
2	31.7645
3	162.339
4	588.791
5	1458.51
6	2343.65
7	2425.84
8	2425.85
9	2434.42
10	2450.43
11	2470.66
12	2492.79
13	2514.87
14	2537.66
15	2560.77
16	2581.66
17	2600.46
18	2619.32
19	2637.61
20	2651.58
21	2659.28
22	2662.32
23	2663.18
24	2663.36
25	2663.39
26	2663.4
27	2663.4
28	2663.4
29	2663.4
30	2663.4
31	2663.4
32	2663.4
33	2663.4
34	2663.4
